District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
İstanbul / Büyükçekmece,6+1,200000.0,04,0.0,8.108108108108109,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,6+2,130000.0,04,-5.454545454545454,-1.1406844106463878,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,6+3,75000.0,04,0.0,15.384615384615385,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,7+1,242500.0,04,0.0,-3.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,7+2,210000.0,04,-2.3255813953488373,31.25,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,7+3,155000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,8+1,160000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,8+2,275000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,8+3,117500.0,04,0.0,80.76923076923077,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,9+1,240000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,9+2,300000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,9+5,650000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Büyükçekmece,Stüdyo (1+0),20000.0,04,3.896103896103896,8.108108108108109,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,1+1,16500.0,04,-1.4925373134328357,-2.941176470588235,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Esenler,1.5+1,16000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
