District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
İstanbul / Beylikdüzü,6+3,90000.0,04,0.0,0.0,-10.0,-14.285714285714285
İstanbul / Beylikdüzü,6.5+1,83000.0,04,0.0,0.0,0.0,-2.3529411764705883
İstanbul / Beylikdüzü,7+1,120000.0,04,0.0,0.0,20.0,20.0
İstanbul / Beylikdüzü,7+2,127500.0,04,0.0,-3.7735849056603774,-3.7735849056603774,-5.555555555555555
İstanbul / Beylikdüzü,7+3,200000.0,04,0.0,0.0,0.0,-6.976744186046512
İstanbul / Beylikdüzü,8+1,130000.0,04,0.0,-16.129032258064516,-16.129032258064516,-16.129032258064516
İstanbul / Beylikdüzü,8+3,120000.0,04,0.0,-14.285714285714285,-14.285714285714285,-14.285714285714285
İstanbul / Beylikdüzü,Stüdyo (1+0),18000.0,04,2.857142857142857,2.857142857142857,0.0,5.88235294117647
İstanbul / Beyoğlu,1+1,40000.0,04,0.0,0.0,0.0,-2.4390243902439024
İstanbul / Beyoğlu,1.5+1,45000.0,04,0.0,38.46153846153847,221.42857142857144,52.54237288135594
İstanbul / Beyoğlu,2+0,24000.0,04,0.0,0.0,9.090909090909092,9.090909090909092
İstanbul / Beyoğlu,2+1,40000.0,04,0.0,0.0,5.263157894736842,3.225806451612903
İstanbul / Beyoğlu,2+2,43000.0,04,0.0,0.0,1.1764705882352942,43.333333333333336
İstanbul / Beyoğlu,2.5+1,37500.0,04,0.0,-25.0,-34.78260869565217,-31.818181818181817
İstanbul / Beyoğlu,3+1,55000.0,04,0.0,3.7735849056603774,-8.333333333333332,-15.384615384615385
İstanbul / Beyoğlu,3+2,60000.0,04,-24.050632911392405,-24.050632911392405,-24.050632911392405,-2.4390243902439024
İstanbul / Beyoğlu,3.5+1,117500.0,04,0.0,0.0,30.555555555555557,30.555555555555557
İstanbul / Beyoğlu,4+1,93950.0,04,-4.13265306122449,0.0,-1.0010537407797682,-8.341463414634147
İstanbul / Beyoğlu,4+2,420000.0,04,0.0,0.0,45.45454545454545,-19.230769230769234
İstanbul / Beyoğlu,4+3,20000.0,04,0.0,0.0,0.0,0.0
İstanbul / Beyoğlu,4.5+1,130000.0,04,,,,100.0
İstanbul / Beyoğlu,5+1,99000.0,04,-38.88888888888889,-39.07692307692307,-40.0,-56.00000000000001
İstanbul / Beyoğlu,5+2,100000.0,04,0.0,-20.0,-4.761904761904762,-9.090909090909092
İstanbul / Beyoğlu,6+1,90000.0,04,0.0,0.0,0.0,
İstanbul / Beyoğlu,6+2,485000.0,04,0.0,0.0,0.0,
İstanbul / Beyoğlu,Stüdyo (1+0),23000.0,04,0.0,4.545454545454546,6.976744186046512,15.0
İstanbul / Beşiktaş,1+1,50000.0,04,0.0,11.11111111111111,11.11111111111111,11.11111111111111
İstanbul / Beşiktaş,1.5+1,37000.0,04,-27.450980392156865,-2.631578947368421,-57.714285714285715,-81.02564102564102
İstanbul / Beşiktaş,10 Üzeri,625000.0,04,0.0,,,-63.23529411764706
İstanbul / Beşiktaş,10+1,315000.0,04,0.0,0.0,-7.352941176470589,-7.352941176470589
İstanbul / Beşiktaş,2+1,62000.0,04,1.639344262295082,5.084745762711865,3.3333333333333335,3.3333333333333335
İstanbul / Beşiktaş,2+2,165000.0,04,0.0,26.923076923076923,26.923076923076923,26.923076923076923
İstanbul / Beşiktaş,2.5+1,77000.0,04,-2.5316455696202533,-2.5316455696202533,-1.282051282051282,-3.75
İstanbul / Beşiktaş,3+1,90000.0,04,2.0408163265306123,3.151862464183381,0.0,5.88235294117647
İstanbul / Beşiktaş,3+2,96500.0,04,-38.730158730158735,-8.095238095238095,0.0,-8.095238095238095
İstanbul / Beşiktaş,3.5+1,380000.0,04,0.0,13.432835820895523,26.666666666666668,28.8135593220339
İstanbul / Beşiktaş,4+0,250000.0,04,-9.090909090909092,-9.090909090909092,-9.090909090909092,-9.090909090909092
İstanbul / Beşiktaş,4+1,250000.0,04,0.0,0.0,0.0,8.695652173913043
İstanbul / Beşiktaş,4+2,234500.0,04,0.0,1.956521739130435,1.956521739130435,17.25
İstanbul / Beşiktaş,4.5+1,440000.0,04,-1.1235955056179776,0.0,-1.1235955056179776,-2.7624309392265194
İstanbul / Beşiktaş,5+1,157500.0,04,-10.0,12.5,-34.375,-37.0
İstanbul / Beşiktaş,5+2,642500.0,04,0.0,-1.077752117013087,173.98720682302772,42.77777777777778
İstanbul / Beşiktaş,5+3,592500.0,04,0.0,0.0,,-8.846153846153847
İstanbul / Beşiktaş,5.5+1,1325000.0,04,0.0,0.0,0.0,1324.731182795699
İstanbul / Beşiktaş,6+1,570000.0,04,14.000000000000002,14.000000000000002,14.000000000000002,14.000000000000002
İstanbul / Beşiktaş,6+2,280000.0,04,0.0,40.0,40.0,24.444444444444443
İstanbul / Beşiktaş,7+1,400000.0,04,94.64720194647201,94.64720194647201,93.7046004842615,93.7046004842615
İstanbul / Beşiktaş,7+2,380000.0,04,0.0,26.666666666666668,31.03448275862069,31.03448275862069
İstanbul / Beşiktaş,8+1,352500.0,04,0.0,0.0,0.0,0.0
İstanbul / Beşiktaş,9+1,450000.0,04,0.0,0.0,0.0,
İstanbul / Beşiktaş,Stüdyo (1+0),25000.0,04,0.0,1.0101010101010102,4.166666666666666,16.27906976744186
İstanbul / Büyükçekmece,1+1,30250.0,04,0.8333333333333334,0.8333333333333334,8.035714285714286,6.140350877192982
İstanbul / Büyükçekmece,1.5+1,32000.0,04,16.363636363636363,0.0,16.363636363636363,42.22222222222222
İstanbul / Büyükçekmece,10 Üzeri,300000.0,04,0.0,33.33333333333333,100.0,100.0
İstanbul / Büyükçekmece,10+2,345000.0,04,0.0,-16.867469879518072,23.214285714285715,23.214285714285715
İstanbul / Büyükçekmece,2+1,32000.0,04,0.0,6.666666666666667,6.666666666666667,6.666666666666667
İstanbul / Büyükçekmece,2+2,40000.0,04,0.0,,,
İstanbul / Büyükçekmece,2.5+1,45000.0,04,0.0,36.36363636363637,21.62162162162162,20.0
İstanbul / Büyükçekmece,3+1,50000.0,04,0.0,11.11111111111111,11.11111111111111,11.11111111111111
İstanbul / Büyükçekmece,3+2,55000.0,04,0.0,0.0,3.7735849056603774,18.27956989247312
İstanbul / Büyükçekmece,3.5+1,50000.0,04,0.0,9.89010989010989,0.0,-20.0
İstanbul / Büyükçekmece,4+1,75000.0,04,-6.25,0.0,0.0,0.0
İstanbul / Büyükçekmece,4+2,65000.0,04,-7.142857142857142,-3.7037037037037033,6.732348111658457,6.6447908121411
İstanbul / Büyükçekmece,4+3,59000.0,04,0.0,-1.6666666666666667,-1.6666666666666667,-9.230769230769232
İstanbul / Büyükçekmece,4.5+1,90000.0,04,0.0,-33.33333333333333,-18.181818181818183,5.88235294117647
İstanbul / Büyükçekmece,5+1,150000.0,04,0.0,-3.225806451612903,0.0,-6.25
İstanbul / Büyükçekmece,5+2,90000.0,04,0.0,5.88235294117647,0.0,5.88235294117647
İstanbul / Büyükçekmece,5.5+1,142500.0,04,1.7857142857142856,0.0,0.0,-18.571428571428573
