District,Rooms,Median_Price_Today,inflation_1d_pct,inflation_7d_pct,inflation_15d_pct,inflation_30d_pct
İstanbulEyüpsultan,2.5+1,110000.0,0.0,,,
İstanbulEyüpsultan,3+1,87500.0,3.5502958579881656,,,
İstanbulEyüpsultan,3+2,46000.0,2.2222222222222223,,,
İstanbulEyüpsultan,3.5+1,145000.0,0.0,,,
İstanbulEyüpsultan,4+0,80000.0,0.0,,,
İstanbulEyüpsultan,4+1,125000.0,0.0,,,
İstanbulEyüpsultan,4+2,95000.0,0.0,,,
İstanbulEyüpsultan,4.5+1,200000.0,0.0,,,
İstanbulEyüpsultan,5+1,170000.0,3.0303030303030303,,,
İstanbulEyüpsultan,5+2,260000.0,25.301204819277107,,,
İstanbulEyüpsultan,5.5+1,190000.0,0.0,,,
İstanbulEyüpsultan,6+1,332500.0,0.0,,,
İstanbulEyüpsultan,6+2,310000.0,-15.068493150684931,,,
İstanbulEyüpsultan,7+1,110000.0,0.0,,,
İstanbulEyüpsultan,7+2,1100000.0,0.0,,,
İstanbulEyüpsultan,8+1,625000.0,0.0,,,
İstanbulEyüpsultan,8+2,1225000.0,0.0,,,
İstanbulEyüpsultan,8+3,650000.0,0.0,,,
İstanbulEyüpsultan,9+1,1250000.0,0.0,,,
İstanbulEyüpsultan,9+2,1250000.0,0.0,,,
İstanbulEyüpsultan,Stüdyo (1+0),26000.0,0.0,,,
İstanbulFatih,1+1,22000.0,0.0,,,
İstanbulFatih,1.5+1,22000.0,0.0,,,
İstanbulFatih,2+0,17000.0,0.0,,,
İstanbulFatih,2+1,28750.0,-1.7094017094017095,,,
İstanbulFatih,2+2,65000.0,0.0,,,
İstanbulFatih,2.5+1,32000.0,3.225806451612903,,,
İstanbulFatih,3+0,25000.0,0.0,,,
İstanbulFatih,3+1,40500.0,1.25,,,
İstanbulFatih,3+2,35000.0,0.0,,,
İstanbulFatih,3.5+1,35000.0,0.0,,,
İstanbulFatih,4+0,15000.0,0.0,,,
İstanbulFatih,4+1,75000.0,0.0,,,
İstanbulFatih,4+2,79000.0,0.0,,,
İstanbulFatih,5+1,71500.0,0.0,,,
İstanbulFatih,5+4,12000.0,0.0,,,
İstanbulFatih,6+1,190000.0,0.0,,,
İstanbulFatih,7+1,60000.0,0.0,,,
İstanbulFatih,8+2,100000.0,,,,
İstanbulFatih,Stüdyo (1+0),18000.0,0.0,,,
İstanbulGaziosmanpaşa,1+1,35750.0,0.7042253521126761,,,
İstanbulGaziosmanpaşa,1.5+1,22000.0,0.0,,,
İstanbulGaziosmanpaşa,2+0,18500.0,0.0,,,
İstanbulGaziosmanpaşa,2+1,27000.0,0.0,,,
İstanbulGaziosmanpaşa,2+2,37000.0,0.0,,,
İstanbulGaziosmanpaşa,2.5+1,25000.0,0.0,,,
İstanbulGaziosmanpaşa,3+1,45000.0,0.0,,,
İstanbulGaziosmanpaşa,3+2,32000.0,10.344827586206897,,,
İstanbulGaziosmanpaşa,3.5+1,37250.0,0.0,,,
İstanbulGaziosmanpaşa,4+1,54000.0,0.0,,,
İstanbulGaziosmanpaşa,4+2,44250.0,0.0,,,
İstanbulGaziosmanpaşa,Stüdyo (1+0),15250.0,22.0,,,
İstanbulGüngören,1+1,42000.0,0.0,,,
İstanbulGüngören,2+0,32000.0,0.0,,,
İstanbulGüngören,2+1,40000.0,0.0,,,
İstanbulGüngören,3+1,42500.0,0.591715976331361,,,
İstanbulGüngören,4+1,47500.0,0.0,,,
İstanbulGüngören,4+2,65000.0,0.0,,,
İstanbulGüngören,5+1,106500.0,-2.293577981651376,,,
İstanbulGüngören,Stüdyo (1+0),19750.0,0.0,,,
İstanbulKağıthane,1+1,32500.0,0.0,,,
İstanbulKağıthane,1.5+1,27000.0,-1.8181818181818181,,,
İstanbulKağıthane,2+0,27000.0,0.0,,,
İstanbulKağıthane,2+1,35000.0,0.0,,,
İstanbulKağıthane,2+2,40000.0,-3.0303030303030303,,,
İstanbulKağıthane,2.5+1,38500.0,0.0,,,
İstanbulKağıthane,3+0,15000.0,0.0,,,
İstanbulKağıthane,3+1,45000.0,0.0,,,
İstanbulKağıthane,3+2,45000.0,0.0,,,
İstanbulKağıthane,3+3,52500.0,0.0,,,
İstanbulKağıthane,3.5+1,115000.0,0.0,,,
İstanbulKağıthane,4+1,57500.0,0.0,,,
İstanbulKağıthane,4+2,57500.0,-12.547528517110266,,,
İstanbulKağıthane,4.5+1,55000.0,0.0,,,
İstanbulKağıthane,5+1,250000.0,0.0,,,
İstanbulKağıthane,5+2,57000.0,0.0,,,
İstanbulKağıthane,6+2,57000.0,0.0,,,
İstanbulKağıthane,8+1,7250.0,0.0,,,
İstanbulKağıthane,Stüdyo (1+0),22750.0,-1.0869565217391304,,,
İstanbulKüçükçekmece,1+1,33000.0,1.5384615384615385,,,
İstanbulKüçükçekmece,1.5+1,31500.0,0.0,,,
İstanbulKüçükçekmece,10 Üzeri,375000.0,0.0,,,
İstanbulKüçükçekmece,2+0,30000.0,0.0,,,
İstanbulKüçükçekmece,2+1,40000.0,0.0,,,
İstanbulKüçükçekmece,2+2,40000.0,0.0,,,
İstanbulKüçükçekmece,2.5+1,53000.0,0.0,,,
İstanbulKüçükçekmece,3+1,60000.0,0.0,,,
İstanbulKüçükçekmece,3+2,50000.0,4.166666666666666,,,
İstanbulKüçükçekmece,3.5+1,87500.0,0.0,,,
İstanbulKüçükçekmece,4+1,90000.0,0.0,,,
İstanbulKüçükçekmece,4+2,65000.0,18.181818181818183,,,
İstanbulKüçükçekmece,4+3,350000.0,0.0,,,
İstanbulKüçükçekmece,4.5+1,105000.0,0.0,,,
İstanbulKüçükçekmece,4.5+2,390000.0,0.0,,,
İstanbulKüçükçekmece,5+1,75000.0,0.0,,,
İstanbulKüçükçekmece,5+2,82000.0,17.142857142857142,,,
İstanbulKüçükçekmece,6+1,70000.0,0.0,,,
İstanbulKüçükçekmece,Stüdyo (1+0),24000.0,-4.0,,,
İstanbulSarıyer,1+1,65000.0,0.0,,,
İstanbulSarıyer,1.5+1,54500.0,0.0,,,
İstanbulSarıyer,10+2,130000.0,0.0,,,
İstanbulSarıyer,2+0,34000.0,0.0,,,
İstanbulSarıyer,2+1,70000.0,0.0,,,
