product_name,price (TL)
Erpiliç Tabaklı But Izgara Kg,263.9
Banvit Bütün Piliç Kg,129.9
Banvit Piliç Pişmiş Döner-200Gr,110.9
Beypiliç Tabaklı Pirzola,169.9
Beypiliç Tabaklı Biftek Izgara,239.9
Banvit Piliç Schnitzel 700 Gr,156.9
Banvit Piliç Nuget 700 Gr,156.9
Gedik Tabaklı Bonfile,283.9
Lezita Dondurulmuş Jumbo Piliç Fileto 700 Gr,253.9
Erpiliç Tabaklı Kanat Izgara,273.9
Gazivet 4 Lü Genç Bıldırcın Eti Şoklu,390.0
Bupiliç Tabak But Pirzola kg,154.9
Beypiliç Tabaklı Baget,109.9
Erpiliç Derili But Pirzola Tabak,184.9
Gedik Tabaklı But,132.9
Beypiliç Tabaklı Soslu Piliç Izgara Kanat Kg,301.9
Beypiliç Piliç Fileto Kg,265.9
Erpiliç Kalçalı But Kg,112.9
Banvit Klasik Piliç Burger Küvet 300 Gr,76.9
Yeşilküre Organik Tavuk Göğüs Kg,999.5
Yeşilküre Organik Bütün Tavuk Kg,549.9
Banvit Piliç Yaprak Döner 500 g,276.9
Beypiliç Donuk Pekin Ördeği Bütün Kg,334.9
Lezita Farmelia Poşetli Piliç Kg,132.9
Beypiliç Tabaklı Taşlık,102.9
Gedik Tabaklı But Pirzola Kg,209.9
Beypiliç Tabaklı Ciğer,66.9
Bolca Hindi Döner 300 g,137.9
Erpiliç Schitzel 800 gr,136.9
Erpiliç Taze Nugget 700 g,136.9
Erpiliç Döner 250 g,129.9
Lezita Mangallık But Pirzola Derili,119.9
Yeşilküre Organik Tavuk But Kg,749.9
Yılbaşı Piliç (Roaster) Kg,139.9
Gedik Tabaklı Baget,109.9
Lezita Dondurulmuş Çıtır Piliç Lokmaları 700 Gr,231.9
Yeşilküre Organik Baget Kg,989.5
Erpiliç Tabaklı Ciğer Yürek,101.9
Yeşilküre Organik But Pirzola Kg,979.5
Banvit Soslu Piliç Pirzola Kg,177.0
Banvit Soslu Piliç Kök Kanat Kg,298.15
Beypiliç Tabaklı Soslu Piliç Izgara But,199.9
Beypiliç Tabaklı Soslu Izgara But Kg,263.9
Yeşilküre Organik Tavuk Kanat Kg,649.9
Lezita Piliç Schnitzel 700 Gr,132.9
Gedik Tabaklı Ciğer,80.9
Gedik Tabaklı Izgara Kanat Kg,296.9
Gedik Tabaklı Kelebek,172.9
Gedik Poşetli Bütün Piliç,147.9
Erpiliç Tabaklı Taşlık,101.9
Erpiliç Tabaklı Kırlangıç Piliç Bonfile kg,246.9
Erpiliç Tabaklı Üst Kanat,167.9
Lezita Schnitzel 270 G,64.9
Gedik Tabaklı Izgara Tava,300.9
Gedik Tabaklı Kök Kanat,199.9
Banvit Piliç Çıtır Pane 275 g,83.75
Dana Kıyma (%14-%20 Yağ) Kg,769.9
Dana Kuşbaşı Kg,829.9
Dana Sote Kg,929.9
Dana Döş Sarma Kg,799.9
Dana Kıyma (%5-%7 Yağ) Kg,943.9
Dana Kıyma ( %7 - %14 Yağ ) Kg,910.9
Dana But Biftek Kg,929.9
Kasap Köfte Kg,799.9
Dana Tas Kebabı Kg,929.9
Kuzu Kuşbaşı Kg,1049.9
Dana Sac Kavurma Kg,875.9
Ettat Pişmiş Dana Döner 250 g,199.9
Kuzu Kol Kemiksiz Kg,962.9
Kuzu Sote Kg,1049.9
Kuzu Kol Fırın Kg,902.9
Gurvita İlikli Kemik Suyu Kuzu 4X50 ml,159.95
Dana Antrikot Kg,1599.9
Kuzu Kapama Kg,977.9
Kuzu İncik Kg,981.9
Dana Bonfile Kg,2299.9
Dana Kıyma Map 1 kg,619.9
Kuzu Kaburga Kg,763.9
Dana Strogonof Kg,959.9
Urfa Kebap Kg,879.9
Acılı Kebap Kg,879.9
Kuzu But Kemikli Kg,938.9
Kuzu Biftek Kg,1149.9
Gurvita Premium Paça Çorbası 370 ml,379.95
Kuzu Pirzola Kg,1699.9
Kuzu Çöp Şiş Kg,1149.9
Kuzu Külbastı Kg,1149.9
Kuzu Şişlik Et Kg,1149.9
Gurvita Tavuk Suyu Sade 4X50 ml,159.95
Ege Ciğercisi Dana Karaciğer 500 g,349.95
Ege Ciğercisi Dana Pöç 500 g,259.9
Dana Kontrafile Kg,1199.9
Kuzu But Kemiksiz Kg,1037.9
Dana Şişlik Et Kg,959.9
Dana Nuar - Rosto Kg,959.9
Gurvita İlikli Kemik Suyu Sade 4X50 ml,159.95
Gurvita İlikli Kemik Suyu Sade 320 ml,229.95
Gurvita Tavuk Suyu Sade 320 ml,229.95
Dana Arnavut Ciğer Pişmiş 150 g,189.95
Kuzu Kol Kemikli Kg,858.9
Gurvita Tavuk Suyu Sebzeli 320 ml,229.95
Gurvita İlikli Kemik Suyu Ezogelin Çorba 370 ml,249.95
Gurvita İlikli Kemik Suyu Sebzeli 320 ml,229.95
Kuzu Kelle Söğüş 150 g,275.9
Pişmiş Dana Dil 200 g,299.95
Pişmiş Kelle Paça 200 g,249.9
Ege Ciğercisi Dana İşkembe 500 g,149.95
Pişmiş Dana İşkembe 200 g,159.9
Beyın Salatası 150 g,199.9
Pişmiş Kuzu Kokoreç 200 g,319.95
Ege Ciğercisi Kuzu İşkembe 500 g,99.9
Ege Ciğercisi Dana Böbrek 500 g,99.95
Ege Ciğercisi Dana Yürek 500 g,129.95
Ege Ciğercisi Dana Dil 750 g,489.9
Ege Ciğercisi Kuzu Paça 4 Adet,149.95
Ege Ciğercisi Dana Dalak 750 g,139.95
Dana Dil Söğüş 150 g,299.95
Gurvita Kuzu İlikli Kemik Suyu 320 Ml,229.95
Gurvita Kelle Paça Çorbası 660 ml,639.95
Gurvita Premium Tavuk Etli Çorba 370 ml,299.95
Gurvita Baby Kuzu İlikli  Kemik Sulu Tatlı Patates 4x50 g,199.95
