isim,fiyat
Patates Kızartması (Kova/Porsiyon): –,140
Soğan Halkası (6’lı),80
Turşu Suyu,40
Ayran (Açık/Kapalı),40
Ayran (Açık/Kapalı): –,50
Künefe,350
Sütlaç,160
Mevlana Pide Menü Fiyatları 2026 – Konya Mutfağının Bol Malzemesi Mayıs 28,2026
Etçi Mehmet Menü Fiyatları 2026 – Dünya Markası Lezzetler Mayıs 31,2026
Ali Haydar Usta Menü Fiyatları 2026 – İkinci Bahar Efsanesi Mayıs 28,2026
Aktaşlar Menü Fiyatları 2026 – Ordu Pidesinin Lezzet Krallığı Mayıs 28,2026
50 gr tavuk - patates - turşu - mayonez,190
70 gr tavuk - klasik doyurucu boy,220
90 gr tavuk - 1.5 lavaş ekmeğine sarılı,260
100 gr tavuk - çift lavaş - dev boy,290
Puf ekmek arası soslu döner,210
Klasik yarım ekmek arası,190
Tortilla ekmeği - kaşar - karamelize soğan,230
Tabakta pilav ve patates eşliğinde,320
Tereyağlı pilav üzerinde,350
Patates Kızartması (Kova/Porsiyon),140
Ayran (Açık/Kapalı),50
Hot Döner menü fiyatları,2026
🍖 Koç Cağ Kebap Şiş ve Porsiyon Fiyatları,2026
Tek Şiş Cağ Kebap Odun ateşinde - yaklaşık 60-70 gr et,220
Porsiyon Cağ Kebap (2 Şiş) Lavaş - soğan ve ezme eşliğinde,440
Duble Cağ Kebap (3 Şiş) Daha doyurucu seçenek,650
Çocuk Menüsü (1 Şiş + Patates) Küçük misafirler için,320
Kilo ile Cağ Kebap (Pişmiş) Paket servis veya gruplar için 1 kg,3800
Erzurum Kesme Çorbası,160
Mercimek Çorbası,120
Süzme Yoğurt (Özel),140
Çoban Salata (Ekstra Duble),180
Kadayıf Dolması (Adet) Cevizli - kızarmış - şerbetli klasik,150
Kaymaklı Kadayıf Dolması Üzeri manda kaymağı ile,190
Fırın Sütlaç Taş fırında pişmiş,160
İrmik Helvası Dondurmalı servis,180
Açık Yayık Ayran (Büyük),80
Kutu Meşrubatlar,75
Şalgam Suyu (Acılı/Acısız),70
Türk Kahvesi,95
Demleme Çay (Bardak),30
Kanaat Lokantası Menü Fiyatları 2026 – Üsküdar’ın Tarihi Lezzet Mabedi Mayıs 31,2026
Blackwell Sushi Menü Fiyatları 2026 – Modern Uzak Doğu Gastronomisi Mayıs 15,2026
Develi Menü Fiyatları 2026 – Asırlık Antep Lezzeti Aralık 12,2025
Aralık 12,2025
Sütiş Menü Fiyatları 2026 – Geleneksel Lezzetlerin Modern Adresi Mayıs 15,2026
Odun ateşinde - yaklaşık 60-70 gr et,220
Lavaş - soğan ve ezme eşliğinde,440
Daha doyurucu seçenek,650
Küçük misafirler için,320
Paket servis veya gruplar için 1 kg,3800
Cevizli - kızarmış - şerbetli klasik,150
Üzeri manda kaymağı ile,190
Taş fırında pişmiş,160
Dondurmalı servis,180
Koç Cağ Kebap menü fiyatları,2026
Sıralı Özel Kebap Mekanın imzası,990
Küşleme Dolama Kuzu küşleme eti - ince dilimlenmiş ve özel sosla sarılmış,950
Fıstıklı Kebap Bol Antep fıstıklı zırh kıyma,820
Çedarlı Kebap Eriyen çedar peyniri şelalesi ile servis edilir,880
Vişneli Kebap Ekşi ve tuzlunun uyumu (Mevsiminde),850
Ali Nazik (Sıralı Usulü) Köz patlıcan ve süzme yoğurt yatağında,890
Kuzu Lokum Yumuşacık kuzu sırtı dilimleri,1100
Adana Dolama Lavaş sarılı - özel soslu ve yoğurtlu,1300
Zırh Kıyma (Adana/Urfa): Klasik lezzet,760
Patlıcanlı Kebap: Birecik patlıcanı ile,960
Kuzu Şiş,760
Tavuk Şiş: Özel marinasyonlu,660
Tabak Altı Lahmacun (Antep/Urfa): Sarımsaklı ve bol malzemeli - çıtır hamur,350
Fındık Lahmacun (Adet),140
Humus (Pastırmalı/Tereyağlı): Sıcak servis,520
Muhammara (Cevizli),350
Gavurdağı Salatası: Bol cevizli ve nar ekşili,400
Çiğ Köfte (Etsiz): El yapımı,320
Fırında Mantar Dolma: Kaşarlı,420
Karamelize Soğanlı Ciğer: Yaprak ciğer,900
Paçanga Topları,430
Cennet Çamuru: Bol Antep fıstığı - tereyağı ve kaymakla hazırlanan - sıcak servis edilen yeşil bir rüya,650
Sıralı Künefe: Peynirli ve fıstıklı,600
Katmer: İncecik hamur - bol kaymak ve fıstık,620
Ayva Tatlısı (Mevsiminde),380
İnci Bosphorus Menü Fiyatları 2026 – Lüks Serpme Kahvaltıdan Dallas Steak’e Mayıs 15,2026
Dominos Pizza Menü Fiyatları 2026 – Kampanya ve Fırsatlar Aralık 10,2025
Mado Menü Fiyatları 2026 – Gerçek Dondurma ve Lezzet Durağı Aralık 10,2025
Mekanın imzası. Zırh kıyma - özel baharatlar - çam fıstığı ve kaşar peyniri dolgulu rulo kebap,990
Kuzu küşleme eti - ince dilimlenmiş ve özel sosla sarılmış,950
Bol Antep fıstıklı zırh kıyma,820
Eriyen çedar peyniri şelalesi ile servis edilir,880
Ekşi ve tuzlunun uyumu (Mevsiminde),850
Köz patlıcan ve süzme yoğurt yatağında,890
Yumuşacık kuzu sırtı dilimleri,1100
Lavaş sarılı - özel soslu ve yoğurtlu,1300
Klasik lezzet,760
Birecik patlıcanı ile,960
Özel marinasyonlu,660
Sarımsaklı ve bol malzemeli - çıtır hamur,350
Sıcak servis,520
Bol cevizli ve nar ekşili,400
El yapımı,320
Kaşarlı,420
Yaprak ciğer,900
Zeytinyağlı,440
Bol Antep fıstığı - tereyağı ve kaymakla hazırlanan - sıcak servis edilen yeşil bir rüya,650
Peynirli ve fıstıklı,600
İncecik hamur - bol kaymak ve fıstık,620
Vogue Sushi Menüsü ve Fiyatları,2026
Vogue Special Roll Yılan balığı - avokado - karides tempura ve özel sos,1250
Ebi Tempura Roll Çıtır karides - salatalık ve susam,980
California Roll Yengeç surimi - avokado ve tobiko (uçan balık yumurtası),950
Spicy Tuna Roll Acılı ton balığı ve taze soğan,1100
Dragon Roll Yılan balığı ve avokado kaplamalı,1300
Sashimi Selection (9 Parça) Şefin seçimi taze çiğ balık dilimleri (Somon - Levrek - Ton),1800
Nigiri (Adet) Somon - Ebi - Suzuki veya Maguro,350
Nigiri (Adet) Somon - Ebi - Suzuki veya Maguro –,450
Edamame Deniz tuzu veya acılı sos ile,550
Miso Soslu Siyah Morina (Black Cod),2800
Ağır Ateşte Pişmiş Kuzu İncik,2400
Izgara Deniz Levreği,2200
Ördek Konfi (Duck Confit),2600
Dana Bonfile (Rossini),2900
Trüflü Risotto,1900
Ev Yapımı Tagliatelle,1600
Burrata,1100
Dana Carpaccio,1250
Tuna Tartar,1350
Kinoa Salatası,950
İmza Kokteyller,1100
İmza Kokteyller: –,1500
Terra Pizza Menü Fiyatları 2026 – Türkiye’nin Pizzacısı Mayıs 31,2026
Helvacı Ali Menü Fiyatları 2026 – Geleneksel Tatların Modern Serüveni Mayıs 15,2026
Çırağan Sarayı Menü Fiyatları 2026 – İhtişamın ve Lezzetin Zirvesi Aralık 11,2025
Gülistan Sofrası Menü Fiyatları 2026 – Eskişehir’in Lezzet Bahçesi Mayıs 31,2026
Simit Dünyası Menü Fiyatları 2026 – Taze Fırın Ürünlerinin Yeni Adresi Mayıs 28,2026
Yılan balığı - avokado - karides tempura ve özel sos,1250
Çıtır karides - salatalık ve susam,980
Yengeç surimi - avokado ve tobiko (uçan balık yumurtası),950
Acılı ton balığı ve taze soğan,1100
Yılan balığı ve avokado kaplamalı,1300
Şefin seçimi taze çiğ balık dilimleri (Somon - Levrek - Ton),1800
Somon - Ebi - Suzuki veya Maguro,350
Somon - Ebi - Suzuki veya Maguro,450
Sushi Platter (Karışık),4500
Sushi Platter (Karışık),6000
Deniz tuzu veya acılı sos ile,550
Kinoa Salatası,1050
Vogue - Türkiye’nin ilk moleküler kokteyl menüsünü sunan mekanlarından biridir,1500
(Dumanlı sunumlar - taze meyve püreleri ve premium alkoller.),1600
(Dumanlı sunumlar - taze meyve püreleri ve premium alkoller.),4500
Vogue Restaurant menü fiyatları,2026
Kıymalı Pide Dana kıyma - soğan - domates - biber,280
Bıçak Arası (Kuşbaşılı) Minik doğranmış dana eti ve sebzeler,360
Kaşarlı Pide Bol kaşar peyniri - uzayan lezzet,300
Kıymalı Kaşarlı Kıyma ve kaşarın muhteşem uyumu,320
Kuşbaşılı Kaşarlı Et severlerin favorisi,380
Karışık Pide Kuşbaşı - kıyma - sucuk ve kaşar,420
Sucuklu Pide Kasap sucuklu ve kaşarlı,340
Pastırmalı Pide Kayseri pastırması ile (Mevsimsel fiyatlanabilir),450
Mevlana Pide Konya usulü - kıyma ve peynir karışık,310
Tahinli Pide (Sade),220
Cevizli Tahinli Pide,280
Tahinli Pide (Kaymaklı),320
Kilo İle Tahinli Pide,850
Ezogelin Çorbası,120
Kelle Paça,260
Mevsim Salatası,140
Çoban Salatası,140
Cacık,110
Şalgam Suyu,50
Kutu Meşrubatlar,60
Çay,25
Burger King Menü Fiyatları 2026 – Güncel Liste Aralık 10,2025
Espressolab Menü Fiyatları 2026 – Nitelikli Kahve Deneyimi Aralık 10,2025
Dana kıyma - soğan - domates - biber,280
Minik doğranmış dana eti ve sebzeler,360
Bol kaşar peyniri - uzayan lezzet,300
Kıyma ve kaşarın muhteşem uyumu,320
Et severlerin favorisi,380
Kuşbaşı - kıyma - sucuk ve kaşar,420
Kasap sucuklu ve kaşarlı,340
Kayseri pastırması ile (Mevsimsel fiyatlanabilir),450
Konya usulü - kıyma ve peynir karışık,310
Pidenin en iyi eşlikçisi şüphesiz ayrandır,40
Pidenin en iyi eşlikçisi şüphesiz ayrandır,50
Sağlık Pide menü fiyatları,2026
Melike Döner Porsiyon ve Servis Fiyatları,2026
Pilav Üstü Döner 80 gr yaprak döner + tereyağlı pilav,580
Porsiyon Döner (Küçük) 80 gr yaprak et döner + garnitür,560
Porsiyon Döner (Orta) 100 gr yaprak et döner + garnitür,650
Porsiyon Döner (Büyük) 120 gr yaprak et döner + garnitür,750
İskender Döner (Porsiyon) 100 gr döner - pide - sos - yoğurt ve tereyağı,850
Mantar Soslu Döner 100 gr döner - özel mantar sosu ve pilav,720
Döner Salata (Fit) 80 gr döner - bol yeşillik ve sos,620
Dürüm Döner (70 gr Et),450
Tombik Ekmek Döner (80 gr Et),480
Yarım Ekmek Döner (90 gr Et),520
Maxi Dürüm (100 gr Et),580
Yoğurt Çorbası (Ayran Aşı) Kase,140
Fırın Sütlaç Porsiyon,180
Kutu İçecekler 330 ml,75
Taze Limonata Bardak,120
Panino Pizza Menü Fiyatları 2026 – Odun Ateşinde Gurme İtalyan Lezzeti Mayıs 28,2026
Katibim Menü Fiyatları 2026 – Üsküdar’ın En Güzel Manzarası Mayıs 28,2026
Koç Cağ Kebap Menü Fiyatları 2026 – Erzurum’un Dünyaca Ünlü Lezzet Durağı Mayıs 15,2026
Kırıntı Menü Fiyatları 2026 – İstanbul’un İlk Diner’ı Mayıs 31,2026
80 gr yaprak döner + tereyağlı pilav,580
80 gr yaprak et döner + garnitür,560
100 gr yaprak et döner + garnitür,650
120 gr yaprak et döner + garnitür,750
100 gr döner - pide - sos - yoğurt ve tereyağı,850
100 gr döner - özel mantar sosu ve pilav,720
80 gr döner - bol yeşillik ve sos,620
Kase,140
Porsiyon,180
Büyük Boy,80
330 ml,75
Bardak,120
Su,30
Melike Döner menü fiyatları,2026
HD Döner (İskender) Fiyat Listesi,2026
HD İskender (Tek Porsiyon) Standart porsiyon döner - pide - sos - yoğurt,360
1.5 Porsiyon İskender Eti %50 daha fazla (En çok tercih edilen),480
Duble İskender Çift porsiyon et (Çok aç olanlara),620
Çocuk İskender Daha az pide ve et ile porsiyonlanmış,280
Porsiyon Döner (Sade) Altında pide olmadan - yanında patates/pilav ile,350
Pilav Üstü Döner Tereyağlı pilav üzerinde yaprak döner,380
Mercimek Çorbası: Özel soslu ve kıtır ekmekli,110
Patlıcanlı Çorba (Dönemlik): Köz patlıcan aromalı,120
Mevsim Salatası: Taze yeşillikler,130
Gavurdağı Salatası: Bol cevizli,160
Patates Kızartması,90
Turşu Tabağı: İskenderin en iyi eşlikçisi,60
Peynirli Künefe: Sıcak şerbetli - uzayan peynirli,160
Kaymaklı Künefe: Üzerine manda kaymağı ilaveli,210
Dondurmalı Künefe: Kesme dondurma ile,220
Sütlaç (Fırın): Daha hafif bir kapanış için,120
Trileçe: Karamelli,130
Şıra (Özel Yapım): Kuru üzüm suyundan - şekersiz ve doğal. İskenderle mükemmel uyum sağlar,85
Ayran (Yayık/Köpüklü): Bakır kupa veya büyük bardakta,55
Kutu İçecekler,60
Şalgam Suyu,55
Öküz Burger Menü Fiyatları 2026 – Sınırsız İçecek ve Gerçek Lezzet Mayıs 28,2026
Vogue Restaurant Menü Fiyatları 2026 – Beşiktaş’ın Zirvesinde Lezzet ve Manzara Mayıs 31,2026
Ciğerci Hamza Menü Fiyatları 2026 – Ciğer Kebabı ve Sınırsız Lezzet Şöleni Mayıs 15,2026
Standart porsiyon döner - pide - sos - yoğurt,360
Eti %50 daha fazla (En çok tercih edilen),480
Çift porsiyon et (Çok aç olanlara),620
Daha az pide ve et ile porsiyonlanmış,280
Altında pide olmadan - yanında patates/pilav ile,350
Tereyağlı pilav üzerinde yaprak döner,380
Özel soslu ve kıtır ekmekli,110
Köz patlıcan aromalı,120
Taze yeşillikler,130
Bol cevizli,160
İskenderin en iyi eşlikçisi,60
Sıcak şerbetli - uzayan peynirli,160
Üzerine manda kaymağı ilaveli,210
Kesme dondurma ile,220
Daha hafif bir kapanış için,120
Karamelli,130
Kuru üzüm suyundan - şekersiz ve doğal. İskenderle mükemmel uyum sağlar,85
Bakır kupa veya büyük bardakta,55
Tavuk Dürüm (Klasik) 80-90 gr döner - özel sos - patates - turşu,140
Zurna Dürüm Tavuk 120-130 gr döner - daha uzun lavaş (Extra Doyurucu),175
Sebzeli Dürüm Tavuk döner - biber - domates ve özel sos,150
Kaşarlı Dürüm Eriyen kaşar peyniri ilaveli,165
Porsiyon Döner (Servis) Tabakta döner - pilav/patates - salata ve pide ile,240
İskender (Tavuk Dönerden) Yoğurt ve tereyağı soslu,260
Ekmek Arası Döner Yarım ekmek arası (Klasik sevenlere),130
Tombik Döner Özel gobit ekmek arası,145
Klasik Dürüm Menü: Tavuk Dürüm + Orta Boy Patates + Kutu İçecek,230
Zurna Dürüm Menü: Zurna Dürüm + Orta Boy Patates + Kutu İçecek,270
Öğrenci Menüsü (Kampanyalı): Tavuk Dürüm + Ayran,190
Ekmek Arası Menü: Yarım Ekmek Döner + Patates + İçecek,220
Patates Kızartması (Orta Boy): Özel baharatlı,70
Patates Kızartması (Kova): Paylaşımlık,110
Nugget (6’lı),80
Soğan Halkası (8’li),70
Kutu İçecekler (Cola - Fanta - Sprite),55
Şalgam Suyu,45
Simit Sarayı Menü Fiyatları 2026 – Simit - Kahvaltı ve Fast-Casual Konsepti Mayıs 28,2026
Pizza Tomato Menü Fiyatları 2026 – İzmir’den Doğan Lezzet Mayıs 31,2026
Shake Shack Menü Fiyatları 2026 – Premium Burger’in Yeni Adresi Mayıs 28,2026
80-90 gr döner - özel sos - patates - turşu,140
120-130 gr döner - daha uzun lavaş (Extra Doyurucu),175
Tavuk döner - biber - domates ve özel sos,150
Eriyen kaşar peyniri ilaveli,165
Tabakta döner - pilav/patates - salata ve pide ile,240
Yoğurt ve tereyağı soslu,260
Yarım ekmek arası (Klasik sevenlere),130
Özel gobit ekmek arası,145
Tavuk Dürüm + Orta Boy Patates + Kutu İçecek,230
Zurna Dürüm + Orta Boy Patates + Kutu İçecek,270
Tavuk Dürüm + Ayran,190
Yarım Ekmek Döner + Patates + İçecek,220
Özel baharatlı,70
Paylaşımlık,110
Dilek Restaurant Kahvaltı Fiyatları,2026
Dilek Serpme Kahvaltı (2 Kişilik) Peynir tabağı - şarküteri - sıcak sepeti (börek - pişi) - sahanda yumurta - sınırsız çay,950
Hızlı Kahvaltı Tabağı Beyaz peynir - kaşar - domates - salatalık - zeytin - haşlanmış yumurta,480
Sıcak Kahvaltı Tabağı Izgara hellim - sucuk - sosis ve patates kızartması ağırlıklı,550
Menemen Taze domates ve biberle,260
Sucuklu Yumurta Tavada sıcak servis,300
Mıhlama (Kuymak) Karadeniz usulü uzayan peynirli,340
Su Böreği (Porsiyon) Dilek’in meşhur el açması böreği,240
Simit Tabağı Kaşar peyniri ve söğüş ile,220
Dilim Pasta (Çikolatalı/Meyveli),240
Adet Pasta (4-6 Kişilik),850
Adet Pasta (8-10 Kişilik),1200
Ekler (Porsiyon),220
Sütlaç (Fırın),180
Profiterol,230
Trileçe,200
Cheesecake (Limon/Frambuaz/San Sebastian),250
Waffle,320
Kuru Pasta (Kg),750
Dilek Burger 180 gr köfte - karamelize soğan - cheddar,420
Pizza (Karışık) İnce hamur - bol malzemeli,440
