isim,fiyat
Havuç Dilim Baklava –,470
Künefe –,680
Ayva Tatlısı –,585
Kabak Tatlısı –,585
Hamsiköy Sütlacı –,495
Çerez Tabağı –,470
Katmer –,940
Meyve Çeşitleri –,520
Dondurma (1 Top) –,130
Paşa Sarması (Fıstıklı) –,680
Dondurma (3 Top) –,385
Kişi başı,1300
Viyana Kahvesi Menü Fiyatları – Yeni Fiyat Listesi,2026
Tavadan Menü Fiyatları – Yeni Fiyat Listesi,2026
Midpoint Menü Fiyatları – Yeni Fiyat Listesi,2026
Ethem Efendi Menü Fiyatları – Yeni Fiyat Listesi,2026
Sakhalin İstanbul Menü Fiyatları – Yeni Fiyat Listesi,2026
Köşebaşı Menü Fiyatları – Yeni Fiyat Listesi,2026
Haberler Restoranlar Bayi Restoranları Kebapçı Yalçın Menü Fiyatları – Yeni Fiyat Listesi,2026
Kuşbaşı Porsiyon 260Gr,530
Urfa Porsiyon 240Gr,500
Küşleme Porsiyon 260Gr,530
Sarma Beyti 170Gr,500
Yürek Porsiyon 320Gr,540
Altı Ezmeli Kuşbaşı Porsiyon 280Gr,535
Domates Kebabı 200Gr,500
Löp Porsiyon 260Gr,530
Patlıcan Kebabı 280Gr,500
Karışık Kebap 2 Kişilik,1240
Kiremitte Kuşbaşı Kapama 320Gr,540
Haşhaş Kebabı Porsiyon 240Gr,500
Altı Ezmeli Karışık Porsiyon 250Gr,535
Maraş Taraklık 260Gr,500
Alinazik Kuşbaşı 280Gr,535
Tavuk Şiş,380
Kavurma Porsiyon 300Gr,230
Ali Nazik Kıyma 240Gr,520
Tava Küşleme 260Gr,530
Yağlı Kara Porsiyon 300Gr,540
Et Pirzola 350Gr,500
Kanat Porsiyon 300Gr,370
Ciğer Porsiyon 320Gr,540
Adana Porsiyon 220Gr,500
Altı Ezmeli 240Gr,525
Tavuk Sarma Porsiyon 320Gr,370
Kara Kavurma,520
Bülbül Porsiyon 280Gr,545
Beyran,245
Mercimek Çorbası,130
Çıtır Lahmacun,100
Kuşbaşı Kaşarlı Pide,375
Karışık Pide,375
Kıymalı Pide,320
Kıymalı Kaşarlı Pide,340
Kuşbaşı Pide,350
Kaşarlı Pide,300
İçli Köfte Adet,55
Fındık Lahmacun,65
Çiğ Köfte Porsiyon,200
Patates Kızartması Porsiyon,120
Özel Künefe,175
Künefe,125
Küçük Su,15
Fuse Tea,50
Türk Kahvesi,50
Sade Soda,30
Fanta,50
Kola,50
Kapalı Ayran,40
Açık Ayran,40
Şalgam,40
İmam Çağdaş Menü Fiyatları – Yeni Fiyat Listesi,2026
The Hunger Menü Fiyatları – Yeni Fiyat Listesi,2026
Tavacı Recep Usta Menü Fiyatları – Yeni Fiyat Listesi,2026
Çömlekçi Restaurant Menü Fiyatları – Yeni Fiyat Listesi,2026
4 Bayi Restoranları 7 Mehmet Menü Fiyatları – Yeni Fiyat Listesi,2026
5 Bayi Restoranları İmam Çağdaş Menü Fiyatları – Yeni Fiyat Listesi,2026
Bayi Restoranları İmam Çağdaş Menü Fiyatları – Yeni Fiyat Listesi,2026
KFC Menü Fiyatları – Yeni Fiyat Listesi,2026
Seraf Menü Fiyatları – Yeni Fiyat Listesi,2026
Meatmoot Menü Fiyatları – Yeni Fiyat Listesi,2026
Alaçatı Muhallebicisi Menü Fiyatları – Yeni Fiyat Listesi,2026
Masabaşı Kebapçısı Menü Fiyatları – Yeni Fiyat Listesi,2026
