id,urun,fiyat,kategori,url
erkek-slim-fit-dar-kesim-cikma-mono-yaka-tek-fleto-cepli-esnek-siyah-takim-elbise,erkek-slim-fit-dar-kesim-cikma-mono-yaka-tek-fleto-cepli-esnek-siyah-takim-elbise-p,"7999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-cikma-mono-yaka-tek-fleto-cepli-esnek-siyah-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-desenli-keten-acik-gri-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-desenli-keten-acik-gri-takim-elbise-p,"14999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-desenli-keten-acik-gri-takim-elbise-p
erkek-ekstra-slim-fit-dar-kesim-mono-yaka-desenli-kapak-cepli-haki-takim-elbise,erkek-ekstra-slim-fit-dar-kesim-mono-yaka-desenli-kapak-cepli-haki-takim-elbise-p,"8864,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-ekstra-slim-fit-dar-kesim-mono-yaka-desenli-kapak-cepli-haki-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-kareli-koyu-gri-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-kareli-koyu-gri-takim-elbise-p,"5993,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-kareli-koyu-gri-takim-elbise-p
erkek-su-gecirmez-regular-fit-genis-kesim-mono-yaka-yunlu-nano-siyah-takim-elbise-2,erkek-su-gecirmez-regular-fit-genis-kesim-mono-yaka-yunlu-nano-siyah-takim-elbise-2-p,"7999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/nano-takim-elbise-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/yeni-sezon-indirimi-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/cok-satanlar-c,https://www.altinyildizclassics.com/erkek-su-gecirmez-regular-fit-genis-kesim-mono-yaka-yunlu-nano-siyah-takim-elbise-2-p
erkek-ekstra-slim-fit-dar-kesim-kirlangic-yaka-siyah-takim-elbise,erkek-ekstra-slim-fit-dar-kesim-kirlangic-yaka-siyah-takim-elbise-p,"5416,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-ekstra-slim-fit-dar-kesim-kirlangic-yaka-siyah-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-bej-beyaz-takim-elbise-3,erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-bej-beyaz-takim-elbise-3-p,"5499,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-bej-beyaz-takim-elbise-3-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-koyu-gri-takim-elbise-2,erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-koyu-gri-takim-elbise-2-p,"5499,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/kombinli-takim-elbise-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-koyu-gri-takim-elbise-2-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-kruvaze-antrasit-takim-elbise-2,erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-kruvaze-antrasit-takim-elbise-2-p,"11999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-gofre-desenli-kruvaze-antrasit-takim-elbise-2-p
erkek-yun-slim-fit-dar-kesim-kirlangic-yaka-kapak-cepli-kruvaze-gri-takim-elbise,erkek-yun-slim-fit-dar-kesim-kirlangic-yaka-kapak-cepli-kruvaze-gri-takim-elbise-p,"9999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-yun-slim-fit-dar-kesim-kirlangic-yaka-kapak-cepli-kruvaze-gri-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-kapak-cepli-esnek-bej-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-kapak-cepli-esnek-bej-takim-elbise-p,"8999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-beli-baglamali-kapak-cepli-esnek-bej-takim-elbise-p
erkek-ekstra-slim-fit-dar-kesim-mono-yaka-kareli-kapak-cepli-gri-mavi-takim-elbise,erkek-ekstra-slim-fit-dar-kesim-mono-yaka-kareli-kapak-cepli-gri-mavi-takim-elbise-p,"7999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/klasik-takim-elbise-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/cok-satanlar-c,https://www.altinyildizclassics.com/erkek-ekstra-slim-fit-dar-kesim-mono-yaka-kareli-kapak-cepli-gri-mavi-takim-elbise-p
erkek-keten-slim-fit-dar-kesim-kirlangic-yaka-desenli-torba-cepli-kruvaze-bej-takim-elbise-2,erkek-keten-slim-fit-dar-kesim-kirlangic-yaka-desenli-torba-cepli-kruvaze-bej-takim-elbise-2-p,"8864,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/altinyildizclassics-firsatlari-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-keten-slim-fit-dar-kesim-kirlangic-yaka-desenli-torba-cepli-kruvaze-bej-takim-elbise-2-p
erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-ekru-takim-elbise,erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-ekru-takim-elbise-p,"5499,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-ekru-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-antrasit-takim-elbise-2,erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-antrasit-takim-elbise-2-p,"7999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/kombinli-takim-elbise-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-kareli-kapak-cepli-esnek-antrasit-takim-elbise-2-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-esnek-kruvaze-bej-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-esnek-kruvaze-bej-takim-elbise-p,"8864,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-esnek-kruvaze-bej-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-cizgili-kruvaze-vizon-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-cizgili-kruvaze-vizon-takim-elbise-p,"19999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-torba-cepli-cizgili-kruvaze-vizon-takim-elbise-p
erkek-slim-fit-dar-kesim-mono-yaka-armurlu-esnek-siyah-takim-elbise,erkek-slim-fit-dar-kesim-mono-yaka-armurlu-esnek-siyah-takim-elbise-p,"5499,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-mono-yaka-armurlu-esnek-siyah-takim-elbise-p
erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-bej-takim-elbise,erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-bej-takim-elbise-p,"14999,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/kruvaze-takim-elbise-c,https://www.altinyildizclassics.com/erkek-100-keten-slim-fit-kirlangic-yaka-torba-cepli-kruvaze-bej-takim-elbise-p
erkek-slim-fit-dar-kesim-kirlangic-yaka-cizgili-esnek-siyah-takim-elbise,erkek-slim-fit-dar-kesim-kirlangic-yaka-cizgili-esnek-siyah-takim-elbise-p,"5499,99 TL",https://www.altinyildizclassics.com/giyim-c | https://www.altinyildizclassics.com/takim-elbise-c | https://www.altinyildizclassics.com/kampanyalar-c | https://www.altinyildizclassics.com/efsane-yildiz-gunleri-c | https://www.altinyildizclassics.com/siyah-takim-elbise-c,https://www.altinyildizclassics.com/erkek-slim-fit-dar-kesim-kirlangic-yaka-cizgili-esnek-siyah-takim-elbise-p
