id,sku,name,brand,category,category_id,regular_price,sale_price,discount_pct,currency,in_stock,url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
P10026294,617323,multi-peptide lash and brow serum  - yoğun görünüm kaş kirpik serumu,the ordinary,skincare/type of care/lash and eyebrow care,cilt-bakimi-c303,820.0,820.0,0.0,TRY,True,https://www.sephora.com.tr/p/multi-peptidler---kirpik-ve-kas-serumu-617323.html,12,,-4.761904761904762,,
P10012268,529695,moisture surge intense - 72h nemlendirici,clinique,skincare/type of care/day cream,cilt-bakimi-c303,1275.0,1275.0,0.0,TRY,True,https://www.sephora.com.tr/p/moisture-surge-intense-p10012268.html,12,,-4.761904761904762,,
P3347006,439867,brazilian crush cheirosa 62 -   saç misti,sol de janeiro,fragrance/women's fragrance/koku mistleri,cilt-bakimi-c303,1999.0,1999.0,0.0,TRY,True,https://www.sephora.com.tr/p/brazilian-crush-body-fragrance-mist-p3347006.html,12,,-4.761904761904753,,
P10045394,642935,multi-peptide + ha serum  - yaşlanma belirtileri karşıtı serum,the ordinary,skincare/type of care/serum,cilt-bakimi-c303,1075.0,1075.0,0.0,TRY,True,https://www.sephora.com.tr/p/multi-peptid-serum-ha---yaslanma-karsiti-serum-642935.html,12,,-4.761904761904762,,
P3921095,502423,aha 30% + bha 2% peeling solution  - aydınlık cilt görünümüne yardımcı peeling,the ordinary,skincare/type of care/natural care,cilt-bakimi-c303,555.0,555.0,0.0,TRY,True,https://www.sephora.com.tr/p/aha-%2530-bha-%252-peeling-solusyonu---peeling-bakimi-502423.html,12,,-4.761904761904762,,
P10010128,521862,advanced night repair - onarıcı gece serumu,estée lauder,skincare/type of care/serum,cilt-bakimi-c303,4875.0,4875.0,0.0,TRY,True,https://www.sephora.com.tr/p/estee-lauder-advanced-night-repair-serum-p10010128.html,12,,-4.761904761904762,,
P3921107,502448,natural moisturizing factors + ha  - yüz nemlendiricisi,the ordinary,skincare/type of care/day cream,cilt-bakimi-c303,795.0,795.0,0.0,TRY,True,https://www.sephora.com.tr/p/dogal-nemlendirici-faktorler-ha---nemlendirici-krem-502448.html,12,,-4.761904761904762,,
P10057607,721767,güneşe karşı koruyucu yüz kremi spf50+ - güneş koruyucu,shiseido,skincare/sun care/face sun protection,cilt-bakimi-c303,3090.0,3090.0,0.0,TRY,True,https://www.sephora.com.tr/p/gunese-karsi-koruyucu-yuz-kremi-spf50----gunes%c2%a0koruyucu-721767.html,12,,-4.761904761904762,,
P3662005,615224,lip sleeping mask - dudak bakım maskesi,laneige,skincare/type of care/lip care,cilt-bakimi-c303,1759.0,1759.0,0.0,TRY,True,https://www.sephora.com.tr/p/lip-sleeping-mask-p3662005.html,12,,-4.7619047619047645,,
P10058248,689009,multi-peptide + copper peptides 1% serum - yaşlanma belirtileri karşıtı serum,the ordinary,skincare/shop by concern/anti aging care,cilt-bakimi-c303,1800.0,1800.0,0.0,TRY,True,https://www.sephora.com.tr/p/coklu-peptidler-bakir-peptitler-%251-serum---yuz-bakim-serumu-689009.html,12,,-4.761904761904762,,
P1000209721,789936,bio collagen-real deep mask - nemlendirici ve sıkılaştırıcı maske,biodance,skincare/shop by concern/anti aging care,cilt-bakimi-c303,449.0,449.0,0.0,TRY,True,https://www.sephora.com.tr/p/bio-collagen-real-deep-mask---nemlendirici-ve-sikilastirici-maske-p1000209721.html,12,,-4.761904761904759,,
P3529021,460019,caffeine eye contour - göz kremi,the inkey list,skincare/type of care/eye contour care,cilt-bakimi-c303,829.0,829.0,0.0,TRY,True,https://www.sephora.com.tr/p/caffeine-eye-contour-460019.html,12,,-4.761904761904767,,
P10021822,772969,lip butter balm - parlaklık ve nemlendirme etkili balm,summer fridays,skincare/type of care/lip care,cilt-bakimi-c303,2139.0,2139.0,0.0,TRY,False,https://www.sephora.com.tr/p/lip-butter-balm---nemlendirici-dudak-balmi-p10021822.html,12,,-4.761904761904754,,
P10049986,689459,ginzing - aydınlatıcı göz kremi,origins,skincare/type of care/eye contour care,cilt-bakimi-c303,1895.0,1895.0,0.0,TRY,True,https://www.sephora.com.tr/p/ginzing---aydinlatici-goz-kremi-p10049986.html,12,,-4.761904761904762,,
P10013694,453775,protini polypeptide cream  - nemlendirici krem,drunk elephant,skincare/type of care/day cream,cilt-bakimi-c303,5579.0,5579.0,0.0,TRY,True,https://www.sephora.com.tr/p/protini-polypeptide-cream%c2%a0-p10013694.html,12,,-4.761904761904759,,
P10057536,690790,moisturizing hydratant - dudak nemlendiricisi,sephora collection,skincare/type of care/lip care,cilt-bakimi-c303,399.0,399.0,0.0,TRY,True,https://www.sephora.com.tr/p/nemlendirici-dudak-balsami---8-saat-nemlendirici-dudak-bakimi-p10057536.html,12,,-4.761904761904759,,
P10061358,725478,suya dayanıklı express makyaj temizleyici - makyajı çıkarır + cildi yatıştırır,sephora collection,makeup/make-up remover/face make-up remover,cilt-bakimi-c303,419.0,419.0,0.0,TRY,True,https://www.sephora.com.tr/p/suya-dayanikli-express-makyaj-temizleyici---makyaji-cikarir-cildi-yatistirir-p10061358.html,12,,-4.761904761904759,,
P10014051,548885,ascorbyl glucoside solution 12%  - c vitamini serumu,the ordinary,skincare/type of care/endişe odaklı bakım,cilt-bakimi-c303,870.0,870.0,0.0,TRY,True,https://www.sephora.com.tr/p/%2512-askorbil-glikozit-cozeltisi---hafif-serum-548885.html,12,,-4.761904761904762,,
P10017488,559606,cicapair tiger grass color correcting treatment - cilt tonu eşitleyici bakım,dr.jart+,skincare/type of care/endişe odaklı bakım,cilt-bakimi-c303,1429.0,1429.0,0.0,TRY,False,https://www.sephora.com.tr/p/cicapair-tiger-grass-p10017488.html,12,,-4.761904761904765,,
P3607050,465275,cc eye with centella asiatica - aydınlatıcı krem,erborian,skincare/type of care/eye contour care,cilt-bakimi-c303,1949.0,1949.0,0.0,TRY,False,https://www.sephora.com.tr/p/cc-family-cc-eye-clair-10ml-p3607050.html,12,,-4.761904761904764,,
P10014050,548884,salicylic acid 2% masque  - sivilce ve leke eğilimli ciltler i̇çin maske,the ordinary,skincare/mask/cream mask,cilt-bakimi-c303,815.0,815.0,0.0,TRY,True,https://www.sephora.com.tr/p/%252-salisilik-asit-maskesi-548884.html,12,,-4.761904761904762,,
P1000212433,805204,rejuvenating caviar pdrn mask – gençleştirici havyar & pdrn maskesi,biodance,skincare/mask/cloth mask,cilt-bakimi-c303,449.0,449.0,0.0,TRY,True,https://www.sephora.com.tr/p/rejuvenating-caviar-pdrn-mask-%e2%80%93-genclestirici-havyar-et-pdrn-maskesi-p1000212433.html,12,,-4.761904761904759,,
P10050003,725754,natural moisturizing factors + beta glucan  - hafif yapılı jel nemlendirici,the ordinary,skincare/type of care/day cream,cilt-bakimi-c303,360.0,360.0,0.0,TRY,True,https://www.sephora.com.tr/p/dogal-nemlendirici-faktorler-beta-glukan---nemlendirici-jel-p10050003.html,12,,-4.761904761904762,,
P1000202505,703087,b-goldi - niasinamid i̇çeren aydınlık verici serum,drunk elephant,skincare/type of care/serum,cilt-bakimi-c303,3219.0,3219.0,0.0,TRY,False,https://www.sephora.com.tr/p/b-goldi---niasinamid-i%cc%87ceren-aydinlik-verici-serum-703087.html,12,,-4.7619047619047565,,
