canonical_key,tuik_category,sector,product_key,store,relative_compare
caykur tiryaki siyah dokme cay 5 kg,01,market,Çaykur Tiryaki Siyah Dökme Çay 5 Kg,Marketzade,2.6457883369330526
caykur tomurcuk cay 200 gr,01,market,Çaykur Tomurcuk Çay 200 Gr,Marketzade,
caykur tomurcuk cay teneke 125 gr,01,market,Çaykur Tomurcuk Çay Teneke 125 Gr,Marketzade,0.0
caykur tomurcuk cayi 125 gr,01,market,Çaykur Tomurcuk Çayı 125 gr,Hapeloglu,0.0
caykur tomurcuk kutu 200 gr,01,market,Çaykur Tomurcuk Kutu 200 gr,Hapeloglu,0.0
caykur tomurcuk poset 200 gr,01,market,Çaykur Tomurcuk Poşet 200 Gr,Marketzade,
caykur yaprak sade yesil cay 150 gr,01,market,Çaykur Yaprak Sade Yeşil Çay 150 gr,Hapeloglu,0.0
caykur yesil cay burcum 100 gr,01,market,Çaykur Yeşil Çay Burcum 100 gr,Hapeloglu,0.0
caykur yesil cay elmali 40gr,01,market,Çaykur Yeşil Çay Elmalı 40gr,Hapeloglu,0.0
caykur yesil cay melisa 40gr,01,market,Çaykur Yeşil Çay Melisa 40gr,Hapeloglu,0.0
caykur yesil cay naneli 40gr,01,market,Çaykur Yeşil Çay Naneli 40gr,Hapeloglu,0.0
"cbs plassoft beyaz 7,5 lt",05,construction,"ÇBS PLASSOFT BEYAZ 7,5 LT",Hausmart,0.0
"cbs saten aqua beyaz 2,5 lt",05,construction,"ÇBS SATEN AQUA BEYAZ 2,5 LT",Hausmart,0.0
"cbs truva yat vernik 0,75 ml",05,construction,"ÇBS TRUVA YAT VERNİK 0,75 ML",Hausmart,
"cbs universal astar 7,5 lt beyaz",05,construction,"ÇBS UNIVERSAL ASTAR 7,5 LT BEYAZ",Hausmart,0.0
cc ii plus+ masaj jeli 100ml,13,cosmetics,CC II Plus+ Masaj Jeli 100ml,Dermomarket,0.0
cc ii takviye edici gida 30 kapsul,13,cosmetics,CC II Takviye Edici Gıda 30 Kapsül,Dermomarket,0.0
cece derm alyc cleansing gel 500 ml,13,cosmetics,Cece Derm alyC Cleansing Gel 500 ml,Dermomarket,0.0
cece derm sensac gel moussant 500 ml,13,cosmetics,Cece Derm sensaC Gel Moussant 500 ml,Dermomarket,0.0
cececap skin hair nails takviye edici gida 30 kapsul,13,cosmetics,Cececap Skin Hair Nails Takviye Edici Gıda 30 Kapsül,Dermomarket,0.0
cececap skin hair nails takviye edici gida 90 kapsul,13,cosmetics,Cececap Skin Hair Nails Takviye Edici Gıda 90 Kapsül,Dermomarket,0.0
cecemed dokulme karsiti gunluk bakim seti,13,cosmetics,CeceMED Dökülme Karşıtı Günlük Bakım Seti,Dermomarket,0.0
cecemed dokulme karsiti vitamin seti 2,13,cosmetics,Cecemed Dökülme Karşıtı Vitamin Seti 2,Dermomarket,0.0
cecemed hassas sac derisi icin sampuan 300 ml,13,cosmetics,CeceMED Hassas Saç Derisi İçin Şampuan 300 ml,Dermomarket,0.0
cecemed hassas sac dipleri icin losyon 75 ml,13,cosmetics,CeceMED Hassas Saç Dipleri İçin Losyon 75 ml,Dermomarket,0.0
cecemed kuru yipranmis ve boyali saclar icin sac kremi 300 ml,13,cosmetics,CeceMED Kuru Yıpranmış ve Boyalı Saçlar İçin Saç Kremi 300 ml,Dermomarket,0.0
cecemed kuru yipranmis ve boyali saclar icin sac maskesi 200 ml,13,cosmetics,CeceMED Kuru Yıpranmış ve Boyalı Saçlar İçin Saç Maskesi 200 ml,Dermomarket,0.0
cecemed kuru yipranmis ve boyali saclar icin sampuan 300 ml,13,cosmetics,CeceMED Kuru Yıpranmış ve Boyalı Saçlar İçin Şampuan 300 ml,Dermomarket,0.0
cecemed manuka yagli kepek karsiti losyon 75 ml,13,cosmetics,CeceMED Manuka Yağlı Kepek Karşıtı Losyon 75 ml,Dermomarket,0.0
cecemed manuka yagli kepek karsiti sampuan 300 ml,13,cosmetics,CeceMED Manuka Yağlı Kepek Karşıtı Şampuan 300 ml,Dermomarket,0.0
cecemed sac dokulmesine karsi avantajli paket,13,cosmetics,CeceMed Saç Dökülmesine Karşı Avantajlı Paket,Dermomarket,0.0
cecemed sac dokulmesine karsi krem 300 ml,13,cosmetics,CeceMED Saç Dökülmesine Karşı Krem 300 ml,Dermomarket,0.0
cecemed sac dokulmesine karsi sampuan 300 ml,13,cosmetics,CeceMED Saç Dökülmesine Karşı Şampuan 300 ml,Dermomarket,0.0
