tuik_category,sector,product_key,price,store,basic_inflation_15d,basic_inflation_30d
05,construction,10073395,70.0,Bauhaus,0.0,
05,construction,10073428,135.0,Bauhaus,0.0,
05,construction,10073429,140.0,Bauhaus,0.0,
05,construction,10073430,95.0,Bauhaus,0.0,
05,construction,10073431,95.0,Bauhaus,0.0,
05,construction,10073432,95.0,Bauhaus,0.0,
05,construction,10073433,95.0,Bauhaus,0.0,
05,construction,10073434,105.0,Bauhaus,0.0,
05,construction,10073435,95.0,Bauhaus,0.0,
05,construction,10073436,105.0,Bauhaus,0.0,
05,construction,10073437,115.0,Bauhaus,0.0,
05,construction,10073438,115.0,Bauhaus,0.0,
05,construction,10073439,125.0,Bauhaus,0.0,
05,construction,10073440,120.0,Bauhaus,0.0,
05,construction,10073441,115.0,Bauhaus,0.0,
05,construction,10073442,120.0,Bauhaus,0.0,
05,construction,10073443,130.0,Bauhaus,0.0,
05,construction,10073444,125.0,Bauhaus,0.0,
05,construction,10073445,105.0,Bauhaus,0.0,
05,construction,10073446,120.0,Bauhaus,0.0,
05,construction,10073447,135.0,Bauhaus,0.0,
05,construction,10073448,135.0,Bauhaus,0.0,
05,construction,10073449,145.0,Bauhaus,0.0,
05,construction,10073450,95.0,Bauhaus,0.0,
05,construction,10073451,110.0,Bauhaus,0.0,
05,construction,10073452,105.0,Bauhaus,0.0,
05,construction,10073453,115.0,Bauhaus,0.0,
05,construction,10073454,130.0,Bauhaus,0.0,
05,construction,10073455,135.0,Bauhaus,0.0,
05,construction,10073456,130.0,Bauhaus,0.0,
05,construction,10073457,140.0,Bauhaus,0.0,
05,construction,10073458,125.0,Bauhaus,0.0,
05,construction,10073459,120.0,Bauhaus,0.0,
05,construction,10073460,145.0,Bauhaus,0.0,
05,construction,10073461,95.0,Bauhaus,0.0,
05,construction,10073462,105.0,Bauhaus,0.0,
05,construction,10073463,110.0,Bauhaus,0.0,
05,construction,10073464,115.0,Bauhaus,0.0,
05,construction,10073465,130.0,Bauhaus,0.0,
05,construction,10073466,130.0,Bauhaus,0.0,
05,construction,10073467,140.0,Bauhaus,0.0,
05,construction,10073468,145.0,Bauhaus,0.0,
05,construction,10073469,165.0,Bauhaus,0.0,
05,construction,10073470,185.0,Bauhaus,0.0,
05,construction,10073477,125.0,Bauhaus,0.0,
05,construction,10073478,140.0,Bauhaus,0.0,
05,construction,10073479,140.0,Bauhaus,0.0,
05,construction,10073480,145.0,Bauhaus,0.0,
05,construction,10073481,160.0,Bauhaus,0.0,
05,construction,10073482,165.0,Bauhaus,0.0,
05,construction,10073483,150.0,Bauhaus,0.0,
05,construction,10073484,150.0,Bauhaus,0.0,
05,construction,10073485,145.0,Bauhaus,0.0,
05,construction,10073486,150.0,Bauhaus,0.0,
05,construction,10073487,160.0,Bauhaus,0.0,
05,construction,10073488,160.0,Bauhaus,0.0,
05,construction,10073545,465.0,Bauhaus,0.0,
05,construction,10073546,495.0,Bauhaus,0.0,
05,construction,10073547,415.0,Bauhaus,0.0,
05,construction,10073548,460.0,Bauhaus,0.0,
05,construction,10073549,495.0,Bauhaus,0.0,
05,construction,10073550,690.0,Bauhaus,0.0,
05,construction,10073551,515.0,Bauhaus,0.0,
05,construction,10073552,485.0,Bauhaus,0.0,
05,construction,10073553,430.0,Bauhaus,0.0,
05,construction,10073554,415.0,Bauhaus,0.0,
05,construction,10073555,445.0,Bauhaus,0.0,
05,construction,10073560,295.0,Bauhaus,0.0,
05,construction,10073561,250.0,Bauhaus,0.0,
05,construction,10073562,220.0,Bauhaus,0.0,
05,construction,10073563,230.0,Bauhaus,0.0,
05,construction,10073564,240.0,Bauhaus,0.0,
05,construction,10073565,260.0,Bauhaus,0.0,
05,construction,10073566,245.0,Bauhaus,0.0,
05,construction,10073567,205.0,Bauhaus,0.0,
05,construction,10073568,185.0,Bauhaus,0.0,
05,construction,10073570,250.0,Bauhaus,0.0,
05,construction,10073571,275.0,Bauhaus,0.0,
05,construction,10073572,245.0,Bauhaus,0.0,
05,construction,10073573,225.0,Bauhaus,0.0,
05,construction,10073574,225.0,Bauhaus,0.0,
05,construction,10073575,220.0,Bauhaus,0.0,
05,construction,10073576,195.0,Bauhaus,0.0,
05,construction,10073577,185.0,Bauhaus,0.0,
05,construction,10073578,295.0,Bauhaus,0.0,
05,construction,10073579,295.0,Bauhaus,0.0,
05,construction,10073580,250.0,Bauhaus,0.0,
05,construction,10073581,210.0,Bauhaus,0.0,
05,construction,10073582,235.0,Bauhaus,0.0,
05,construction,10073583,220.0,Bauhaus,0.0,
05,construction,10073584,230.0,Bauhaus,0.0,
05,construction,10073585,240.0,Bauhaus,0.0,
05,construction,10073586,215.0,Bauhaus,0.0,
05,construction,10073587,205.0,Bauhaus,0.0,
05,construction,10073588,235.0,Bauhaus,0.0,
05,construction,10073589,240.0,Bauhaus,0.0,
05,construction,10073590,235.0,Bauhaus,0.0,
05,construction,10073591,270.0,Bauhaus,0.0,
05,construction,10073592,295.0,Bauhaus,0.0,
05,construction,10073593,195.0,Bauhaus,0.0,
05,construction,10073594,220.0,Bauhaus,0.0,
05,construction,10073595,205.0,Bauhaus,0.0,
05,construction,10073596,225.0,Bauhaus,0.0,
05,construction,10073597,195.0,Bauhaus,0.0,
05,construction,10073598,240.0,Bauhaus,0.0,
05,construction,10073599,270.0,Bauhaus,0.0,
05,construction,10073600,250.0,Bauhaus,0.0,
05,construction,10073601,250.0,Bauhaus,0.0,
05,construction,10073602,285.0,Bauhaus,0.0,
05,construction,10073603,250.0,Bauhaus,0.0,
05,construction,10073604,275.0,Bauhaus,0.0,
05,construction,10073605,255.0,Bauhaus,0.0,
05,construction,10073606,255.0,Bauhaus,0.0,
05,construction,10073608,260.0,Bauhaus,0.0,
05,construction,10073609,295.0,Bauhaus,0.0,
05,construction,10073610,230.0,Bauhaus,0.0,
05,construction,10073630,495.0,Bauhaus,0.0,
05,construction,10073635,460.0,Bauhaus,0.0,
05,construction,10073644,470.0,Bauhaus,0.0,
05,construction,10073800,139.0,Bauhaus,0.0,
05,construction,10073832,129.0,Bauhaus,0.0,
05,construction,10073833,179.0,Bauhaus,0.0,
05,construction,10073834,189.0,Bauhaus,0.0,
05,construction,10073846,229.0,Bauhaus,0.0,
05,construction,10073886,24.9,Bauhaus,24.499999999999993,
05,construction,10073887,24.9,Bauhaus,24.499999999999993,
05,construction,10073888,24.9,Bauhaus,24.499999999999993,
05,construction,10073889,24.9,Bauhaus,24.499999999999993,
05,construction,10073890,24.9,Bauhaus,24.499999999999993,
05,construction,10073891,24.9,Bauhaus,24.499999999999993,
05,construction,10073892,24.9,Bauhaus,24.499999999999993,
05,construction,10073893,129.0,Bauhaus,0.0,
05,construction,10073897,189.0,Bauhaus,0.0,
05,construction,10073898,129.0,Bauhaus,0.0,
05,construction,10073984,129.0,Bauhaus,0.0,
05,construction,10074164,989.0,Bauhaus,0.0,
05,construction,10074165,989.0,Bauhaus,0.0,
05,construction,10074166,989.0,Bauhaus,0.0,
05,construction,10074167,989.0,Bauhaus,0.0,
05,construction,10074168,989.0,Bauhaus,0.0,
05,construction,10074169,989.0,Bauhaus,0.0,
05,construction,10074170,989.0,Bauhaus,0.0,
05,construction,10074171,989.0,Bauhaus,0.0,
05,construction,10074172,989.0,Bauhaus,0.0,
05,construction,10074175,989.0,Bauhaus,0.0,
05,construction,10074176,989.0,Bauhaus,0.0,
05,construction,10074177,989.0,Bauhaus,0.0,
05,construction,10074178,989.0,Bauhaus,0.0,
05,construction,10074179,989.0,Bauhaus,0.0,
05,construction,10074180,989.0,Bauhaus,0.0,
05,construction,10074181,989.0,Bauhaus,0.0,
05,construction,10074182,989.0,Bauhaus,0.0,
05,construction,10074183,989.0,Bauhaus,0.0,
05,construction,10074184,1190.0,Bauhaus,0.0,
05,construction,10074185,1190.0,Bauhaus,0.0,
05,construction,10074186,1090.0,Bauhaus,0.0,
05,construction,10074187,1090.0,Bauhaus,0.0,
05,construction,10074190,1090.0,Bauhaus,0.0,
05,construction,10074191,1090.0,Bauhaus,0.0,
05,construction,10074192,1090.0,Bauhaus,0.0,
05,construction,10074193,1090.0,Bauhaus,0.0,
05,construction,10074194,1090.0,Bauhaus,0.0,
05,construction,10074195,1090.0,Bauhaus,0.0,
05,construction,10074196,1090.0,Bauhaus,0.0,
05,construction,10074197,1090.0,Bauhaus,0.0,
05,construction,10074198,1090.0,Bauhaus,0.0,
05,construction,10074199,1090.0,Bauhaus,0.0,
05,construction,10074200,1090.0,Bauhaus,0.0,
05,construction,10074310,65.0,Bauhaus,0.0,
05,construction,10074311,65.0,Bauhaus,0.0,
05,construction,10074312,65.0,Bauhaus,0.0,
05,construction,10074313,65.0,Bauhaus,0.0,
05,construction,10074315,65.0,Bauhaus,0.0,
05,construction,10074451,1190.0,Bauhaus,0.0,
05,construction,10074452,1090.0,Bauhaus,0.0,
05,construction,10074636,159.0,Bauhaus,0.0,
05,construction,10074637,129.0,Bauhaus,0.0,
05,construction,10074712,24.9,Bauhaus,24.499999999999993,
05,construction,10074713,24.9,Bauhaus,24.499999999999993,
05,construction,10074714,24.9,Bauhaus,24.499999999999993,
05,construction,10074715,24.9,Bauhaus,24.499999999999993,
05,construction,10074716,24.9,Bauhaus,24.499999999999993,
05,construction,10074717,24.9,Bauhaus,24.499999999999993,
05,construction,10074718,24.9,Bauhaus,24.499999999999993,
05,construction,10074719,24.9,Bauhaus,24.499999999999993,
05,construction,10075184,109.0,Bauhaus,28.235294117647058,
05,construction,10075185,159.0,Bauhaus,38.26086956521739,
05,construction,10075189,159.0,Bauhaus,38.26086956521739,
05,construction,10075196,129.0,Bauhaus,22.857142857142858,
05,construction,10075197,16.9,Bauhaus,12.666666666666657,
