Category,Product Name,Price,Date
Makina-El Aletleri,Bosch GBH 2-28 880 W  KIRICI DELİCİ,11393.6,2026-03-16
Makina-El Aletleri,Bosch GSB 185 Li Aküsüz Darbeli Matkap,6126.64,2026-03-16
Makina-El Aletleri,Bosch GSR 18V-50 2.0Ah Çift Akülü Delme Vidalama M,8625.96,2026-03-16
Makina-El Aletleri,Bosch Universal 06033E0000 Brush Yüzey Temizleme M,1937.47,2026-03-16
Makina-El Aletleri,Bosch UniversalHedgeCut 50 Çit Budama Makinesi,6656.89,2026-03-16
Makina-El Aletleri,Bosch X-Line 33 Parça Delme ve Vidalama Seti,796.89,2026-03-16
Makina-El Aletleri,"CATPOWER CATE5102 AKÜLÜ VİDALAMA 20W 1,5AH",2800.0,2026-03-16
Makina-El Aletleri,ELTOS EY110 YAĞDANLIK 500 ML,299.89,2026-03-16
Makina-El Aletleri,"EUROMAAG  MAKARALI ARA KABLO 3X2,5X30 MT",1357.46,2026-03-16
Makina-El Aletleri,"Einhell Kraftix Akülü Kırıcı Delici Avuç Taşlama 2,5 Ah",4660.86,2026-03-16
Makina-El Aletleri,Einhell TE-HD 18/12 Li Tek Akülü 2.5 Ah Pnömatik K,3797.92,2026-03-16
Makina-El Aletleri,Einhell TE-ID 650 E 650W Darbeli Matkap,1637.89,2026-03-16
Makina-El Aletleri,EİNHELL TC-JS 80/1 KİT DEKUPAJ TESTERE,2000.0,2026-03-16
Makina-El Aletleri,EİNHELL TC-OS 18/187 Lİ SOLO AKÜLÜ ZIMPARA,1000.0,2026-03-16
Makina-El Aletleri,EİNHELL TC-RH 620 4F KİT KIRICI DELİCİ,3248.85,2026-03-16
Makina-El Aletleri,EİNHELL TE-CD 18/45 3X-Lİ 1X2.0AH AKÜLÜ VİDALAMA,3999.0,2026-03-16
Makina-El Aletleri,EİNHELL TE-ID 500 E DARBELİ MATKAP,1287.82,2026-03-16
Makina-El Aletleri,EİNHELL TE-MX 18 Lİ SOLO AKÜLÜ BOYA VE HARÇ MİKSER,2704.7,2026-03-16
