Product Title,Category,Monthly Inflation(%)
%100 PAMUK BİSİKLET YAKA BAĞCIKLI BRODE BLAZER YELEK,Women,0.0
%100 PAMUK BİSİKLET YAKA FLAMLI TİŞÖRT,Women,0.0
%100 PAMUK BİSİKLET YAKA KALP BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK BİSİKLET YAKA KETEN GÖRÜNÜMLÜ KOLSUZ BLUZ,Women,0.0
%100 PAMUK BİSİKLET YAKA TİŞÖRT,Women,0.0
%100 PAMUK BİSİKLET YAKA ÜST KIZ ÇOCUK,Kids-Baby,0.0
%100 PAMUK CARPENTER FIT YÜKSEK BEL UZUN PAÇA JEAN PANTOLON,Women,0.0
%100 PAMUK CEPLİ BEYAZ GABARDİN ŞORT,Women,0.0
%100 PAMUK COMFORT FİT BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK COMFORT FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK CROP DÜĞMELİ DENİM CEKET,Women,0.0
%100 PAMUK CROPPED FIT CEPLİ JEAN GÖMLEK,Women,0.0
%100 PAMUK CROPPED FIT KESİK UÇLU YUMUŞAK JEAN GÖMLEK,Women,0.0
%100 PAMUK DANTEL DETAYLI BRAZİLİAN KÜLOT,Women,0.0
%100 PAMUK DANTELLİ BELİ LASTİKLİ BEYAZ PLAJ PANTOLONU,Women,0.0
%100 PAMUK DEADPOOL REGULAR FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK DESENLİ ÖNDEN BAĞLAMALI BLUZ,Women,0.0
%100 PAMUK DRAGON BALL BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK DÜĞMELİ CEP DETAYLI DENİM CEKET,Women,0.0
%100 PAMUK DÜĞMELİ CEPLİ DENİM CEKET,Women,0.0
%100 PAMUK DÜŞÜK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK FASHİON FIT KOLSUZ YUMUŞAK JEAN ELBİSE,Women,0.0
%100 PAMUK FAST & FURİOUS BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK FAST & FURİOUS REGULAR FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK FITTED BASKILI RİBANA TİŞÖRT,Women,0.0
%100 PAMUK FITTED CEKET YAKA POPLİN GÖMLEK,Women,0.0
%100 PAMUK FITTED CROP DESENLİ ÖNDEN BAĞLAMALI BLUZ,Women,0.0
%100 PAMUK FITTED CROP TİŞÖRT,Women,0.0
%100 PAMUK FITTED DOKULU UZUN KOLLU KARELİ GÖMLEK,Women,0.0
%100 PAMUK FITTED KAYIK YAKA SLOGAN BASKILI RİBANA TİŞÖRT,Women,0.0
%100 PAMUK FITTED POPLİN GÖMLEK,Women,0.0
%100 PAMUK FITTED POPLİN KISA KOLLU BEYAZ GÖMLEK,Women,0.0
%100 PAMUK FITTED U YAKA ÇİÇEK DESENLİ TİŞÖRT,Women,0.0
%100 PAMUK FITTED V YAKA ÖNDEN BAĞLAMALI POPLİN BLUZ,Women,0.0
%100 PAMUK FITTED ÖNDEN BAĞLAMALI POPLİN BLUZ,Women,0.0
%100 PAMUK FLARE FIT POPLİN KOLSUZ MİDİ ELBİSE,Women,0.0
%100 PAMUK FORD MOTOR COMPANY BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK FORD MOTOR COMPANY LOOSE FİT V YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK FORD MOTOR COMPANY OVERSIZE SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK FORD MOTOR COMPANY OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK FORD MOTOR COMPANY OVERSIZE V YAKA TİŞÖRT,Women,0.0
%100 PAMUK FORD MOTOR COMPANY REGULAR FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK GABARDİN PALAZZO PANTOLON WİDE LEG YÜKSEK BEL GENİŞ BOL PAÇA,Women,0.0
%100 PAMUK HAFİF KUMAŞ REGULAR FİT JEAN UZUN BERMUDA ŞORT,Men,0.0
%100 PAMUK HALTER YAKA KUŞGÖZÜ DETAYLI GABARDİN YELEK,Women,0.0
%100 PAMUK HARRY POTTER OVERSIZE SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK HELLO KİTTY OVERSIZE SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK HOT WHEELS BOXY FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK HOT WHEELS BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK HOT WHEELS BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK I LOVE NY OVERSIZE SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK INİTİAL D BOXY FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK INİTİAL D BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK JEAN PANTOLON,Women,0.0
%100 PAMUK JOGGER FIT PANTOLON,Women,-20.00020000200002
%100 PAMUK JOGGER SLİM FİT DAR KESİM BELİ BAĞCIKLI GABARDİN PANTOLON,Men,0.0
%100 PAMUK KARE YAKA KETEN GÖRÜNÜMLÜ GİPELİ ASKILI MİDİ ELBİSE,Women,0.0
%100 PAMUK KARGO FİT JEAN BERMUDA ŞORT,Men,0.0
%100 PAMUK KARGO JOGGER PANTOLON ÜÇ CEPLİ,Men,0.0
%100 PAMUK KEMERLİ KOLSUZ MİDİ ELBİSE,Women,-30.000200001333344
%100 PAMUK KETEN GÖRÜNÜMLÜ BLUZ,Women,0.0
%100 PAMUK KETEN GÖRÜNÜMLÜ YAZLIK JOGGER PANTOLON DAR PAÇA BELİ BAĞCIKLI LASTİKLİ CEPLİ,Men,0.0
%100 PAMUK KISA KOLLU ÇİZGİLİ GÖMLEK,Men,0.0
%100 PAMUK KRİNKIL KUMAŞ TUNİK,Women,0.0
%100 PAMUK KUROMİ OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK KUŞAKLI YUMUŞAK JEAN MİDİ ELBİSE,Women,0.0
%100 PAMUK LEOPAR DESENLİ GENİŞ PAÇA PANTOLON,Women,0.0
%100 PAMUK LONG FIT JEAN ETEK,Women,0.0
%100 PAMUK LONG FIT JEAN UZUN BOY ETEK,Women,0.0
%100 PAMUK LONG FIT MİDİ JEAN ETEK,Women,0.0
%100 PAMUK LOONEY TUNES BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK LOONEY TUNES BOXY FİT RAHAT KESİM BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK LOONEY TUNES REGULAR FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FIT POLO YAKA SWEATSHİRT,Women,0.0
%100 PAMUK LOOSE FIT POLO YAKA ÇİZGİLİ TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT RENK BLOKLU SWEATSHİRT,Women,-30.00030000300003
%100 PAMUK LOOSE FIT SIRT BASKILI SWEATSHİRT,Women,0.0
%100 PAMUK LOOSE FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT TUNİK,Women,-10.909256200851528
%100 PAMUK LOOSE FIT TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FIT TİŞÖRT,Women,0.0
%100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,-15.78963989094622
%100 PAMUK LOOSE FİT BASKILI TİŞÖRT,Men,-25.000416673611227
%100 PAMUK LOOSE FİT BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FİT TİŞÖRT,Men,0.0
%100 PAMUK LOOSE FİT ÇİZGİLİ SWEATSHİRT,Women,0.0
%100 PAMUK LOW RISE WIDELEG DÜŞÜK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK LİNA MOM FIT YÜKSEK BEL DÜZ PAÇA JEAN KAR YIKAMALI PANTOLON,Women,0.0
%100 PAMUK MARVEL AVENGERS BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK MARVEL BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK MARVEL LOGO ONLY REGULAR FİT BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK MODERN FİT POLO YAKA DÜZ UZUN KOLLU GÖMLEK,Men,0.0
%100 PAMUK MODERN FİT POLO YAKA PAMUKLU UZUN KOLLU GÖMLEK,Men,0.0
%100 PAMUK MODERN FİT POLO YAKA ÇİZGİLİ UZUN KOLLU GÖMLEK,Men,0.0
%100 PAMUK MOM FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK MOM FIT YÜKSEK BEL JEAN ŞORT,Women,0.0
%100 PAMUK MOM FIT YÜKSEK BEL PAÇA UCU KESİK JEAN ŞORT,Women,0.0
%100 PAMUK MÜSLİN BASIC BAĞCIKLI TUNİK,Women,0.0
%100 PAMUK NBA BOSTON CELTİCS OVERSIZE NAKIŞ BASKI TİŞÖRT,Women,0.0
%100 PAMUK NBA BROOKLYN NETS CROPPED FIT TİŞÖRT,Women,0.0
%100 PAMUK NBA BROOKLYN NETS OVERSIZE SPORCU TİŞÖRT,Women,0.0
%100 PAMUK NBA CHİCAGO BULLS CROP BİSİKLET YAKA SPORCU TİŞÖRT,Women,0.0
%100 PAMUK NBA CHİCAGO BULLS OVERSIZE NAKIŞLI TİŞÖRT,Women,0.0
%100 PAMUK NBA LOS ANGELES LAKERS OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK NBA MİAMİ HEAT OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK NBA NEW YORK KNİCKS OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK NBA WORDMARK BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK NBA WORDMARK OVERSIZE NAKIŞ BASKI SPORCU TİŞÖRT,Women,0.0
%100 PAMUK NBA WORDMARK OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK NBA WORDMARK OVERSİZE GENİŞ KALIP BİSİKLET YAKA KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK NEW REGULAR FİT BİSİKLET YAKA BASİC DÜZ KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK NEW REGULAR FİT BİSİKLET YAKA KISA KOLLU BASİC DÜZ BEYAZ PİKE TİŞÖRT,Men,0.0
%100 PAMUK NEW REGULAR FİT BİSİKLET YAKA KISA KOLLU BASİC DÜZ PİKE TİŞÖRT,Men,0.0
%100 PAMUK NORMAL BEL DESENLİ KISA PAÇA ŞORT,Women,0.0
%100 PAMUK NORMAL BEL GABARDİN MİNİ ETEK,Women,0.0
%100 PAMUK NORMAL BEL GABARDİN ŞORT,Women,0.0
%100 PAMUK NORMAL BEL KISA PAÇA BRODE ŞORT,Women,0.0
%100 PAMUK NORMAL BEL KISA PAÇA GABARDİN BERMUDA ŞORT,Women,0.0
%100 PAMUK NORMAL BEL LEOPAR DESENLİ KISA PAÇA GABARDİN ŞORT,Women,0.0
%100 PAMUK ONE PİECE BOXY FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK ONE PİECE LOOSE FİT BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK ONE PİECE OVERSİZE GENİŞ KALIP BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK OVERSHIRT FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSHİRT FIT KARELİ GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE AYICIKLI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE BASIC OXFORD GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE BASIC TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE BASKILI SWEATSHİRT,Women,-30.00042857755111
%100 PAMUK OVERSIZE BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE BRODE GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE CEPLİ OXFORD GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE DESENLİ GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE DESENLİ VUAL GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE FULAR YAKA POPLİN GÖMLEK,Women,-40.00050000625008
%100 PAMUK OVERSIZE GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE GÖMLEK YAKA ÇİZGİLİ OXFORD GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE KARELİ FLANEL GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE KARELİ GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE KARELİ POPLİN GÖMLEK,Women,-40.00040000400004
%100 PAMUK OVERSIZE KAYIK YAKA AJUR TRİKO KAZAK,Women,0.0
%100 PAMUK OVERSIZE POLO YAKA SWEATSHİRT,Women,0.0
%100 PAMUK OVERSIZE SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE SPOR BASKILI TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE TEK CEPLİ JEAN GÖMLEK,Women,0.0
%100 PAMUK OVERSIZE TİŞÖRT,Women,0.0
%100 PAMUK OVERSIZE ÇİZGİLİ POPLİN GÖMLEK,Women,-40.00040000400004
%100 PAMUK OVERSİZE GENİŞ KALIP BİSİKLET YAKA BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK OVERSİZE GENİŞ KALIP BİSİKLET YAKA BASİC DÜZ KISA KOLLU BEYAZ TİŞÖRT,Men,0.0
%100 PAMUK OVERSİZE GENİŞ KALIP BİSİKLET YAKA BASİC DÜZ KISA KOLLU SİYAH TİŞÖRT,Men,0.0
%100 PAMUK OVERSİZE GENİŞ KALIP BİSİKLET YAKA BASİC DÜZ KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK OVERSİZE GENİŞ KALIP BİSİKLET YAKA SIRT BASKILI KISA KOLLU TİŞÖRT,Men,0.0
%100 PAMUK OVERSİZE MONT,Men,0.0
%100 PAMUK PANTOLON,Men,0.9174404512339147
%100 PAMUK PAPERBAG GABARDİN KUMAŞ PANTOLON,Women,0.0
%100 PAMUK PAPERBAG YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK PAPERBAG YÜKSEK BEL JEAN ŞORT,Women,0.0
%100 PAMUK PAPERBAG YÜKSEK BEL KATLAMALI PAÇA KEMERLİ JEAN ŞORT,Women,0.0
%100 PAMUK PLAJ GÖMLEĞİ,Women,0.0
%100 PAMUK POLO YAKA DÜĞMELİ KUŞAKLI KISA KOLLU MİNİ JEAN ELBİSE,Women,0.0
%100 PAMUK POPLİN BAĞLAMALI GÖMLEK TUNİK,Women,0.0
%100 PAMUK POPLİN BOYUNDAN BAĞLAMALI BLUZ,Women,0.0
%100 PAMUK POPLİN GÖMLEK,Women,0.0
%100 PAMUK POPLİN GÖMLEK TUNİK,Women,-20.00020000200002
%100 PAMUK POPLİN ÇİZGİLİ MİDİ ELBİSE,Women,0.0
%100 PAMUK POWERPUFF GİRLS REGULAR FIT RİBANA TİŞÖRT,Women,0.0
%100 PAMUK PUANTİYELİ POPLİN TUNİK,Women,0.0
