pk,sku,base_code,name,brand,category,color,size,regular_price,sale_price,discount_pct,currency,stock
1499901,8684847592878,6SKG60103AW,Gipeli Kısa Kollu U Yaka Fiyonklu Pötikare Desenli Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > WOVEN TOPS > BLOUSE SS,PEMBE EKOSE,11/12 Yaş,759.99,759.99,0.0,TRY,245
1499905,8684847643457,6SKG70061AW,Fiyonk Detaylı Pileli A Kesim Pötikare Etek,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > WOVEN BOTTOMS > SKIRTS,PEMBE EKOSE,6/7 Yaş,999.99,999.99,0.0,TRY,109
1484710,8684848012122,6SKG60075AK,Büzgülü Kolsuz Bisiklet Yaka Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,BEJ,5/6 Yaş,459.99,459.99,0.0,TRY,6
1482878,8684848011989,6SKG40134AK,Beli Lastikli Rahat Kesim Basic Pantolon,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > TROUSERS,BEJ,11/12 Yaş,759.99,759.99,0.0,TRY,10
1532599,8684846408262,6SKB40041TW,Keten  ve Pamuk Karışımlı Beli Bağcıklı Basic Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN BOTTOMS > SHORTS,BEJ,5/6 Yaş,899.99,899.99,0.0,TRY,9
1526492,8684846359083,6SKB40012TW,Pamuklu Beli Bağlamalı Bermuda Çizgili Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN BOTTOMS > SHORTS,BEJ ÇİZGİLİ,11/12 Yaş,799.99,799.99,0.0,TRY,226
1531478,8684969729510,6SKB40145TK,Pamuk Karışımlı Biyeli Beli Lastikli Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > SHORTS,LACİVERT,9/10 Yaş,499.99,499.99,0.0,TRY,161
1529137,8684848871033,6SKB40132TW,Keten ve Viskon Karışımlı Beli Bağcıklı Basic Şort,Koton,KIDSWEAR > BOYSWEAR > BOYS > WOVEN BOTTOMS > SHORTS,KAHVERENGİ,5/6 Yaş,899.99,899.99,0.0,TRY,3
1490168,8684847642931,6SKG60047AK,Bisiklet Yaka Toka Detaylı Kolsuz Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,LİLA,9/10 Yaş,659.99,659.99,0.0,TRY,15
1490050,8684847642368,6SKG40057AK,Bürümcük Kumaş Normal Bel Pile Detaylı Mini Şort,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > SHORTS,LİLA,5/6 Yaş,799.99,799.99,0.0,TRY,0
1490887,8684847642856,6SKG60047AK,Bisiklet Yaka Toka Detaylı Kolsuz Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,EKRU,6/7 Yaş,799.99,799.99,0.0,TRY,0
1490633,8684847642337,6SKG40057AK,Bürümcük Kumaş Normal Bel Pile Detaylı Mini Şort,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > SHORTS,EKRU,9/10 Yaş,499.99,499.99,0.0,TRY,3
1483300,8684847883280,6SKG60064AK,Fırfırlı Kolsuz Düşük Omuz Ekoseli Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,MAVİ EKOSELİ,6/7 Yaş,399.99,399.99,0.0,TRY,0
1474306,8684847555118,6SKG70018AK,Fırfır Detaylı A Kesim Pötikare Mini Etek,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > SKIRTS,MAVİ EKOSELİ,11/12 Yaş,659.99,659.99,0.0,TRY,39
1481961,8684847883228,6SKG60064AK,Fırfırlı Kolsuz Düşük Omuz Ekoseli Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,KIRMIZI EKOSELİ,6/7 Yaş,559.99,559.99,0.0,TRY,87
1474311,8684847555088,6SKG70018AK,Fırfır Detaylı A Kesim Pötikare Mini Etek,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > SKIRTS,KIRMIZI EKOSELİ,6/7 Yaş,599.99,599.99,0.0,TRY,55
1489954,8684846241296,6SKB10150TK,Baskılı Kısa Kollu Bisiklet Yaka Pamuklu Tişört,Koton,KIDSWEAR > BOYSWEAR > BOYS > JERSEY > TSHIRT SS,LACİVERT,9/10 Yaş,359.99,359.99,0.0,TRY,0
1484369,8684847414460,6SKG40058AK,Beli Lastikli Slim Fit Ekoseli İspanyol Paça Pantolon,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > TROUSERS,PEMBE EKOSE,9/10 Yaş,599.99,599.99,0.0,TRY,0
1480383,8684847972090,6SKG60076AK,Kolsuz Bisiklet Yaka Çiçekli Crop Bluz,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > BLOUSE SS,YEŞİL DESENLİ,11/12 Yaş,299.99,299.99,0.0,TRY,10
1480012,8684847971611,6SKG40054AK,Beli Lastikli Çiçek Desenli Geniş Paça Pantolon,Koton,KIDSWEAR > GIRLSWEAR > GIRLS > JERSEY > TROUSERS,YEŞİL DESENLİ,11/12 Yaş,499.99,499.99,0.0,TRY,2
