urun_id,urun_adi,kategori,fiyat,urun_url
12,Düzey Dalgıç Mazot Pompası 12 Volt Büyük,Bahçe Yapı Market,"686,40TL",https://www.hancivata.com/bahce-yapi-market/duzey-dalgic-mazot-pompasi-12-volt-buyuk
10,Erdem Grup Rotovatör Bıçağı - Sağ- 10'lu ( Gaspardo ve Hisarlar Uyumlu ),Bahçe Yapı Market,"1.480,05TL",https://www.hancivata.com/bahce-yapi-market/erdem-grup-rotovator-bicagi-sag-10-lu-gaspardo-ve-hisarlar-uyumlu
10,Erdem Grup Rotovatör Bıçağı - Sol- 10'lu ( Gaspardo ve Hisarlar Uyumlu ),Bahçe Yapı Market,"1.480,05TL",https://www.hancivata.com/bahce-yapi-market/erdem-grup-rotovator-bicagi-sol-10-lu-gaspardo-ve-hisarlar-uyumlu
5,Fivestar 5X19 Standart Şerit Metre,Bahçe Yapı Market,"114,40TL",https://www.hancivata.com/bahce-yapi-market/fivestar-5x19-standart-serit-metre
1500,Gönendöküm PPRC Kaynak Makinası 1500W,Bahçe Yapı Market,"1.716,00TL",https://www.hancivata.com/bahce-yapi-market/gonendokum-pprc-kaynak-makinasi-1500w
157,KALE Kilit 157a Eco Silindirli Trajlı,Bahçe Yapı Market,"1.100,00TL",https://www.hancivata.com/bahce-yapi-market/kale-kilit-157a-eco-silindirli-trajli
230,Leo Elmas Sunta Testere 230MM,Bahçe Yapı Market,"343,20TL",https://www.hancivata.com/bahce-yapi-market/leo-elmas-sunta-testere-230mm
,Master Geniş Metal Faraş Kürek Soba Küreği Çöpçü Küreği Saplı,Bahçe Yapı Market,"72,00TL",https://www.hancivata.com/bahce-yapi-market/master-genis-metal-faras-kurek-soba-kuregi-copcu-kuregi-sapli
52,Max-Extra BCB52FS Benzinli Sırt Tırpan EURO 5 MOTOR,Bahçe Yapı Market,"5.720,00TL",https://www.hancivata.com/bahce-yapi-market/max-extra-bcb52fs-benzinli-sirt-tirpan-euro-5-motor
52,PORYA TOZ KAPAĞI ÇELİK 52mm DERİN HAZNELİ,Bahçe Yapı Market,"80,00TL",https://www.hancivata.com/bahce-yapi-market/porya-toz-kapagi-celik-52mm-derin-hazneli-702
8,Soylu Polyester Multifilament Örgülü İpek Halat 8mm 10 Metre,Bahçe Yapı Market,"220,00TL",https://www.hancivata.com/bahce-yapi-market/soylu-polyester-multifilament-orgulu-ipek-halat-8mm-10-metre
55,"Std 5,5X25 Matkap Uçlu Çatı Vidası 50 Adet",Bahçe Yapı Market,"91,53TL",https://www.hancivata.com/bahce-yapi-market/std-55x25-matkap-uclu-cati-vidasi-50-adet
,TARAL T CİVATA TAKVİYELİ SOMUNLU PULLU ORJİNAL ÜRÜN,Bahçe Yapı Market,"74,80TL",https://www.hancivata.com/bahce-yapi-market/taral-t-civata-takviyeli-somunlu-pullu-orjinal-urun
4160,Yapar Yaparlar 4160 Inşaat Küreği,Bahçe Yapı Market,"352,00TL",https://www.hancivata.com/bahce-yapi-market/yapar-yaparlar-4160-insaat-kuregi
500,Orcamp Cx-500 Çakmaklı Pürmüz,Bahçe Yapı Market,"800,00TL",https://www.hancivata.com/bahce-yapi-market/orcamp-cx-500-cakmakli-purmuz
0417,Bay-tec Mk0417 Profesyonel Kalem Havya - Süper Lehim 100 Watt,Bahçe & Elektrikli El Aletleri,"572,00TL",https://www.hancivata.com/bahce-yapi-market/bahce-elektrikli-el-aletleri/bay-tec-mk0417-profesyonel-kalem-havya-super-lehim-100-watt-925
2400,Rolwal Profesyonel 2400W Bakır Sargılı Metal Profil Kesme Makinesi 355MM,Bahçe & Elektrikli El Aletleri,"5.280,00TL",https://www.hancivata.com/bahce-yapi-market/bahce-elektrikli-el-aletleri/rolwal-profesyonel-2400w-bakir-sargili-metal-profil-kesme-makinesi-355mm
,GENERAL MOBİL SULU İRAN KLİMASI KURULUM GEREKTİRMEZ,Elektrikli El Aletleri,"13.200,00TL",https://www.hancivata.com/elektrikli-el-aletleri/general-mobil-sulu-iran-klimasi-kurulum-gerektirmez
47,Kauçuk Topraklı Erkek Fiş,Elektrikli El Aletleri,"57,20TL",https://www.hancivata.com/elektrikli-el-aletleri/kaucuk-toprakli-erkek-fis-47
1001,Proter Pr 1001 Elektrikli Çok Amaçlı Multi Makine 80 mm - 300 W,Elektrikli El Aletleri,"3.660,80TL",https://www.hancivata.com/elektrikli-el-aletleri/proter-pr-1001-elektrikli-cok-amacli-multi-makine-80-mm-300-w
2400,Rolwal Profesyonel 2400W Bakır Sargılı Metal Profil Kesme Makinesi 355MM,Elektrikli El Aletleri,"5.280,00TL",https://www.hancivata.com/elektrikli-el-aletleri/rolwal-profesyonel-2400w-bakir-sargili-metal-profil-kesme-makinesi-355mm
0074,Rox Wood Rox 0074 Mini Taşlama Gravür Makinası Hobi Seti 242 Parça,Elektrikli El Aletleri,"1.184,04TL",https://www.hancivata.com/elektrikli-el-aletleri/rox-wood-rox-0074-mini-taslama-gravur-makinasi-hobi-seti-242-parca
2,A2 Siyah Camlı (777) Çapak Alma ve Kaynak Gözlüğü,İş Güvenlik Ürünleri,"45,00TL",https://www.hancivata.com/is-guvenlik-urunleri/a2-siyah-camli-777-capak-alma-ve-kaynak-gozlugu
1,Baret Sarı Enseden Ayarlı (1 Adet),İş Güvenlik Ürünleri,"114,40TL",https://www.hancivata.com/is-guvenlik-urunleri/baret-sari-enseden-ayarli-1-adet
400,BAYMAX S-400 KORUYUCU GÖZLÜK ŞEFFAF,İş Güvenlik Ürünleri,"79,20TL",https://www.hancivata.com/is-guvenlik-urunleri/baymax-s-400-koruyucu-gozluk-seffaf
503,BAYMAX S-503 AYNALI USTA GÖZLÜĞÜ,İş Güvenlik Ürünleri,"79,20TL",https://www.hancivata.com/is-guvenlik-urunleri/baymax-s-503-aynali-usta-gozlugu-1
2,Beybi Kn2 Sarı Nitril Paket 12 Adet no:10,İş Güvenlik Ürünleri,"457,60TL",https://www.hancivata.com/is-guvenlik-urunleri/beybi-kn2-sari-nitril-paket-12-adet-no10-1
1453,Bmes 1453/s1 Süet Iş Ayakkabısı No:40,İş Güvenlik Ürünleri,"572,01TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-1453-s1-suet-is-ayakkabisi-no40
1453,Bmes 1453/S1 Süet İş Ayakkabısı No:43,İş Güvenlik Ürünleri,"686,39TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-1453-s1-suet-is-ayakkabisi-no43
1453,Bmes 1453/S1 Süet İş Ayakkabısı No:44,İş Güvenlik Ürünleri,"572,01TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-1453-s1-suet-is-ayakkabisi-no44
1453,Bmes 1453/S1 Süet İş Ayakkabısı No:45,İş Güvenlik Ürünleri,"686,39TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-1453-s1-suet-is-ayakkabisi-no45
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 40 Numara,İş Güvenlik Ürünleri,"495,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-40-numara-1
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 40 Numara,İş Güvenlik Ürünleri,"572,01TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-40-numara
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 41 Numara,İş Güvenlik Ürünleri,"450,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-41-numara
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 42 Numara,İş Güvenlik Ürünleri,"572,01TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-42-numara
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 43 Numara,İş Güvenlik Ürünleri,"450,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-43-numara
571,Bmes 571 Iş Güvenlik Ayakkabısı S2 Deri 44 Numara,İş Güvenlik Ürünleri,"450,00TL",https://www.hancivata.com/is-guvenlik-urunleri/bmes-571-is-guvenlik-ayakkabisi-s2-deri-44-numara
