id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
MzcwMA==,ST15070129,Syoss Saç Köpüğü Keratin 250 ml,Syoss,Kişisel Bakım,553.0,553.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/9/e91c4c275c12ea771287c787def765419775f90642cc433d43d2b9d80c87db52.jpeg,https://www.rossmann.com.tr/syoss-sac-kopugu-keratin-250-ml-p-st15070129,12,0.0,0.0,,
NTAwOQ==,ST19040425,Elseve Maske Dream Long Uzun Saç Kurtarıcı 300ml,Elseve,Kişisel Bakım,499.0,499.0,0,,OUT_OF_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/e/0/e00b9ace7f94fa1337baef72923d54330d85bb95590a0aad50e08e2a4d8b4c0e.jpeg,https://www.rossmann.com.tr/elseve-maske-dream-long-uzun-sac-kurtarici-300ml-p-st19040425,12,0.0,0.0,,
NTkwNw==,ST12120070,"Oral-B Pro-Expert Advanced Derinlemesine Temizlik Diş Fırçası – Orta Sertlikte Fırça Kılları, 2'li",Oral-B,Kişisel Bakım,390.0,390.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/8/1899c64276217b0333659a88c6e74bc690b277a6137ed28a6738e5fe1f5ac0dd.jpeg,https://www.rossmann.com.tr/oral-b-dis-fircasi-pro-expert-2-li-p-st12120070,12,0.0,0.0,,
NzAyNQ==,ST20050102,Selin Kolonya Bidon 900 ml,Selin,Kişisel Bakım,289.0,289.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/d/8/d88ac508c6d94ee8b6793213fd53167adc30406b7e2ec5c96e118c354b2bbb4c.jpeg,https://www.rossmann.com.tr/selin-kolonya-bidon-900-ml-p-st20050102,12,0.0,0.0,,
NzU4MQ==,ST12030441,Kotex Ped Ultra Gece 6'lı,Kotex,Kişisel Bakım,133.0,133.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/1/7/17c0f6b0d5f41a7180ec77da8f7325ce5c6c1084902a2de7e95f7a5e2430e2ca.jpeg,https://www.rossmann.com.tr/kotex-ped-ultra-gece-6-li-p-st12030441,12,0.0,0.0,,
Nzk0MQ==,ST12050252,Koleston Tüp Saç Boyası Işıltılı Kahve 7/77 1 adet,Koleston,Kişisel Bakım,130.0,130.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/9/3/93f44272bd3fa7912b670178b31f66b48ac5231851fc164e7838b132bfb224d2.jpeg,https://www.rossmann.com.tr/koleston-tup-sac-boyasi-isiltili-kahve-7-77-1-adet-p-st12050252,12,0.0,0.0,,
MTA1MTQ=,ST20110048,Egos Krem Jöle 150 ml,Egos,Kişisel Bakım,169.0,169.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/3/7/37ac33ea6f59c98a9f7dcaafaed6a21192ba01ce9b55ff1bef8e4b23e11caf6a.jpeg,https://www.rossmann.com.tr/egos-krem-jole-150-ml-p-st20110048,12,0.0,0.0,,
MTM1MTM=,SR20110086,For Your Beauty Wellness Banyo Eldiveni Kenevir İplikli 1 adet,For Your Beauty,Kişisel Bakım,149.0,149.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/b/6/b6fe2f30e6df01012505c50586b53de00e6e7d41fe217974283cc597abd19594.jpeg,https://www.rossmann.com.tr/for-your-beauty-wellness-banyo-eldiveni-kenevir-iplikli-1-adet-p-sr20110086,12,0.0,0.0,,
MTQyMjM=,ST22020189,Savon De Royal Sıvı Sabun Luxury Vegan Pur Beyaz 500 ml,Savon De Royal,Kişisel Bakım,159.0,159.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/0/5/05d515a964e8e2464885c9df5d4a6438811f042ac91c98699a2bcd2d6747aef5.jpeg,https://www.rossmann.com.tr/savon-de-royal-sivi-sabun-luxury-vegan-pur-beyaz-500-ml-p-st22020189,12,0.0,0.0,,
MTUyMjE=,ST22030467,Banat Diş Fırçası 2'li Eko Seyahat Orta,Banat,Kişisel Bakım,125.0,125.0,0,,IN_STOCK,https://cdn.rossmann.com.tr/media/catalog/product/8/3/8388217b475aa0d3e40307298cf5909fe136043918276baa763fe861753d4d48.jpeg,https://www.rossmann.com.tr/banat-dis-fircasi-2-li-eko-seyahat-orta-p-st22030467,12,0.0,0.0,,
