District,Rooms,price_numeric,city,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Merkez / 1800 Evler,2+1,20500.0,elazig,04,-1.2048192771084338,18.84057971014493,24.242424242424242,
Merkez / 1800 Evler,3+1,15500.0,elazig,04,-3.125,-3.125,-3.125,
Merkez / 1800 Evler,4+1,21000.0,elazig,04,-4.0,-8.695652173913043,-7.18232044198895,
Merkez / 1800 Evler,4+2,25000.0,elazig,04,0.0,,,
Merkez / 1800 Evler,6+1,27000.0,elazig,04,0.0,-1.8181818181818181,-10.0,
Merkez / Aksaray,2+1,10225.0,elazig,04,0.0,-2.386634844868735,57.30769230769231,
Merkez / Aksaray,3+1,12125.0,elazig,04,3.1914893617021276,-6.730769230769231,-1.0204081632653061,
Merkez / Doğukent,1+1,22500.0,elazig,04,0.0,0.0,2.272727272727273,
Merkez / Doğukent,2+1,19750.0,elazig,04,0.0,-2.4691358024691357,-2.4691358024691357,
Merkez / Doğukent,3+1,18500.0,elazig,04,0.0,2.7777777777777777,1.36986301369863,
Merkez / Doğukent,Stüdyo (1+0),10400.0,elazig,04,0.0,,,
Merkez / Köyler,2+1,9875.0,elazig,04,0.0,12.857142857142856,12.857142857142856,
Merkez / Köyler,3+1,10000.0,elazig,04,0.0,0.0,0.0,
Merkez / Mustafapaşa,2+1,10500.0,elazig,04,-2.3255813953488373,0.0,0.0,
Merkez / Mustafapaşa,3+0,14000.0,elazig,04,0.0,-6.666666666666667,-6.666666666666667,
Merkez / Mustafapaşa,3+1,14000.0,elazig,04,0.0,-6.666666666666667,2.7522935779816518,
Merkez / Mustafapaşa,4+0,10000.0,elazig,04,0.0,,,
Merkez / Mustafapaşa,4+1,8000.0,elazig,04,-15.789473684210526,-15.789473684210526,-15.789473684210526,
Merkez / Mustafapaşa,4.5+1,12500.0,elazig,04,0.0,0.0,0.0,
Merkez / Mustafapaşa,5+2,30000.0,elazig,04,0.0,-3.225806451612903,-3.225806451612903,
Merkez / Nailbey,2+1,9000.0,elazig,04,-26.53061224489796,12.5,-14.285714285714285,
Merkez / Nailbey,3+1,10000.0,elazig,04,5.263157894736842,-2.4390243902439024,-2.4390243902439024,
Merkez / Nailbey,3.5+1,8500.0,elazig,04,0.0,0.0,0.0,
Merkez / Nailbey,4+1,15500.0,elazig,04,0.0,3.3333333333333335,10.714285714285714,
Merkez / Sürsürü,1+1,20000.0,elazig,04,2.564102564102564,5.263157894736842,5.263157894736842,
Merkez / Sürsürü,2+0,17000.0,elazig,04,-5.555555555555555,-8.108108108108109,-8.108108108108109,
Merkez / Sürsürü,2+1,16250.0,elazig,04,8.333333333333332,0.0,1.5625,
Merkez / Sürsürü,3+1,17000.0,elazig,04,3.0303030303030303,0.0,3.0303030303030303,
Merkez / Sürsürü,4+1,25000.0,elazig,04,3.0927835051546393,0.0,-0.9900990099009901,
Merkez / Sürsürü,5.5+1,22000.0,elazig,04,0.0,-4.3478260869565215,,
Merkez / Yurtbaşı,1+1,16000.0,elazig,04,0.0,0.0,0.0,
Merkez / Yurtbaşı,2+1,9250.0,elazig,04,-7.5,0.0,-7.5,
Merkez / Yurtbaşı,3+1,12750.0,elazig,04,0.0,2.0,-0.9708737864077669,
Merkez / Yurtbaşı,3+2,20000.0,elazig,04,0.0,0.0,0.0,
Merkez / Yurtbaşı,3.5+1,10500.0,elazig,04,0.0,,-4.545454545454546,
Merkez / İzzetpaşa,1+1,20000.0,elazig,04,0.0,0.0,0.0,
Merkez / İzzetpaşa,1.5+1,12000.0,elazig,04,0.0,0.0,,
Merkez / İzzetpaşa,2+0,18000.0,elazig,04,0.0,1.4084507042253522,1.4084507042253522,
Merkez / İzzetpaşa,2+1,17000.0,elazig,04,0.0,-2.158273381294964,3.0303030303030303,
Merkez / İzzetpaşa,2.5+1,7500.0,elazig,04,0.0,0.0,0.0,
Merkez / İzzetpaşa,3+1,12500.0,elazig,04,0.0,0.0,2.0408163265306123,
Merkez / İzzetpaşa,4+1,17000.0,elazig,04,0.0,0.0,13.333333333333334,
Merkez / İzzetpaşa,5+1,20000.0,elazig,04,0.0,0.0,,
Merkez / İzzetpaşa,Stüdyo (1+0),11000.0,elazig,04,0.0,-13.725490196078432,,
Palu,2+1,8125.0,elazig,04,0.0,0.0,0.0,
Palu,3+1,10000.0,elazig,04,0.0,0.0,21.21212121212121,
Sivrice,2+1,8000.0,elazig,04,0.0,0.0,0.0,
Sivrice,4+1,30000.0,elazig,04,0.0,0.0,0.0,
Mazgirt,2+1,13500.0,tunceli,04,0.0,-3.571428571428571,,
Merkez,1+1,15000.0,tunceli,04,0.0,0.0,0.0,
Merkez,2+1,15000.0,tunceli,04,0.0,0.0,25.0,
Merkez / Tunceli,1+1,19000.0,tunceli,04,-2.564102564102564,,0.0,
Merkez / Tunceli,1.5+1,23000.0,tunceli,04,0.0,0.0,,
Merkez / Tunceli,2+0,20000.0,tunceli,04,0.0,0.0,0.0,
Merkez / Tunceli,2+1,18500.0,tunceli,04,8.823529411764707,-28.846153846153843,-7.5,
Merkez / Tunceli,3+1,20500.0,tunceli,04,-2.380952380952381,2.5,2.5,
Merkez / Çiçekli(Buğulu),3+1,25000.0,tunceli,04,0.0,0.0,0.0,
Pertek,2+1,23000.0,tunceli,04,0.0,0.0,0.0,
Pertek,3+1,15000.0,tunceli,04,0.0,,,
