tarih,malatya_avg_inflation_1d,malatya_tuik_weighted_1d,malatya_avg_inflation_7d,malatya_tuik_weighted_7d,malatya_avg_inflation_15d,malatya_tuik_weighted_15d,malatya_avg_inflation_30d,malatya_tuik_weighted_30d,elazig_avg_inflation_1d,elazig_tuik_weighted_1d,elazig_avg_inflation_7d,elazig_tuik_weighted_7d,elazig_avg_inflation_15d,elazig_tuik_weighted_15d,elazig_avg_inflation_30d,elazig_tuik_weighted_30d,tunceli_avg_inflation_1d,tunceli_tuik_weighted_1d,tunceli_avg_inflation_7d,tunceli_tuik_weighted_7d,tunceli_avg_inflation_15d,tunceli_tuik_weighted_15d,tunceli_avg_inflation_30d,tunceli_tuik_weighted_30d,malatya_avg_inflation_2026-05-23,malatya_tuik_weighted_2026-05-23,elazig_avg_inflation_2026-05-23,elazig_tuik_weighted_2026-05-23,tunceli_avg_inflation_2026-05-23,tunceli_tuik_weighted_2026-05-23
2026-04-28,-0.070006,-0.070006,0.093775,0.093775,1.671309,1.671309,3.74718,3.74718,-0.073762,-0.073762,0.697343,0.697343,-0.087057,-0.087057,-0.525053,-0.525053,0.454545,0.454545,2.958833,2.958833,-2.584951,-2.584951,-1.999837,-1.999837,,,,,,
2026-04-29,1.11143,1.11143,2.5346,2.5346,6.907785,6.907785,5.74182,5.74182,-0.249013,-0.249013,1.122538,1.122538,-0.455803,-0.455803,-0.603851,-0.603851,1.851852,1.851852,3.969956,3.969956,-0.200659,-0.200659,1.915504,1.915504,,,,,,
2026-04-30,-0.494997,-0.494997,0.470254,0.470254,5.692778,5.692778,7.81556,7.81556,-0.139191,-0.139191,0.378275,0.378275,-0.578206,-0.578206,-0.39228,-0.39228,-1.666667,-1.666667,0.141453,0.141453,-3.41423,-3.41423,-0.483215,-0.483215,,,,,,
2026-05-01,-0.787453,-0.787453,1.504596,1.504596,7.575361,7.575361,7.048749,7.048749,0.087745,0.087745,-0.311613,-0.311613,-0.410701,-0.410701,-0.599095,-0.599095,0.148148,0.148148,-4.671835,-4.671835,-3.052192,-3.052192,-0.741228,-0.741228,,,,,,
2026-05-02,-0.190423,-0.190423,0.248223,0.248223,6.345106,6.345106,5.702554,5.702554,-0.192265,-0.192265,-1.002327,-1.002327,-0.958047,-0.958047,-0.431729,-0.431729,-0.362319,-0.362319,-1.443137,-1.443137,-3.688202,-3.688202,-0.702514,-0.702514,,,,,,
2026-05-03,-0.61398,-0.61398,0.649144,0.649144,2.81711,2.81711,3.824509,3.824509,0.088795,0.088795,1.186778,1.186778,-0.024349,-0.024349,-0.904643,-0.904643,3.458458,3.458458,3.502924,3.502924,0.745127,0.745127,2.619052,2.619052,,,,,,
2026-05-04,-0.423308,-0.423308,-0.149237,-0.149237,2.887734,2.887734,9.066576,9.066576,-0.400568,-0.400568,-0.059639,-0.059639,-0.978038,-0.978038,-0.864586,-0.864586,3.535354,3.535354,8.509091,8.509091,5.153729,5.153729,6.209838,6.209838,,,,,,
2026-05-05,-0.176539,-0.176539,0.134466,0.134466,2.918668,2.918668,6.588936,6.588936,0.281577,0.281577,0.330128,0.330128,-0.021106,-0.021106,-0.621318,-0.621318,-2.018634,-2.018634,4.296296,4.296296,2.03545,2.03545,2.302586,2.302586,,,,,,
2026-05-06,0.874302,0.874302,-0.434558,-0.434558,2.255345,2.255345,6.450271,6.450271,-0.287508,-0.287508,0.106719,0.106719,1.030071,1.030071,-1.188549,-1.188549,-3.822773,-3.822773,-1.931442,-1.931442,2.668047,2.668047,-4.526316,-4.526316,,,,,,
2026-05-07,-0.332487,-0.332487,0.740903,0.740903,2.202677,2.202677,7.719755,7.719755,-0.774767,-0.774767,0.228675,0.228675,-0.238358,-0.238358,-0.36932,-0.36932,-1.41844,-1.41844,-1.672183,-1.672183,-7.969151,-7.969151,-6.005797,-6.005797,,,,,,
