kategori,isim,fiyat,link,resim
Et Ve Tavuk,Dana Gulaş Kg,"₺1.279,99",https://ardenmarket.com.tr/dana-gulas-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_gulas.jpg
Et Ve Tavuk,Kıvırcık Kuzu Şiş Kg,"₺1.299,99",https://ardenmarket.com.tr/kivircik-kuzu-sis-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_sis.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Kuru Yolum Izgara Şiş Tabaklı Kg,"₺529,99",https://ardenmarket.com.tr/pilic-izgara-sis-tabakli-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-03-11_at_15.52.44.jpeg
Et Ve Tavuk,Kıvırcık Kuzu Ciğer Kg,"₺1.649,99",https://ardenmarket.com.tr/kuzu-ciger-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_ciger.jpg
Et Ve Tavuk,Akdeniz Toros Baton Sucuk Kg,"₺1.599,99",https://ardenmarket.com.tr/akdeniz-toros-baton-sucuk-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/b/a/baton_sucuk__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Salam Açık Kg,"₺279,99",https://ardenmarket.com.tr/akdeniz-toros-pilic-salam-acik-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_salam_1.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Salam 250 g,"₺72,95",https://ardenmarket.com.tr/akdeniz-toros-pilic-salam-250-g.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilicsalam250g_1.jpg
Et Ve Tavuk,Akdeniz Toros Dana Sucuk Acılı 200 g,"₺319,95",https://ardenmarket.com.tr/akdeniz-toros-dana-sucuk-acili-200-g.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana-acili.png
Et Ve Tavuk,Akdeniz Toros Dana Kangal Sucuk Kg,"₺1.589,99",https://ardenmarket.com.tr/akdeniz-toros-dana-kangal-sucuk-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_sucuk__al_ma_y_zeyi_1.jpg
Et Ve Tavuk,Dana Ciğer Kg,"₺1.299,99",https://ardenmarket.com.tr/catalog/product/view/id/2520/s/dana-ciger-kg/category/93/,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_ciger.jpg
Et Ve Tavuk,Akdeniz Toros Gezen Tavuk (Donuk) Bütün Piliç Kuru Yolum Kg,"₺349,99",https://ardenmarket.com.tr/akdeniz-toros-gezen-tavuk-donuk-kg-kuru-yolum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/g/e/gezentavukakdeniztoros_d.png
Et Ve Tavuk,Dana Kasap Köfte Açık Kg,"₺1.169,99",https://ardenmarket.com.tr/dana-kasap-kofte-500g.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_kasap_kofte.jpg
Et Ve Tavuk,Kıvırcık Kuzu Gerdan Haşlama Kg,"₺979,99",https://ardenmarket.com.tr/akdeniz-toros-kivircik-kuzu-gerdan-haslama-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_gerdan_haslama_1.jpg
Et Ve Tavuk,Kıvırcık Kuzu Kapama Kg,"₺1.119,99",https://ardenmarket.com.tr/akdeniz-toros-kivircik-kuzu-kapama-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_kapama.jpg
Et Ve Tavuk,Dana Antrikot Kg,"₺1.559,99",https://ardenmarket.com.tr/akdeniz-toros-dana-antrikot.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_antrikot.jpg
Et Ve Tavuk,Dana Biftek Kg,"₺1.279,99",https://ardenmarket.com.tr/akdeniz-toros-dana-biftek-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_biftek.jpg
Et Ve Tavuk,Kıvırcık Kuzu Külbastı Kg,"₺1.419,99",https://ardenmarket.com.tr/akdeniz-toros-kivircik-kuzu-kulbasti-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_kulbast_.jpg
Et Ve Tavuk,Kıvırcık Kuzu Kuşbaşı Kg,"₺1.299,99",https://ardenmarket.com.tr/akdeniz-toros-kuzu-kusbasi-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_kusbas_.jpg
Et Ve Tavuk,Kıvırcık Kuzu Sac Kavurma Kg,"₺1.179,99",https://ardenmarket.com.tr/akdeniz-toros-kivircik-kuzu-sac-kavurma-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_sac_kavurma.jpg
Et Ve Tavuk,Dana Sote Kg,"₺1.279,99",https://ardenmarket.com.tr/dana-sote-1kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/u/n/untitled_3_.png
Et Ve Tavuk,Akdeniz Toros Piliç Derisiz Kemiksiz But Kg,"₺539,99",https://ardenmarket.com.tr/akdeniz-toros-pilic-derisiz-kemiksiz-but-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic-kemiksiz-but.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Çıtır Kelebek Kuru Yolum Kg,"₺269,99",https://ardenmarket.com.tr/akdeniz-toros-citir-pilic-pirzola-kg-kuru-yolum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_kelebek.jpg
Et Ve Tavuk,Akdeniz Toros Açık Dondurulmuş Mantı Kg,"₺359,99",https://ardenmarket.com.tr/akdeniz-toros-d-manti.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/m/a/manti.jpg
Et Ve Tavuk,Akdeniz Toros Açık Dana Macar Salam Kg,"₺1.059,99",https://ardenmarket.com.tr/akdeniz-toros-dana-macar-salam-1-25-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/m/a/macar_salam.jpg
Et Ve Tavuk,Pişmiş Dondurulmuş Dana Kıyma Döner 250 g,"₺349,95",https://ardenmarket.com.tr/akdeniz-toros-dana-kiyma-doner-250-g.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/t/o/toro_doner_k_yma.png
