ID,SKU,Product Name,Category,Price (TL),URL
43,CETA.H37-120,CETA FORM H37-120 Elektronikçi Yassı Kargaburun 120 mm,Kargaburunlar,"521,82",https://www.nalburcuk.com/urun/ceta-form-h37-120-elektronikci-yassi-kargaburun-120-mm
44,CETA.H36-120,CETA FORM H36-120 Elektronikçi Yuvarlak Kargaburun,Kargaburunlar,"521,82",https://www.nalburcuk.com/urun/ceta-form-h36-120-elektronikci-yuvarlak-kargaburun
45,CETA.H35S-140,CETA FORM H35S-140 Elektronikçi Uzun İğne Kargaburun,Kargaburunlar,"521,04",https://www.nalburcuk.com/urun/ceta-form-h35s-140-elektronikci-uzun-igne-kargaburun
46,CETA.H34S-115,CETA FORM H34S-115 Elektronikçi Eğri Kargaburun,Kargaburunlar,"521,04",https://www.nalburcuk.com/urun/ceta-form-h34s-115-elektronikci-egri-kargaburun
47,CETA.H33F-120,CETA FORM H33F-120 Elektronikçi Kargaburun (Dişsiz Tutma Yüzeyi),Kargaburunlar,"521,82",https://www.nalburcuk.com/urun/ceta-form-h33f-120-elektronikci-kargaburun-dissiz-tutma-yuzeyi
48,CETA.H31N-120SB,CETA FORM H31N-120SB Elektronikçi Eğri Tepe Keski (Dar Kesici Ağızlı),Keski ve Zımbalar,"652,86",https://www.nalburcuk.com/urun/ceta-form-h31n-120sb-elektronikci-egri-tepe-keski-dar-kesici-agizli
49,CETA.H31S-120SB,CETA FORM H31S-120SB Elektronikçi Tepe Keski,Keski ve Zımbalar,"585,00",https://www.nalburcuk.com/urun/ceta-form-h31s-120sb-elektronikci-tepe-keski
50,CETA.H30T-110SB,CETA FORM H30T-110SB Elektronikçi Yan Keski (Sivri Kafa-Açılı Kesim),Yankeskiler,"585,00",https://www.nalburcuk.com/urun/ceta-form-h30t-110sb-elektronikci-yan-keski-sivri-kafa-acili-kesim
51,CETA.H30C-105SB,CETA FORM H30C-105SB Elektronikçi Yan Keski (Mini Kafa-Açılı Kesim),Yankeskiler,"588,12",https://www.nalburcuk.com/urun/ceta-form-h30c-105sb-elektronikci-yan-keski-mini-kafa-acili-kesim
52,CETA.H30S-110FL,CETA FORM H30S-110FL Elektronikçi Yan Keski 110 mm (Sıfır Kesim),Yankeskiler,"585,00",https://www.nalburcuk.com/urun/ceta-form-h30s-110fl-elektronikci-yan-keski-110-mm-sifir-kesim
53,CETA.H20-W06,CETA FORM H20-W06 Deri Çantalı Elektronikçi Pense Takımı 6 Parça,Pense Takımları,"4.102,80",https://www.nalburcuk.com/urun/ceta-form-h20-w06-deri-cantali-elektronikci-pense-takimi-6-parca
