City,District,Rooms,Price
Isparta,Merkez / Anadolu,1+1,12.500 TL
Isparta,Eğirdir,2+1,15.000 TL
Isparta,Merkez / Anadolu,1+1,14.750 TL
Isparta,Merkez / Anadolu,1+1,15.000 TL
Isparta,Merkez / Kepeci,1+1,14.000 TL
Isparta,Merkez / Anadolu,2+1,12.750 TL
Isparta,Merkez / Çelebiler,2+1,12.500 TL
Isparta,Merkez / Kepeci,1+1,15.000 TL
Isparta,Merkez / Kutlubey,2+1,12.500 TL
Isparta,Merkez / Kutlubey,2+1,12.500 TL
Isparta,Merkez / Anadolu,1+1,13.000 TL
Isparta,Merkez / Anadolu,1+1,14.500 TL
Isparta,Merkez / Kepeci,1+1,15.000 TL
Isparta,Merkez / Anadolu,2+1,13.000 TL
Isparta,Merkez / Tokmacık,2+1,15.000 TL
Isparta,Merkez / Anadolu,1+1,13.000 TL
Isparta,Merkez / Anadolu,1+1,13.500 TL
Isparta,Merkez / Anadolu,1+1,13.000 TL
Isparta,Merkez / Çelebiler,1+1,14.500 TL
Isparta,Merkez / Anadolu,1+1,13.500 TL
Isparta,Merkez / Kutlubey,3+1,15.000 TL
Isparta,Merkez / Anadolu,2+1,15.000 TL
Isparta,Merkez / Çelebiler,1+1,14.000 TL
Isparta,Merkez / Anadolu,1+1,15.000 TL
Isparta,Merkez / Anadolu,1+1,15.000 TL
Isparta,Merkez / Anadolu,1+1,14.000 TL
Isparta,Merkez / Anadolu,3+1,15.000 TL
Isparta,Merkez / Anadolu,1+1,15.000 TL
Isparta,Merkez / Kutlubey,3+1,15.000 TL
Isparta,Merkez / Çelebiler,3+1,15.000 TL
Isparta,Merkez / Kutlubey,1+1,13.000 TL
Isparta,Merkez / Kepeci,1+1,12.500 TL
Isparta,Merkez / Kepeci,2+1,14.000 TL
Isparta,Merkez / Anadolu,2+1,13.000 TL
Isparta,Merkez / Kutlubey,2+1,13.500 TL
Isparta,Yalvaç,3+1,12.500 TL
Isparta,Merkez / Anadolu,1+1,15.000 TL
Isparta,Merkez / Anadolu,3+1,15.000 TL
Isparta,Merkez / Anadolu,2+1,14.000 TL
Isparta,Merkez / Anadolu,2+0,13.000 TL
