date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
May 2026,Dairy Products,White Cheese,Kg,5.7,,,,,0,—
May 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,0,—
May 2026,Meat and Protein,Chicken,Kg,10.3,,,,,0,—
May 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
May 2026,Meat and Protein,Eggs,Piece,120.0,,,,,0,—
May 2026,Legumes,Chickpeas,Kg,1.8,160.08,288.14,162.6,292.68,8,Nohut 25 Kg (Çuval); Nohut 1 Kg; Koçbaşı Nohut 1 Kg; Koçbaşı Nohut 25 Kg (Çuval); Damla Koçbaşı Nohut 2 Kg; Damla Koçbaşı Nohut 9 Mm 5 Kg; Damla İspanyol Nohut 1 Kg; Damla Koçbaşı Nohut 1 Kg
May 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,956.0,2581.2,956.0,2581.2,1,Ceviz İçi Lüx 1 Kg
May 2026,Grains,Bread,Kg,18.0,,,,,0,—
May 2026,Fruits,Banana,Kg,16.7,,,,,0,—
May 2026,Fruits,Seasonal Fruit,Kg,12.9,632.0,8152.8,600.0,7740.0,3,Keçemen Üzüm 1 Kg; Üzüm Siyah Çekirdeksiz 1 Kg; Mılupa Seftalı Elma 125Gr
May 2026,Vegetables,Onion,Kg,18.0,,,,,0,—
May 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,,,,,0,—
May 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,0,—
May 2026,Oils,Olive Oil,Liter,1.1,541.94,596.13,520.0,572.0,21,Komili Yemeklik Riviera Zeytinyağı 5 lt x 4 A…; Komili Yemeklik Riviera Zeytinyağı 5 lt x 1 A…; Komili Natürel Sızma Zeytinyağı Yumuşak Lezze…; Yudum Egemden Naturel Sızma Zeytinyağı Yumuşa…; Marmarabirlik Sızma Zeytinyağı Cam 1 Lt; Marmarabirlik Sızma Zeytinyağı Pet 1 Lt; Yudum Riviera Zeytinyağı 2 Lt; Kristal Dolgun Güçlü Sızma Zeytinyağı Cam 1 L…; Komili Sızma Zeytinyağı 2 Lt Pet; Tariş Güney Ege Sızma Zeytinyağı 1 Lt; Yudum Egemden Naturel Sızma Zeytinyağı Yumuşa…; Kristal Naturel Sızma Yumuşak Doğal Zeytinyağ…; Komili Riviera Zeytinyağı 1 Lt; Komili Naturel Sızma Zeytinyağı Yumuşak Lezze…; Komili Sızma Zeytinyağı 500 Ml Pet; Komili Riviera Zeytinyağı 2 Lt; Tariş Kuzey Sızma Zeytinyağı 500 Ml; Tariş Kuzey Sızma Zeytinyağı 2 Lt; Tariş Kuzey Sızma Zeytinyağı 1 Lt; Tariş Riviera Zeytinyağı Cam 500 Ml; Tariş Riviera Zeytinyağı Teneke 2 Lt
May 2026,Other Food Products,Grissini,Kg,2.1,646.0,1356.6,646.0,1356.6,2,Ülker Altınbaşak Kepekli Grissini 125 Gr; Ülker Altınbaşak Grissini 125 Gr
