date,product-name,product-price,category,source
2026-05-01,%20 MANNITOL SUDAKI COZELTISI (MEDIFLEKS 250 ML SETLI),1.64,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI (MEDIFLEKS 250 ML SETSIZ),1.35,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI 150 ML (SETLI-MEDIFLEKS),1.56,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI 150 ML (SETSIZ-MEDIFLEKS),1.26,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS),2.1999999999999997,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS),1.92,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETLI,2.5599999999999996,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETSIZ,2.4099999999999997,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETLI,1.98,İlaç,TİTCK
2026-05-01,%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETSIZ,1.9,İlaç,TİTCK
2026-05-01,%20 SODYUM KLORUR COZELTISI ICEREN 10 AMPUL,2.98,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 100 ML (SETLI),1.05,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 100 ML (SETSIZ),0.73,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 150 ML (SETLI),1.1300000000000001,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 150 ML (SETSIZ),0.85,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 250 ML (SETLI-MEDIFLEKS),0.92,İlaç,TİTCK
2026-05-01,%3 SODYUM KLORUR COZELTISI 250 ML (SETSIZ-MEDIFLEKS),0.6,İlaç,TİTCK
