Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL,cleaned_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Mapa Kilit-Zincir Kilidi 20 mm,,160.2,160.2,"KZ020            160,20 TL            122,82 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-20-mm,https://nalburtek.com/hirdavat-ve-nalbur,160.2,04,0.0,0.0,0.5649717514124151,
Beyaz Çelik Civata DIN 933 8.8 - M6x80,,4.83,4.83,"BC0680           4,83 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-80,https://nalburtek.com/hirdavat-ve-nalbur,4.83,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M6x90,,5.69,5.69,"BC0690           5,69 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-90,https://nalburtek.com/hirdavat-ve-nalbur,5.69,04,0.0,0.0,0.0,
Sinek Teli Fiber 80cm 30mt - 24m2,,1036.8,1036.8,"FS0080            1.036,80 TL            864,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-80-cm-24m2,https://nalburtek.com/hirdavat-ve-nalbur,1036.8,04,0.0,0.0,0.0,
Sinek Teli Fiber 120cm 30mt - 36m2,,1555.2,1555.2,"FS0120            1.555,20 TL            1.296,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-120-cm-36-m2,https://nalburtek.com/hirdavat-ve-nalbur,1555.2,04,0.0,0.0,0.0,
Sinek Teli Fiber 140cm 30mt - 42m2,,1814.4,1814.4,"FS0140            1.814,40 TL            1.512,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-140-cm-42-m2,https://nalburtek.com/hirdavat-ve-nalbur,1814.4,04,0.0,0.0,0.0,
Koli Bandı Holtmelt Şeffaf 45x100mt,,120.0,120.0,"KB1100            120,00 TL            90,00 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/bant-cesitleri-ve-aksesuarlar/koli-bantlari/prd-holtmelt-koli-bandi-45x100mt-seffaf,https://nalburtek.com/hirdavat-ve-nalbur,120.0,04,17.647058823529413,17.647058823529413,42.857142857142854,
Düz Lama Bağlantı Sac Gönye 20x50mm,,4.28,4.28,"DG2040           4,28 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-20mm-x-40mm,https://nalburtek.com/hirdavat-ve-nalbur,4.28,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M8x10,,2.21,2.21,"BC0810           2,21 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-10,https://nalburtek.com/hirdavat-ve-nalbur,2.21,04,0.0,0.0,0.0,
Düz Lama Bağlantı Sac Gönye 20x90mm,,6.64,6.64,"DG2080           6,64 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-20mm-x-80mm,https://nalburtek.com/hirdavat-ve-nalbur,6.64,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M8x12,,2.23,2.23,"BC0812           2,23 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-12,https://nalburtek.com/hirdavat-ve-nalbur,2.23,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M8x15,,2.86,2.86,"BC0815           2,86 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-15,https://nalburtek.com/hirdavat-ve-nalbur,2.86,04,0.0,0.0,0.0,
Sunta Vidası 3.5x16 (1000 Adet),,312.0,312.0,"SV3516            312,00 TL            272,92 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-16-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,312.0,04,0.0,0.0,0.0,
Servis Tekeri Döner 80 mm,,253.65,253.65,"STD080            253,65 TL            196,51 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-80x30-mm,https://nalburtek.com/hirdavat-ve-nalbur,253.65,04,0.0,0.0,0.5629782341513762,
Sunta Vidası 3.5x18 (1000 Adet),,295.2,295.2,"SV3518            295,20 TL            254,75 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-18-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,295.2,04,0.0,0.0,0.0,
Servis Tekeri Döner 100 mm,,267.0,267.0,"STD100            267,00 TL            206,66 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-100x35-mm,https://nalburtek.com/hirdavat-ve-nalbur,267.0,04,0.0,0.0,0.5649717514124294,
Sunta Vidası 3.5x20 (1000 Adet),,312.0,312.0,"SV3520            312,00 TL            272,92 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-20-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,312.0,04,0.0,0.0,0.0,
Keser Halkası-Askısı,,,,KA202               Sepete Ekle,/hirdavat-ve-nalbur/takim-cantasi-alet-askilari/civi-onlukleri/prd-keser-askisi-demir,https://nalburtek.com/hirdavat-ve-nalbur,,04,,,,
Servis Tekeri Döner 125 mm,,301.71,301.71,"STD125            301,71 TL            240,83 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-125x40-mm,https://nalburtek.com/hirdavat-ve-nalbur,301.71,04,0.0,0.0,0.5632957802813139,
Beyaz Çelik Civata DIN 933 8.8 - M8x20,,2.51,2.51,"BC0820           2,51 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-20,https://nalburtek.com/hirdavat-ve-nalbur,2.51,04,0.0,0.0,0.0,
Sunta Vidası 3.5x25 (1000 Adet),,349.8,349.8,"SV3525            349,80 TL            313,87 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-25-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,349.8,04,0.0,0.0,0.0,
Servis Tekeri Döner 150 mm,,710.22,710.22,"STD150            710,22 TL            568,71 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-150x45-mm,https://nalburtek.com/hirdavat-ve-nalbur,710.22,04,0.0,0.0,0.5649717514124307,
Beyaz Çelik Civata DIN 933 8.8 - M8x25,,2.85,2.85,"BC0825           2,85 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-25,https://nalburtek.com/hirdavat-ve-nalbur,2.85,04,0.0,0.0,0.0,
Beyaz Çelik Civata DIN 933 8.8 - M8x35,,3.42,3.42,"BC0835           3,42 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-35,https://nalburtek.com/hirdavat-ve-nalbur,3.42,04,0.0,0.0,0.0,
Sunta Vidası 3.5x30 (1000 Adet),,366.6,366.6,"SV3530            366,60 TL            332,05 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-30-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur,366.6,04,0.0,0.0,0.0,
