District,Rooms,Price
Bucak / Merkez,1+1,18.500 TL
Bucak / Merkez,1+1,20.000 TL
Merkez / Bahçelievler,2+1,18.500 TL
Merkez / Bahçelievler,2+1,21.000 TL
Merkez / Çeşmedamı,3+1,26.000 TL
Merkez / Bahçelievler,3+1,24.000 TL
Merkez / Sanayi,3+1,26.000 TL
Merkez / Bahçelievler,2+1,24.500 TL
Merkez / Bahçelievler,3+1,23.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,3+1,28.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,4+1,26.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,2.5+1,25.000 TL
Merkez / Sanayi,3+1,26.000 TL
Merkez / Yenice,2+1,25.000 TL
Merkez / Bahçelievler,3+1,24.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Yenice,3+1,23.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,3+1,28.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,2+1,26.000 TL
Merkez / Sanayi,3+1,26.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Yeşilova / Köyler,3+1,25.000 TL
Merkez / Bahçelievler,2+1,25.000 TL
Merkez / Yenice,2+1,25.000 TL
Bucak / Merkez,3+1,25.000 TL
Merkez / Bahçelievler,3+1,22.500 TL
Merkez / Bahçelievler,3+1,30.000 TL
Merkez / Bahçelievler,3+1,30.000 TL
Merkez / Bahçelievler,4+1,34.000 TL
Merkez / Bahçelievler,3+1,30.000 TL
Merkez / Bahçelievler,5+1,50.000 TL
Merkez / Bahçelievler,3+1,40.000 TL
Merkez / Bahçelievler,3+1,36.000 TL
