date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
Mar 2026,Meat and Protein,Eggs,Piece,120.0,8.5,1020.0,8.16,979.2,10,Enver Ağa 15li L Yumurta; Enver Ağa 20li L Yumurta; Enver Ağa 30lu M Yumurta; Enver Ağa 6lı L Yumurta; İkizta Gezen Tavuk Yumurtası 10'lu; İkizta L- Büyük Boy Yumurta 10'lu; İkizta L- Büyük Boy Yumurta 15'li; İkizta L- Büyük Boy Yumurta 20'li; İkizta M Boy Yumurta 6'lı; Yeşil Foça Gezen Tavuk Yumurtası 10'lu Large
Mar 2026,Legumes,Chickpeas,Kg,1.8,106.16,191.09,94.89,170.8,4,Ala Çiftçi Koçbaşı Nohut 1 kg; Burcu Haşlama Nohut 600 Gr; Yayla Beyaz Kabak Nohut 1 Kg; Yayla Koçbaşı Nohut 1 Kg
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,1030.03,2781.08,1157.14,3124.28,10,Dorleo Yer Fıstığı 175 Gr; Master Farm Ceviz İçi 150 gr; Master Farm Çiğ Fındık İçi 180 gr; Master Nut Fındık İçi 130 gr; Master Nut Tuzlu Fındık İçi 140 gr; Master Nut Yer Fıstığı Tuzlu 160 gr; Peyman Bahçeden İç Ceviz 140 Gr; Peyman Bahçeden Tuzlu Kavrulmuş Fındık 140 Gr; Peyman Nuttz Tuzlu Yer Fıstığı 145 Gr; Peyman Nutzz Tacco Yer Fıstığı 145 Gr
Mar 2026,Grains,Bread,Kg,18.0,132.71,2388.78,167.0,3006.0,15,Ekmek 200 Gr; Kula Ekşi Maya Ekmek 800 Gr; La Lorraine Domates Fesleğenli Baget Ekmek; La Lorraine Kare Ekmek Rustik; La Lorraine Kepekli Baget Ekmek 1/3; La Lorraine Sade Baget Ekmek 1/3; La Lorraine Zeytin Kekikli Bağet Ekmek; Uno Denge Tam Buğdaylı ve Çiya Tohumlu Ekmek …; Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr; Uno Fırından Tam Çavdarlı Ekmek 450 Gr; Uno Premium Çavdar ve Kara Buğdaylı Ekmek 350…; Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekm…; Untad Kepekli Ekmek 500 Gr; Untad Light Kepekli Ekmek 500 Gr; Untad Premium 12 Tahıllı Ekmek 480 gr
Mar 2026,Fruits,Banana,Kg,16.7,137.4,2294.58,137.4,2294.58,2,Muz İthal - 500 Gr.; Muz Yerli - 500 Gr.
Mar 2026,Fruits,Seasonal Fruit,Kg,12.9,114.33,1474.86,119.9,1546.71,7,Elma Golden - 500 Gr.; Elma Granny Smith - 500 Gr.; Elma Starking - 500 Gr.; Karpuz - 10 Kg.; Kivi - 500 Gr.; Portakal - 500 Gr.; Portakal Sıkmalık - 500 Gr.
Mar 2026,Vegetables,Onion,Kg,18.0,91.9,1654.2,74.9,1348.2,3,Soğan Beyaz - 500 Gr.; Soğan Kırmızı - 500 Gr.; Soğan Yahnilik - 500 Gr.
Mar 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,116.16,2683.3,119.9,2769.69,4,Kabak - 500 Gr.; Patlıcan - 500 Gr.; Patlıcan Topan - 500 Gr.; Yayla Beyaz Kabak Nohut 1 Kg
Mar 2026,Vegetables,Other Vegetables,Kg,11.8,259.9,3066.82,259.9,3066.82,1,Fasulye Çalı - 500 Gr.
