Title,Monthly Inflation(%)
CEREZZA KOKTEYL SUPER 117 GR,0.0
CEREZZA STICK 117 GR PEYNIR SOGON SUPER,0.0
CEREZZA TV SUT MISIRI SUPER 117 GR,0.0
CHEETOS FIRINDAN  41 GR FISTIK AILEPLUS,0.0
CHEETOS FIRINDAN 41 GR BIFTEK AILEPLUS,0.0
CHEETOS FIRINDAN 41 GR PEYNIR AILEPLUS,0.0
CHUPA CHUPS LOLIPOP TRIO 29 GR,0.0
CHUPA CHUPS MELODY POPS CILEK 15 GR,0.0
CIF JEL 750 ML CICEK FERAHLIGI,0.0
CIF KREM 500ML AMONYAKLI,0.0
CIF KREM 500ML LIMON,0.0
CIF KREM 750ML AMONYAK,10.001000100010002
CIF KREM SPREY 750 ML AMONYAKLI,10.001000100010002
CIF SPREY POWER BANYO 750 ML,0.0
CIF SPREY POWER MUTFAK 750 ML,0.0
CILLIT BANG 500ML TURBO LAVABO ACICI JEL,7.692899453804138
CIPSO 104 GR KETCAP S.PLUS,0.0
CIPSO 104 GR ORJINAL S.PLUS,0.0
CIPSO YOGURT S.PLUS 104 GR,0.0
CIRE ASEPTINE 150 MLVAZELİN KLASIK,0.0
CIRE ASEPTINE 30 ML ALOE VERA EL VUCUT KREMI(FANUS,0.0
CIRE ASEPTINE SOFT 100 ML  ALOE VERA EL YÜZ VÜCUT,0.0
CIZMECI  WAFER MASTER 65 GR CILEKLI,0.0
CIZMECI 65 GR WAFER MASTER FINDIKLI,0.0
CIZMECI CREPE FINDIKLI 65 GR,0.0
CIZMECI WAFER MASTER 120 GR,0.0
CLEAR MEN 350 ML SAMPUAN COOL SPORT,15.000750037501875
CLEAR MEN 350 ML SAMPUAN HIZLI STIL 2N1,0.0
CLEAR MEN 350 ML SAMPUAN LEGEND BY CR7 RONALDO,15.000750037501875
CLEAR MEN 350 ML SAMPUAN MAXIMUM FERHALIK,15.000750037501875
CLEAR MEN 350 ML SAMPUAN YOGUN ARINDIRICI,15.000750037501875
CLEAR MEN 350ML SAMP.GUNLUK ARINMA&FERAHLIK,15.000750037501875
CLEAR WOMEN 350 ML SAMPUAN SAC DOKULMESINE KARSI,0.0
CLEAR WOMEN 350 ML SAMPUAN YUMUSAK PARLAK,15.000750037501875
COFFEE BARDAK 400ML 9122,0.0
COLGATE 250 ML PLAX AGIZ BAKIM SUYU MAVI,0.0
COLGATE 500 MLPLAX AGIZ BAKIM SUYU MAVI,0.0
COLGATE D.FIRCASI 360 1+1 OPTIK BEYAZ ORTA,0.0
COLGATE D.MACUNU 75 ML MAX BEYAZLIK,0.0
COLGATE D.MACUNU 75ML BARBIE SPIDERMAN COCUK,0.0
COLGATE D.MACUNU 75ML MISVAK OZLU,0.0
COLGATE DIS IPI DIS ETI SAGLIGI,0.0
COOK B.DOLABI POSETI ORTA 4AL3 ODE,0.0
COOK B.DOLABI POŞET BÜYÜK 15 Lİ (30X45),0.0
COOK PİŞİRME KAĞIDI 16 LI HAZIR KESİLMİŞ,0.0
COOK STREÇ FİLM 15MT,0.0
COOK ÇÖP TORBASI BATTAL 7LI(75X90),0.0
COOK ÇÖP TORBASI EKO KÜÇÜK 30LI(40X47),0.0
CORNETTO DISC MILKA 130ML,0.0
CORNETTO DISC OREO 130ML,0.0
CORNETTO DİSK VANİLYA-KARAMEL 130 ML,0.0
COŞKUN PARMAK SUCUK KG(I.İ),0.0
CUMHURIYET 180 GR VAKUMLU KANGAL SUCUK,0.0
DAGLI YARIM YAGLI ERTIME PEYNIR KG,0.0
DALAN 4X150 GR GLISERINLI SABUN MISKET LIMONU,0.0
DALAN 4X150 GR GLISERINLI SABUN Z.YAGLI (ORGANIK),0.0
DALAN 5X180 GR ANTIK PIRINA SABUNU,0.0
DALAN 600GR BEYAZ BANYO SABUNU GUL,0.0
DALAN 600GR BEYAZ BANYO SABUNU KLASIK,0.0
DALAN 600GR YESIL BANYO SABUNU Z.YAGLI,0.0
DALAN ROXY MATIK 800 GR BAHAR CICEKLERI,0.0
DALIN KOLAY TARAMA SPREYI 200 ML,0.0
DALIN SAMPUAN 900 ML,10.00050002500125
DANA BIFTEK KG,0.0
DANA BUT 5'LI SET KG (KEMIKSIZ),0.0
DANA GULAS KG,0.0
DANA INCIK KG,10.00110001100011
DANA KASAP KOFTE KG,5.882422146142896
DANA KUSBASI KG,5.5556172846364955
DANA SOTE KG,0.0
DANA STROGONOF KG,0.0
DANA YEMEKLIK KIYMA KG,0.0
DANET 100 GR KAVURMA,0.0
DANET 200 GR FERMENTE SUCUK,0.0
DANET 300 GR FERMENTE SUCUK KUVET,0.0
DANET 50 GR MACAR SALAM,0.0
DANET 60 GR HINDI FUME,0.0
DANET 60 GR HINDI SALAM,-14.820303816228234
DANET 70 GR FUME KABURGA,-6.250390649415588
DANET 70 GR PASTIRMA,0.0
DANET FERMENTE SUCUK KG,-9.090991736288512
DANETTE 4X100 GR CIKOLATALI,0.0
DANINO 6*40 GR BISKUVILI,0.0
DANINO 6*40 GR MUZLU,0.0
DANINO 6*40 GR ORMAN MEYVELI,0.0
DANONE 180 ML 6 LI  AROMALI SUT  KAKAOLU,0.0
DANONE 180 ML DISNEY AROMALI SUT CILEK,0.0
DANONE 180 ML DISNEY AROMALI SUT MUZ,0.0
DANONE 70 GR DISNEY HUPPER CIKOLATALI,0.0
DANONE KREMA 200 ML BTKS.,4.349717268377556
DANONE SUT LAKTOZSUZ 1 LT,10.002000400080016
DANONE YOGURT ORMAN MEYVELI  400 GR,0.0
DARDANEL EKONOMIK 140 GRX2,0.0
DARDANEL EKONOMIK TON 4*75 GR(HEDIYELI),0.0
DARDANEL TON  2*140 GR,0.0
DARDANEL TON 4*75 GR (HEDIYELI),0.0
DARDANEL TON H.YEMEK 4 TAHILLI 160 GR,0.0
DARDANEL TON H.YEMEK MEKSIKA FASULYELI 160G,0.0
DARDANEL TON H.YEMEK MISIRLI 160 GR,0.0
DARDANEL TON Z YAGLI  3*75 GR,0.0
DEL BANVİT PİLİÇ BATON SALAM 750  GR,0.0
DEL BANVİT PİLİÇ SOSİS 1000 GR,0.0
DEL BANVİT VAKUMLU JUMBO SOSİS 330 GR,0.0
DEL BEBETO WACKY STICKS 75 GR,15.942028985507244
DEL COSBY BIGMIX 9  GR,18.181818181818183
DEL ETI BROWNI 200 GR,0.0
DEL ETI PAYKEK MEYVELI 200 GR,7.547169811320755
DEL ETI PAYKEK MOZAIK 200 GR,7.547169811320755
DEL KAHVE DUNYASI 125 GR GOFRIK GOFRET,0.0
DEL KINDER SURPRIZ YUMURTA 20 GR,0.0
DEL KOSKA KAGIT HELVA 45 GR,0.0
DEL KOSKA PEKMEZ 700 GR UZUM BIDON,-7.407681765991332
DEL NESTLE POLO 34 GR,0.0
DEL NUTELLA 1000 GR,0.0
DEL PAKKÖY GEZEN TAVUK YUMURTASI 30 LU,0.0
DEL ROCHER T3 38 GR,0.0
DEL SARELLE 350 GR FINDIK EZMESI BITTER,0.0
DEL SEYIDOGLU HELVA BLOK FISTIKLI KG,0.0
DEL SEYIDOGLU RECEL 380 GR KAYISI,0.0
DEL SEYIDOGLU RECEL 380 GR KURU INCIR,0.0
DEL TAMEK RECEL 380 GR AHUDUDU,0.0
DEL TAMEK RECEL 380 GR PORTAKAL,0.0
DEL TEKSUT TAZE KASAR PEYNIRI 600 GR,0.0
DEL ULKER 20 GR YUPO COKOJELO BOGURTLEN,99.85714285714286
DEL ULKER YUPO 20 GR COKOJELO PORTAKAL,99.85714285714286
DEL.ACTIVEX SIVI SABUN 700ML NEMLENDIRICI,0.0
DEL.AKMAN KEKIK 85 GR,73.00730073007303
DEL.ARIEL MATIK 7.5 KG DAG ESINTISI RENKLILER,0.0
DEL.ARKO KREM D.YAGLAR 250 ML AVOKADO,0.0
DEL.ARKO NEM KREM PREBIYOTIK 250 ML BADEM SUTU,0.0
DEL.ARKO NEM KREM PREBIYOTIK 250 ML YULAF,0.0
"DEL.ASPEROX YUZEY TEM. 2,5 LT PEMBE",0.0
DEL.ASPEROX YUZEY TEMIZLEYICI 2.5ML MOR,0.0
DEL.AYNES BEYAZ PEYNYR 900 GR,0.0
DEL.BABY TURCO ISLAK HAVLU 90'LI,0.0
DEL.BAGDAT PASTA SÜSÜ K.QUADRO 50 GR,0.0
DEL.BINGO MATIK 4 KG RENKLI BEYAZ,35.00175008750438
DEL.BINGO MATIK 4 KG ULTRA BEYAZ,35.00175008750438
DEL.BIOBLAS 1000 ML KERATIN SAMPUAN,0.0
DEL.BIOBLAS 1000 ML SARIMSAK SAMPUAN,0.0
DEL.BUNSA MISIR UNU 400 GR PAKET,0.0
DEL.CAMSAKIZI 240 GR AGDA,0.0
DEL.CIF SPREY HERYER SILIKONLU 1000 ML,0.0
DEL.COLGATE D.MACUNU 150 ML 2 LI UCLU ETKI,0.0
DEL.COLGATE D.MACUNU 75ML OPTIK ANINDA BEYAZLIK,0.0
DEL.COLGATE DIS MACUNU 75 ML BARBIE+FIRÇA,0.0
DEL.COOK STREÇ FİLM 100 MT  BIÇAK HEDİYELİ,0.0
DEL.DALIN SAMP. 700 ML,-22.22345685871437
DEL.DIFAS DIS FIRCASI YUMUSAK SOFT BLACK,0.0
DEL.DOVE 500 ML SIVI SABUN FRESH TOUCH X,0.0
DEL.DOVE 500 ML SIVI SABUN ORIJINAL,0.0
