title,price,tuik_category,inflation_1d,inflation_7d,inflation_15d,inflation_30d
Cap Cédrat Soap - Cap Cedrat Sabun,370.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Hand & Body Wash - Shea El & Vücut Sabunu,1120.0,13,0.0,0.0,0.0,
Shea Midday Shower Cream - Shea Midday Duş Kremi,1180.0,13,0.0,0.0,0.0,
Noble Epine Shower Gel - Noble Epine Duş Jeli,1180.0,13,0.0,0.0,0.0,
Mélilot  Shower Gel - Mélilot  Duş Jeli,1180.0,13,0.0,0.0,0.0,
Barbotine Shower Gel - Barbotine Duş Jeli,1180.0,13,0.0,0.0,0.0,
Lavander Blanche Shower Gel - Beyaz Lavanta Duş Jeli,1180.0,13,0.0,0.0,0.0,
Fleurs De Cerisier Shower Gel - Kiraz Çiçeği Duş Jeli,1180.0,13,0.0,0.0,0.0,
Cedre Gingembre(Cap Cedrat) Shower Gel - Cedre Gingembre(Cap Cedrat) Duş Jeli,440.0,13,0.0,0.0,0.0,
Neroli & Orchidee Shower Gel - Portakal Çiçeği & Orkide Duş Jeli,440.0,13,0.0,0.0,0.0,
Glycine Shower Gel - Glycine Duş Jeli,1180.0,13,0.0,0.0,0.0,
Rose Shower Gel - Gül Duş Jeli,1180.0,13,0.0,0.0,0.0,
Lavande Poivre Noir (L'Occitan) Shower Gel - Lavande Poivre Noir (L'Occitan) Duş Jeli,1180.0,13,0.0,0.0,0.0,
Ortie Blanche (Herbae) Shower Gel - Ortie Blanche (Herbae) Duş Jeli,1180.0,13,0.0,0.0,0.0,
Osmanthus Abricot Shower Gel - Osmanthus Abricot Duş Jeli,1180.0,13,0.0,0.0,0.0,
Osmanthus Shower Oil - Osmanthus Duş Yağı,1550.0,13,0.0,0.0,0.0,
Citrus Verbena Shower Gel Eco-Refill - Citrus Verbena Duş Jeli - Ekolojik & Ekonomik Yedek,1900.0,13,0.0,0.0,0.0,
Verbena Shower Gel Eco-Refill - Mine Çiçeği Duş Jeli Eko-Yedek,1900.0,13,0.0,0.0,0.0,
Cherry Blossom Shower Gel Eco-Refill - Kiraz Çiçeği Duş Jeli Eko-Yedek,1900.0,13,0.0,0.0,0.0,
Lavender Foaming Bath - Lavanta Banyo Köpüğü,1860.0,13,0.0,0.0,0.0,
Osmanthus Shower Gel - Osmanthus Duş Jeli,1180.0,13,0.0,0.0,0.0,
Néroli & Orchidée Shower Gel - Portakal Çiçeği & Orkide Duş Jeli,440.0,13,0.0,0.0,,
Verbena Shower Gel - Mine Çiçeği Duş Jeli,2110.0,13,0.0,0.0,0.0,
White Lavender Shower Gel - Beyaz Lavanta Duş Jeli,1180.0,13,0.0,0.0,0.0,
Artichoke Body Scrub - Enginar Vücut Peelingi,3050.0,13,0.0,0.0,0.0,
Shea Kumquat Body Scrub - Shea Kumkuat Vücut  Scrubı,1450.0,13,0.0,0.0,0.0,
Artichoke Massage Cream - Enginar Masaj Kremi,3670.0,13,0.0,0.0,0.0,
Noble Epine Body Lotion - Noble Epine Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Mélilot  Body Lotion - Mélilot  Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Barbotine Body Lotion - Barbotine Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Lavander Blanche Body Lotion - Beyaz Lavanta Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Fleurs De Cerisier Body Lotion - Kiraz Çiçeği Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Neroli & Orchidee Body Lotion - Portakal Çiçeği & Orkide Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Glycine Body Lotion - Glycine Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Rose Body Lotion - Gül Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Ortie Blanche (Herbae) Body Lotion - Ortie Blanche (Herbae) Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Osmanthus Abricot Body Lotion - Osmanthus Abricot Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Shea Butter Ultra Rich Body Cream - Shea Yoğun Nemlendirici Vücut Kremi,810.0,13,0.0,0.0,0.0,
Verbena Cooling Body Gel - Mine Çiçeği Jel Vücut Losyonu,1800.0,13,0.0,0.0,,
Wisteria Body Lotion - Mor Salkım Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Citrus Verbena Body Milk - Citrus Verbena Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Verbena Body Lotion - Mine Çiçeği Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Lavender Body Lotion - Lavanta Vücut Losyonu,1800.0,13,0.0,0.0,0.0,
Shea Baby Moist Milk - Shea Baby Nemlendirici Krem,2110.0,13,0.0,0.0,0.0,
Immortelle Shea Pro Youth Body Oil - Imortelle Shea Yaşlanma Karşıtı Vücut Yağı,4290.0,13,0.0,0.0,0.0,
Cocon de Sérénité Essential Oil Blend Roll - On - Rahatlatıcı Esansiyel Yağ Karışımlı Roll - On,1240.0,13,0.0,0.0,0.0,
Eau des Baux Deodorant Stick Refill - Baux Stick Deodorant Yedek,1060.0,13,0.0,,0.0,
Eau de Cédrat Deodorant Stick Refill  - Cedrat Stick Deodorant Yedek,1060.0,13,0.0,0.0,0.0,
