item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Tukaş Mayonez 9 Gr 500 Lü,590.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Mutlu Makarna Burgu 5 Kg,356.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Mutlu Makarna Arpa Şehriye 5 Kg,356.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Tukaş Mısır 3 X 150 Gr,106.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.035175879396985
Pakmaya Beyaz Pul Çikolata 100 Gr,167.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Zencefil 100 Gr,72.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pınar Krema %18 Yağlı 200 Ml,78.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,,
Komili Natürel Sızma Zeytinyağı Yumuşak Lezzet 2 Lt,986.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Galeta Unu 1 Kg,86.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Yakan Biber Turşusu 720 Gr,149.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Karışık Turşu 720 Gr,101.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Kornişon Turşusu 720 Gr,137.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Salatalık Turşusu 720 Gr,118.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Yakan Biber Turşusu 370 Gr,94.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Melis Kornişon Turşusu 370 Gr,93.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Sumak 1 Kg,619.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Mgs Kahverengi Toz Şeker 500 Gr,75.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,3.4482758620689653,3.4482758620689653
Mgs Kahverengi Küp Şeker 500 Gr,79.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,3.9473684210526314,3.9473684210526314
Kent Boringer Prf. Demi Glace Et Sosu 750 Gr,504.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Kent Boringer Sebzeli Çeşni 750 Gr,312.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Kent Boringer Prf. Ezogelin Çorbası 3 Kg,752.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Mutlu Makarna İnce Uzun 5 Kg,356.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kemal Kükrer Elma Sirkesi 500 Ml,151.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Pasta Süsü Sütlü Boncuk 50 Gr,133.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Pasta Süsü Sedef Boncuk 50 Gr,133.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Süt Mısır 3 X 150 Gr,152.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kühne Kırmızı Acı Biber Sosu 100 Ml,163.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Bitter Pul Çikolata 100 Gr,167.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Şef Krema 200 Ml,89.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Çift Renkli Damla Çikolata 70 Gr,151.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Cajun Baharat Harcı 100 Gr,50.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
