tarih,kategori,urun_adi,fiyat,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
2026-05-22,temel-gida,Bağdat Susam 75 Gr,64.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Tane KaraBiber 40 Gr,97.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Tarçın 45 Gr,69.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Tatlı Toz Biber 1 Kg,641.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Tatlı Toz Biber 75 Gr,97.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Tavuk Harcı 65 Gr,72.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Yenibahar 40 Gr,109.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Zencefil 60 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Zerdeçal 70 Gr,79.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bağdat Zerdeçal Cam 55 Gr,111.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Balküpü Küp Şeker 1 Kg,89.0,TRY,01,0.0,0.0,4.705882352941177,4.705882352941177
2026-05-22,temel-gida,Barbunya 1 Kg,176.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Barbunya 25 Kg (Çuval),4075.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Barilla Burgu Makarna 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Barilla Fiyonk Makarna 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Barilla Kelebek Makarna 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Barilla Lasagne Makarna 500 Gr,225.0,TRY,01,0.0,0.0,0.0,
2026-05-22,temel-gida,Barilla Pesto Genovese Makarna Sosu 190 Gr,208.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Barilla Pipette Bukle Makarna 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Barilla Spagetti 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Barilla Tagliatelle Makarna 500 Gr,220.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Barilla Yassı Spagetti 500 Gr,76.0,TRY,01,0.0,0.0,11.76470588235294,11.76470588235294
2026-05-22,temel-gida,Bibercizade Acı Toz Biber 120 Gr,89.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Çiğ Köfte Seti 600 Gr,182.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Çiğköfte Seti 380 Gr,135.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Çörek Otu 150 Gr,89.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Dolmalık Fıstık 25 Gr,204.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Hindistan Cevizi 100 Gr,81.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Hindistan Cevizi 250 Gr,129.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade İsot 120 Gr,88.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade İsot 500 Gr,207.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Kabuk Tarçın 50 Gr,76.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade KaraBiber 120 Gr,155.0,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Karanfil 20 Gr,52.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Karbonat 200 Gr,59.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Kekik 250 Gr,310.5,TRY,01,0.0,0.0,0.0,0.0
2026-05-22,temel-gida,Bibercizade Kimyon 120 Gr,89.0,TRY,01,0.0,0.0,0.0,0.0
