tarih,grup_id,urun_adi,fiyat
2026-03-18 00:19:11,33,Felix Sığır Etli ve Tavuklu Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Junior Tavuklu Yaş Yavru Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Junior Sığır Etli Yaş Yavru Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Sığır Etli Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Ton Balıklı Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Avantajlı Somonlu Ton Balıklı Yaş Kedi Maması 4x85 Gr,123.45
2026-03-18 00:19:11,33,Felix Tavuklu Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Somonlu Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Felix Sığır Etli ve Tavuklu Yaş Kedi Maması 4x85 Gr,123.45
2026-03-18 00:19:11,33,Felix Kuzulu Yaş Kedi Maması 85 Gr,32.95
2026-03-18 00:19:11,33,Friskies Junior Tavuklu Ve Havuçlu Yavru Yaş Köpek Maması 100 Gr,43.5
2026-03-18 00:19:11,33,Friskies Sığır Etli ve Patatesli Yetişkin Yaş Köpek Maması 100 Gr,43.5
2026-03-18 00:19:11,34,Palette Deluxe Saç Boyası 10-1 Küllü Açık Sarı,449.95
2026-03-18 00:19:11,34,Emotion Natural Breeze Deodorant Roll On 50 Ml,99.99
2026-03-18 00:19:11,34,Blade Green Dream Erkek Deodorant Roll On 50 Ml,149.95
2026-03-18 00:19:11,34,Palette Göz Alıcı Renkler Saç Boyası 7-1 Küllü Kumral,169.95
2026-03-18 00:19:11,34,Palette Göz Alıcı Renkler Saç Boyası 3-65 Çikolata Kahve,169.95
2026-03-18 00:19:11,34,Blade Mountaın Fresh Roll On 50 Ml,149.95
2026-03-18 00:19:11,34,Blade Cool Fresh Roll On 50 Ml,149.95
2026-03-18 00:19:11,34,Palette Kalıcı Doğal Renkler Saç Boyası 3-68 Kızıl Çikolata,169.95
2026-03-18 00:19:11,34,Palette Kalıcı Doğal Renkler Saç Boyası 7-0 Kumral,169.95
2026-03-18 00:19:11,34,Palette Kalıcı Doğal Renkler Saç Boyası 8-0 Bal Köpüğü,169.95
2026-03-18 00:19:11,36,Sera Orta Boy Çöp Poşeti Torbası 15 li,32.95
2026-03-18 00:19:11,36,Sera Tüy Toplayıcı 30'lu,39.95
2026-03-18 00:19:11,36,Sera Küçük Boy Çöp Poşeti Torbası 30 Lu,32.95
2026-03-18 00:19:11,36,Sera Nergis Kokulu Büzgülü Orta Boy Çöp Poşeti Torbası 15 Li,49.95
2026-03-18 00:19:11,36,Sera Nergis Kokulu Büzgülü Büyük Boy Çöp Poşeti Torbası 10 Lu,49.95
2026-03-18 00:19:11,36,Sera Vanilya Kokulu Büzgülü Büyük Boy Çöp Poşeti Torbası 10 Lu,54.95
2026-03-18 00:19:11,36,Sera Limon Kokulu Büzgülü Büyük Boy Çöp Poşeti Torbası 10 Lu,64.95
2026-03-18 00:19:11,36,Sera Yeni Nesil Pişirme Kağıdı 10'lu,89.95
2026-03-18 00:19:11,36,Sera Fırın Torbası 8 Adet,49.95
2026-03-18 00:19:11,36,Sera Jumbo Boy Çöp Poşeti Torbası 10 Lu,99.95
2026-03-18 00:19:11,36,Sera Battal Boy Çöp Poşeti Torbası 10 Lu,89.95
2026-03-18 00:19:11,36,Sera Büyük Boy Çöp Poşeti Torbası 10 Lu,32.95
2026-03-18 00:19:11,36,Sera Banyo Boy Çöp Poşeti Torbası 30 Lu,29.95
2026-03-18 00:19:11,36,Sera Vanilya Kokulu Orta Boy Büzgülü Çöp Poşeti Torbası 15 Li,54.95
2026-03-18 00:19:11,36,Sera 196 Lı Buz Küpü Buz Torbası 7 Adet,24.95
2026-03-18 00:19:11,36,Sera Kilitli Poşet 12 Li,44.95
2026-03-18 00:19:11,36,Sera Büyük Boy 20 Li Buzdolabı Poşeti,24.95
2026-03-18 00:19:11,36,Sera Orta Boy 20 Li Buzdolabı Poşeti,24.95
2026-03-18 00:19:11,36,Sera Küçük Boy Buzdolabı Poşeti 40 lı,24.95
2026-03-18 00:19:11,36,Sera Orta Boy 20 Li Buzdolabı Poşeti 4 Al 3 Öde,64.95
2026-03-18 00:19:11,36,Sera Streç Film 33 Mt,79.95
2026-03-18 00:19:11,36,Sera Yağlı Pişirme Kağıdı 8 Mt,59.95
2026-03-18 00:19:11,36,Sera Hazır Kesilmiş Yağlı Pişirme Kağıdı 16'lı,59.95
2026-03-18 00:19:11,36,Sera Alüminyum Folyo 8 Mt,69.95
2026-03-18 00:19:11,37,Macromax Klasik Tırnak Koruyucu Oluklu Bulaşık Süngeri 5'li,79.95
2026-03-18 00:19:11,37,Macromax Fırsat Paketi 3'lü,149.95
2026-03-18 00:19:11,37,Macromax Hazır Kesilmiş Yağlı Pişirme Kağıdı 16 Adet,99.95
2026-03-18 00:19:11,37,Macromax Extra Güçlü Çöp Poşeti Torbası Orta Boy 15'li,39.95
2026-03-18 00:19:11,37,Macromax Extra Güçlü Çöp Poşeti Torbası Küçük Boy 30'lu,39.95
2026-03-18 00:19:11,37,Macromax Mikrofiber Cam Bezi 2'li,119.95
2026-03-18 00:19:11,37,Macromax Extra Güçlü Çöp Poşeti Torbası Büyük Boy 10'lu,39.95
2026-03-18 00:19:11,37,Macromax Mikrofiber Havlu Paspas,199.95
2026-03-18 00:19:11,37,Macromax Orta Boy Buzdolabı Poşeti 75 li,99.95
2026-03-18 00:19:11,37,Macromax Buzdolabı Poşeti Küçük Boy 100 li,99.95
2026-03-18 00:19:11,37,Macromax Rengarenk Sünger 10'lu Paket,79.95
2026-03-18 00:19:11,37,Macromax Klasik Yeşil Oluklu Sünger 8'li,99.95
2026-03-18 00:19:11,37,Macromax Profesyonel Çöp Poşeti Torbası Battal Boy 10 lu,99.95
2026-03-18 00:19:11,37,Macromax Streç Film 100 Mt Kesme Bıçağı Hediyeli,199.95
2026-03-18 00:19:11,37,Macromax Comfort Sünger 2'li,89.95
2026-03-18 00:19:11,37,Macromax Temizlik Bezi 5'li,99.95
2026-03-18 00:19:11,37,Macromax Buzdolabı Poşeti Büyük Boy 50 li,99.95
2026-03-18 00:19:11,37,Macromax Streç Film 33 Mt,99.95
2026-03-18 00:19:11,37,Macromax Faster Yedek Mop,149.95
2026-03-18 00:19:11,37,Macromax Ekonomik Temizlik Bezi 9'lu,99.95
2026-03-18 00:19:11,37,Macromax Pişirme Kağıdı 8 Mt,99.95
2026-03-18 00:19:11,37,Macromax Profesyonel Çöp Poşeti Torbası Jumbo Boy 10 lu,129.95
2026-03-18 00:19:11,37,Macromax Çift Kilitli Poşet 12'li,89.95
2026-03-18 00:19:11,37,Macromax Ovma Teli 3'lü,79.95
2026-03-18 00:19:11,37,Macromax Fermuarlı Poşet 12'li,79.95
2026-03-18 00:19:11,37,Macromax Easy Temizlik Seti,399.95
2026-03-18 00:19:11,37,Macromax Klasik Yeşil Düz Sünger 5'li,79.95
2026-03-18 00:19:11,37,Macromax Standart Paspas,129.95
2026-03-18 00:19:11,39,Whiskas Tavuklu Kısır Kedi Maması 1.4 Kg,549.95
2026-03-18 00:19:11,39,Sheba Delikatesse Jöleli Ton Balıklı Kedi Yaş Mama 85 Gr,58.95
2026-03-18 00:19:11,39,Whiskas Biftekli Kuru Kedi Maması 1.4 Kg,549.95
2026-03-18 00:19:11,39,Whiskas Kümes Hayvanlı Yavru Kedi Yaş Mama 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Ton Balıklı Kuru Kedi Maması 1.4 Kg,549.95
2026-03-18 00:19:11,39,Whiskas Ton Balıklı Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Tavuklu Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Somonlu Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Sığırlı Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Klasik Öğünler Etli Seçim Yavru Kedi Yaş Maması 4x85 Gr,124.95
2026-03-18 00:19:11,39,Whiskas Klasik Öğünler Etli Seçim Yaş Kedi Maması 4x85 Gr,124.95
2026-03-18 00:19:11,39,Whiskas Yavru Tavuklu Kuru Mama 300 Gr,129.95
2026-03-18 00:19:11,39,Whiskas Tavuklu Kuru Mama 300 Gr,129.95
2026-03-18 00:19:11,39,Whiskas Tavuklu Kuru Kedi Maması 1.4 Kg,549.95
2026-03-18 00:19:11,39,Whiskas Biftekli Kuru Kedi Maması 300 Gr,129.95
2026-03-18 00:19:11,39,Whiskas Ton Balıklı Kuru Kedi Maması 300 Gr,129.95
2026-03-18 00:19:11,39,Whiskas Tavuklu ve Gravy Soslu Konserve Kedi Maması 400 Gr,164.95
2026-03-18 00:19:11,39,Whiskas Sığır Etli ve Gravy Soslu Konserve Kedi Maması 400 Gr,164.95
2026-03-18 00:19:11,39,Whiskas Ton Balıklı Konserve Yaş Kedi Maması 400 Gr,164.95
2026-03-18 00:19:11,39,Whiskas Tasty Mix Somonlu ve Havuçlu Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Tasty Mix Kuzulu ve Hindili Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,Whiskas Kuzulu Yaş Kedi Maması 85 Gr,37.95
2026-03-18 00:19:11,39,"Whiskas Tasty Mix Kuzulu, Havuçlu ve Tavuklu Yaş Kedi Maması 85 Gr",37.95
2026-03-18 00:19:11,39,Pedigree Tavuklu Konserve Yaş Mama 400 Gr,164.95
2026-03-18 00:19:11,39,Pedigree Biftekli Poşet Yaş Mama 100 Gr,49.95
2026-03-18 00:19:11,39,Dreamies Mix Peynirli ve Somonlu Kedi Ödül Maması 60 Gr,79.95
2026-03-18 00:19:11,39,Dreamies Mix Peynirli Sığır Etli Kedi Ödül Maması 60 Gr,79.95
2026-03-18 00:19:11,39,Pedigree Jumbone Mini Köpek Ödül Maması 160 Gr,119.95
2026-03-18 00:19:11,39,Pedigree Rodeo Biftek Köpek Ödül Maması 70 Gr,99.95
2026-03-18 00:19:11,39,Pedigree Konserve Sığır Etli Köpek Maması 400 Gr,164.95
2026-03-18 00:19:11,39,Pedigree Konserve Tavuklu Yavru Köpek Maması 400 Gr,164.95
2026-03-18 00:19:11,39,Dreamies Somonlu Kedi Ödül Maması 60 Gr,79.95
2026-03-18 00:19:11,39,Dreamies Tavuklu Kedi Ödül Maması 60 Gr,79.95
2026-03-18 00:19:11,39,Pedigree Biscrock Multi Mix Ödül Maması 200 Gr,124.95
2026-03-18 00:19:11,39,Pedigree Dentastix Medium Ödül Maması 180 Gr,184.95
2026-03-18 00:19:11,43,Portakal Sıkmalık Kg,39.9
2026-03-18 00:19:11,43,Mandalina Murcot Kg,59.9
2026-03-18 00:19:11,43,Domates Salkım Kg,109.9
2026-03-18 00:19:11,43,Yeşillik Tere Adet,9.9
2026-03-18 00:19:11,43,Yeşillik Nane Adet,9.9
2026-03-18 00:19:11,43,Yeşillik Roka Adet,9.9
2026-03-18 00:19:11,43,Yeşillik Dereotu Adet,9.9
2026-03-18 00:19:11,43,Yeşillik Maydanoz Adet,9.9
2026-03-18 00:19:11,43,Patates Kg,24.9
2026-03-18 00:19:11,43,Avokado Adet,79.9
2026-03-18 00:19:11,43,Marul Göbekli Adet,74.9
2026-03-18 00:19:11,43,Marul Kıvırcık Adet,79.9
2026-03-18 00:19:11,43,Kereviz Kg,34.9
2026-03-18 00:19:11,43,Ispanak Kg,59.9
2026-03-18 00:19:11,43,Pırasa Kg,28.9
2026-03-18 00:19:11,43,Havuç Kg,34.9
2026-03-18 00:19:11,43,Elma Starking Kg,119.9
2026-03-18 00:19:11,43,Muz Yerli Kg,99.9
2026-03-18 00:19:11,43,Elma Golden Kg,119.9
2026-03-18 00:19:11,43,Soğan Kuru Kg,17.9
2026-03-18 00:19:11,44,Nestle Kitkat Chunky Hazelnut 38 G,35.5
2026-03-18 00:19:11,44,Nestle Kitkat Chunky Bitter 38 G,35.5
2026-03-18 00:19:11,44,Cedid Hurma Yumuşak 500 Gr,99.95
2026-03-18 00:19:11,44,Ülker Pötibör Çokokrem Kremalı Sandviç 229 G,60.0
2026-03-18 00:19:11,44,"Fanta Mandalina 2,5 L",79.95
2026-03-18 00:19:11,44,Sofia Pamuk Katkılı Kağıt Havlu 8'li,129.95
2026-03-18 00:19:11,44,Rebbi İran Hurma 300 Gr,39.95
2026-03-18 00:19:11,44,Nestle Nesquik Kakaolu Buğday ve Mısır Gevreği 450 G,194.95
2026-03-18 00:19:11,44,Knorr Hazır Çorba Tarhana Çorbası 74 G,39.95
2026-03-18 00:19:11,44,Leva Çok Amaçlı Saklama Seti 6+1,99.95
2026-03-18 00:19:11,44,Cem Gemlik Yağlı Sele Zeytin 351-380 Kalibre Kg,159.95
2026-03-18 00:19:11,44,NIVEA Express Hydration Nemlendirici El ve Vücut Bakım Kremi 400 Ml,139.95
2026-03-18 00:19:11,44,Nivea Smooth Sensation El & Vücut Bakım Kremi 400 Ml,139.95
2026-03-18 00:19:11,44,Bioblas Çinko+Kafein Kepeğe Karşı Şampuan 500 Ml,139.95
2026-03-18 00:19:11,44,Bioblas Keratin+Biotin Saç Dökülmesine Karşı Şampuan 500 Ml,139.95
2026-03-18 00:19:11,44,Bioblas Argan+Badem Yağı Saç Dökülmesine Karşı Şampuan 500 ml,139.95
