date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Apr 2026,Meat and Protein,Fish,Kg,6.9,,,,,,,0,—
Apr 2026,Meat and Protein,Eggs,Piece,120.0,7.36,883.2,6.66,799.2,4.53,543.6,15,Anadolu Vitamin Yumurta 30'lu M; Anadolu Vitamin Yumurta 30'lu M; Anadolu Vitamin Yumurta L Boy 30’lu; Keskinoğlu Yumurta L Boy 30'lu; Anadolu Yumurta 15'li; Nezir Gezen Yumurta 15'li; Keskinoğlu Gezgin Tavuk Yumurtası 10'…; Ferikyum Gezen Tavuk Yumurtası 15'li; Keskinoğlu Yumurta 30'lu S; Keskinoğlu Yumurta 10'lu; Ferikyum Yumurta Gezen Ferikyum 10'Lu; Akdeniz Yumurta L Boy 30'lu; Keskinoğlu Yumurta L Boy 20'li; Keskinoğlu Yumurta (M) 30'lu; Keskinoğlu Yumurta 6'lı (M)
Apr 2026,Legumes,Chickpeas,Kg,1.8,142.09,255.76,139.95,251.91,94.99,170.98,7,Dinçer Beyaz Nohut 1 Kg; Happy Life Organik Nohut 500 gr; Duru Koçbaşı Nohut 8 Mm 1 Kg; Nohut Lüx 12 Ml Beyaz Kg; Dinçer Nohut Lüks 9 mm 1 Kg; Reis Koçbaşı Nohut 1000 g; Nohut Kg
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,987.35,2665.85,949.83,2564.54,221.94,599.24,22,Tadım Ceviz İçi 150 Gr; Tadım Kavrulmuş Tuzlu Yer Fıstığı 90 …; Tadım Kavrulmuş Fındık İçi 180 g; Peyman Bahçeden İç Ceviz 140 g; Peyman Tuzlu Kavrulmuş Fındık 140 g; Peyman Bahçeden Kavrulmuş Yer Fıstığı…; Tadım Kavrulmuş Fındık İçi 90 Gr; Mumcu Kuruyemiş Ceviz İçi 150 Gr; Tadım Tuzlu Yer Fıstığı 180 g; Fiskobirlik Fındık İçi 250 Gr; Master Nut Fındık İçi 130 Gr; Master Nut Master Nut Kavrul.tuzlu Fı…; Master Nut Yer Fıstığı Kızartılmış Tu…; Master Farm Ceviz İçi 150 gr; Peyman Bahçeden Kavrulmuş Fındık 160 …; Peyman Nutzz Popcorn Yer Fıstığı Ve B…; Master Nut Yer Fıstığı İç Tuzlu 160 Gr; Master Nut Yer Fıstığı Kızartıl Acılı…; Kavrulmuş Kabuklu Yer Fıstığı 250 Gr; Mumcu Fındık İçi 90 gr; Mumcu Yer Fıstığı Soyulmuş 180 Gr; Orgibite Kavrulmuş Tuzlu Yer Fıstığı …
Apr 2026,Grains,Bread,Kg,18.0,178.89,3220.02,200.0,3600.0,85.87,1545.66,16,Uno Fırından Tam Çavdarlı Ekmek 450 g; Ekmek Odun 230 Gr; Untad Premium 12 Tahıllı Ekmek 480 g; Untad Ekmek Light 500 Gr; Untad Otantik Cok Tahilli Keten Toh.E…; Untad Otantik Eksi Mayali Ekmek 540 Gr; Untad Ekmek Kepekli 500 Gr; Uno Tam Buğday Unlu Ekmek 450 G; Uno Premium Çok Tahıllı Ekmek 400 g; Uno Premium Çavdarlı ve Karabuğdaylı …; İhe Ekmek Altın Çörek Fındıklı Ve Üzü…; İhe Ekmek Dilimli Çavdar 400 Gr; İhe Ekmek Tuzsuz Tam Buğday Unlu 400 …; İhe Ekmek Çok Tahıllı Tahıl Ambarı 50…; İhe Ekmek Tam Buğday 400 Gr; İhe Ekmek Organik Tam Buğday 500 Gr
Apr 2026,Fruits,Banana,Kg,16.7,149.99,2504.83,149.99,2504.83,119.99,2003.83,2,Muz Yerli Kg; Muz İthal Kg
Apr 2026,Fruits,Seasonal Fruit,Kg,12.9,114.99,1483.37,114.99,1483.37,99.99,1289.87,2,Çilek Kg; Karpuz Kg
Apr 2026,Vegetables,Onion,Kg,18.0,89.99,1619.82,99.99,1799.82,19.99,359.82,3,Soğan Kuru Kg; Soğan Kırmızı Kg; Soğan Arpacık Kg
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,93.32,2155.69,69.99,1616.77,39.99,923.77,3,Patlıcan Kg; Patlıcan Bostan Kg; Kabak Girit Kg
Apr 2026,Vegetables,Other Vegetables,Kg,11.8,226.25,2669.75,226.25,2669.75,174.94,2064.29,2,Tat Taze Fasulye 800 Gr; Superfresh Taze Fasulye 450 Gr
Apr 2026,Oils,Olive Oil,Liter,1.1,482.32,530.55,433.32,476.65,326.65,359.31,25,Ahsaf Zeytinyağı Riviera 2 Lt Teneke; Ahsaf Zeytinyağı Riviera 500 Ml Pet; Ahsaf Zeytinyağı Riviera 1 Lt Pet; Ahsaf Zeytinyağı Sızma 500 Ml Pet; Ahsaf Zeytinyağı Sızma 1 Lt Pet; Ahsaf Zeytinyağı Sızma 2 Lt Teneke; Komili Sızma Zeytinyağı 500 ml; Komili Riviera Zeytinyağı 1 Lt; Komili Zeytinyağı Riviera 500 Ml Pet; Tariş Riviera Zeytinyağı Teneke 1 lt; Komili Riviera Zeytinyağı Pet 2 lt; Komili Sızma Zeytinyağı 1 lt; +Arko Nem Değerli Yağlar Zeytinyağı 6…; Zeytinyağı Riviera Maraska 750 Ml; Tariş Sızma Naturel Zeytinyağı Teneke…; Tariş Sızma Naturel Zeytinyağı Teneke…; Tariş Zeytinyağı Naturel Sızma 750 Ml; Tariş Zeytinyağı 915 Natürel Sızma 2 …; Ahsaf Zeytinyağı Riviera 3 Lt Teneke; Ahsaf Zeytinyağı Sızma 3 Lt Teneke; Komili Zeytinyağı 3 Lt; Komili Yağ Riviera Zeytinyağı 3 Lt; Tariş Riviera Zeytinyağı 500 Ml; Tariş Riviera Teneke Zeytinyağı 2 Lt; Komili Sızma Zeytinyağı 2 lt
Apr 2026,Other Food Products,Grissini,Kg,2.1,433.0,909.3,520.0,1092.0,262.5,551.25,5,Ülker Altınbaşak Grissini Kepekli 125…; Ülker Altınbaşak Grissini 125 Gr; Halk Ekmek Grissini Kepekli 200 gr; İhe Grissini Çörekotlu 200 Gr; Ülker Altınbaşak Grissini Çavdarlı Ka…
Apr2 2026,Dairy Products,Yogurt,Kg,59.7,96.5,5761.05,90.72,5415.98,69.97,4177.21,22,Kebir Ev Tipi Yoğurt 1 Kg; Kebir Yoğurt Ev Tipi 2 Kg; İçim Doğal Yoğurt 2000 g; Torku Yoğurt Yarım Yağlı Kova 2000 Gr; Deva Yoğurt Tam Yağlı Kova 2000 Gr; Sütaş Light Homojenize Yoğurt 650 Gr; Torku Tam Yağlı Yoğurt 500 Gr; Torku Tam Yağlı Yoğurt 1500 Gr; Eker Yoğurt Kova 2000 g; Eker Yoğurt Yarım Yağlı 1.5 Kg; Eker Yoğurt 750 Gr; Eker Yoğurt Bidon 2 Kg; Yörükoğlu Ev Yapımı Tadında Doğal Yoğ…; Yörükoğlu Yoğurt 1200 Gr; Yörükoğlu Yoğurt Homojenize 750 gr; Yörükoğlu Ev Tipi Yoğurt 3750 Gr; Pınar Yoğurt Lezzetin Alası 500 Gr; İtimat Yoğurt 500 Gr; İçim Yoğurt 750 Gr; Eker Yoğurt Efsane 1250 Gr; Eker Yoğurt Efsane 350 Gr; Yörükoğlu Doğal Yoğurt 500 Gr
