product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Alure Yılbaşı Ağaç Süsü Multicolor,1499.99,05,0.0,0.0,0.0,
Alva Yılbaşı Ağaç Süsü Multicolor,350.0,05,0.0,0.0,-16.664682492440296,
Alvin Cam 15 Dk Kum Saati Füme,319.99,05,0.0,0.0,0.0,
"Alvin Paslanmaz Çelik Rende 24,5 cm Mavi",359.99,05,0.0,0.0,0.0,
Alvin Polyresin Dekoratif Tepsi 32x46 cm Kahve,1439.99,05,0.0,0.0,-82.00010250012812,
Alvin Seramik Abajur Krem,7499.99,05,0.0,0.0,0.0,
Alvin Yılbaşı Ağaç Süsü Multicolor,1149.99,05,0.0,,0.0,
Alyysa Metal Çerçeve Lila,1749.99,05,0.0,0.0,0.0,
Alyysa Metal Çerçeve Mint,1749.99,05,0.0,0.0,0.0,
Alyysa Metal Çerçeve Pudra,1299.95,05,0.0,0.0,0.0,
Amaranthus Kumaş Tek Dal Yapay Çiçek Açık Pembe,1249.99,05,0.0,0.0,0.0,
Amaranthus Kumaş Tek Dal Yapay Çiçek Koyu Pembe,1249.99,05,0.0,0.0,0.0,
Amaranthus Kumaş Tek Dal Yapay Çiçek Krem,1249.99,05,0.0,0.0,0.0,
Amare Tek Dal Yapay Çiçek 90 cm Kırmızı,1199.99,05,0.0,0.0,0.0,
Amaris Dolgulu Kırlent 35x50 cm Kırmızı - Bej,4999.99,05,0.0,0.0,525.0065625820323,
Amber Woods Kokulu Mum 120 gr Kahverengi,1399.99,05,0.0,0.0,0.0,
Amelie Dekoratif Kırlent 35x55 cm Hardal,2999.99,05,0.0,0.0,0.0,
Amity Metal Maşa Gri,1399.99,05,0.0,0.0,0.0,
Amity Paslanmaz Çelik Maşa 26 cm Siyah,1749.99,05,0.0,0.0,0.0,
Amity Silikon Spatula 30 cm Renkli,1149.99,05,0.0,0.0,0.0,
Amour Porselen Isıtıcılı Demlik Seti 850 ml Beyaz,4499.99,05,0.0,0.0,0.0,
Amy Dekoratif Jüt Kilim Natural,2559.99,05,0.0,0.0,-84.00005250003282,
Ancel Fırın Eldiveni ve Tutacak Seti Lacivert,2249.99,05,0.0,0.0,0.0,
Anchor Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Mavi-Yeşil,1499.99,05,0.0,0.0,0.0,
Anchor Yılbaşı Ağaç Süsü Multicolor,2249.99,05,0.0,0.0,0.0,
Andora Cam Vazo 10.5 cm Yeşil,6499.99,05,0.0,0.0,0.0,
Andora Cam Vazo 13 cm Kırmızı,7999.99,05,0.0,0.0,614.2911990285628,
"Andora Yılbaşı Ağaç Süsü 13,5 cm Gold",300.0,05,0.0,0.0,0.0,
"Andora Yılbaşı Ağaç Süsü 13,5 cm Kırmızı",479.99,05,0.0,0.0,0.0,
Andora Örgü Sepet Pembe,2249.99,05,50.00033333555556,0.0,0.0,
Andre Tek Dal Yapay Çiçek 80 cm Kahve,849.95,05,0.0,0.0,0.0,
Andre Yılbaşı Ağaç Süsü Multicolor,1299.99,05,0.0,0.0,0.0,
Andre Çerçeve 13x18 cm Bej,489.99,05,0.0,0.0,0.0,
Andre Çerçeve Krem,479.99,05,0.0,0.0,-84.00028000093334,
Andy Saklama Kabı Şeffaf,899.99,05,0.0,0.0,0.0,
Anemone Kaydırmaz Taban Banyo Paspası 50x80 cm Lacivert,559.99,05,0.0,0.0,,
Angel Dekoratif Obje 15 cm Kahve,4999.99,05,0.0,0.0,0.0,
"Angela Mum 7x4,5x7,5 cm Kırmızı",1274.9,05,0.0,0.0,0.0,
