item_name,price,category,date,tuik_category,per_item_inflation_2026-05-23
Classy Diamond Pamuklu Bukle Banyo Paspası Seti Bej,2499.99,Banyo,2026-05-24,05,0.0
CloudSoft Pamuk Banyo Havlusu 90x150 cm Beyaz,4999.99,Banyo,2026-05-24,05,0.0
CloudSoft Pamuk Yüz Havlusu 50x80 cm Beyaz,349.99,Banyo,2026-05-24,05,0.0
Color Wave Pamuklu İpliği Boyalı Plaj Havlusu 90x150 cm Yeşil,719.99,Banyo,2026-05-24,05,0.0
Colorful Lines Pamuklu El Havlusu Ekru - Yeşil,999.99,Banyo,2026-05-24,05,0.0
Colorful Lines Pamuklu Yüz Havlusu 50x80 cm Ekru - Mavi,1249.99,Banyo,2026-05-24,05,0.0
Coral Pamuklu Torba Peştemal 90x150 cm Fuşya-Turuncu,2499.99,Banyo,2026-05-24,05,0.0
Corallo Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Mavi-Beyaz,4499.99,Banyo,2026-05-24,05,0.0
Crispy Colorful Pamuklu Yüz Havlusu 50x80 cm Mavi,1999.99,Banyo,2026-05-24,05,0.0
Curve Pamuk Bornoz Bej,909.99,Banyo,2026-05-24,05,0.0
Curve Pamuk Bornoz Mavi,783.99,Banyo,2026-05-24,05,0.0
Curve Pamuk Yüz Havlusu 50x70 cm Bej,999.95,Banyo,2026-05-24,05,0.0
Curve Pamuk Yüz Havlusu 50x70 cm Mavi,999.95,Banyo,2026-05-24,05,0.0
Curveline Kaydırmaz Taban Banyo Paspası Seti 60x80 cm + 40x60 cm Mavi,319.99,Banyo,2026-05-24,05,0.0
Curveline Kaydırmaz Taban Banyo Paspası Seti Bej,1999.99,Banyo,2026-05-24,05,
Daina 3lü Banyo Seti Bej,7499.99,Banyo,2026-05-24,05,0.0
Daisy Bouquet Pamuk Nakışlı Yüz Havlusu 50x80 cm Ekru,1999.99,Banyo,2026-05-24,05,0.0
Daisy Line Pamuk Yüz Havlusu 50x80 cm Beyaz,1749.99,Banyo,2026-05-24,05,0.0
Deluxe Low Twist Pamuklu El Havlusu 30x50 cm Mavi,999.99,Banyo,2026-05-24,05,0.0
Deluxe Pamuklu Low Twist El Havlusu 30x50 cm Beyaz,999.99,Banyo,2026-05-24,05,0.0
Deluxe Pamuklu Low Twist Yüz Havlusu Açık Yeşil,1399.99,Banyo,2026-05-24,05,0.0
Diana Cam Banyo Sıvı Sabunluk Şeffaf,1399.99,Banyo,2026-05-24,05,0.0
Dina 3lü Banyo Seti Antrasit,899.99,Banyo,2026-05-24,05,0.0
Dolly Rejenere Çizgili Peştamal 90x150 cm Fuşya-Mavi,999.99,Banyo,2026-05-24,05,0.0
Dolly Çizgili Peştamal 90x150 cm Mavi-Turuncu,1399.99,Banyo,2026-05-24,05,0.0
Dottie Pamuk Banyo Havlusu 80x150 cm Antrasit,511.99,Banyo,2026-05-24,05,0.0
Dottie Pamuk El Havlusu 30x45 cm Antrasit,1299.99,Banyo,2026-05-24,05,0.0
Dottie Pamuk Yüz Havlusu 50x80 cm Antrasit,1399.99,Banyo,2026-05-24,05,0.0
Falbelo Pamuklu Yuvarlak Banyo Paspası Ekru,5999.99,Banyo,2026-05-24,05,0.0
Falbelo Pamuklu Yuvarlak Banyo Paspası Pembe,909.99,Banyo,2026-05-24,05,0.0
Fancy Katlanabilir 2 Bölmeli Bambu Çamaşır Sepeti Bej,629.99,Banyo,2026-05-24,05,0.0
Fancy Katlanabilir Çamaşır Sepeti Bej,5499.99,Banyo,2026-05-24,05,0.0
Felis Pamuk Yüz Havlusu 50x80 cm Ekru-Kahve,1749.99,Banyo,2026-05-24,05,0.0
Floral Check Pamuk Yüz Havlusu 50x80 cm Beyaz,1749.99,Banyo,2026-05-24,05,0.0
Floral Line Pamuk Nakışlı Yüz Havlusu 50x80 cm Beyaz,1999.99,Banyo,2026-05-24,05,0.0
Florina Pamuk Yüz Havlusu 50x80 cm Beyaz,1999.99,Banyo,2026-05-24,05,0.0
Flower Bud Pamuklu Nakışlı Banyo Havlusu 90x150 cm Beyaz,3499.99,Banyo,2026-05-24,05,0.0
Flower Touch Pamuklu Jakarlı Yüz Havlusu 50x80 cm Lila,1499.99,Banyo,2026-05-24,05,0.0
Fluffy Cotton Plus Pamuklu Banyo Havlusu 70x140 cm Bej,2499.99,Banyo,2026-05-24,05,0.0
