District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Anamur / Ören,3+1,15000.0,04,0.0,0.0,,0.0
Anamur / İskele,1+1,20000.0,04,0.0,-3.225806451612909,,0.0
Anamur / İskele,2+1,20769.23076923077,04,3.250478011472268,4.3679938152299975,,-6.574394463667818
Anamur / İskele,3+1,24562.5,04,-6.992254733218585,-8.85899814471243,,-3.603773584905659
Anamur / İskele,4+1,20000.0,04,0.0,0.0,,
Aydıncık,2+1,9375.0,04,-16.294642857142858,-3.0172413793103385,,-47.91666666666667
Aydıncık,3+1,19833.333333333332,04,1.0615711252653866,3.8394415357766083,,15.310077519379838
Aydıncık / Köyler,2+1,10000.0,04,0.0,0.0,,233.33333333333334
Aydıncık / Köyler,3+1,5000.0,04,0.0,-80.0,,-80.0
Bozyazı,1+1,21000.0,04,0.0,,,5.0
Bozyazı,2+1,21650.0,04,0.0,0.0,,39.67741935483871
Bozyazı,3+1,15750.0,04,0.0,250.0,,-42.72727272727273
Bozyazı,4+1,25000.0,04,0.0,0.0,,0.0
Bozyazı,5+1,20000.0,04,0.0,0.0,,0.0
Bozyazı / Tekmen,3.5+1,4750.0,04,0.0,,,-20.833333333333336
Erdemli / Akdeniz,1+1,15933.92857142857,04,-2.349524370738277,-0.04854006422223991,,0.7679277244494587
Erdemli / Akdeniz,1.5+1,15000.0,04,0.0,0.0,,
Erdemli / Akdeniz,2+1,19673.91304347826,04,0.8918617614269748,-0.8762322015334025,,1.1512238739242164
Erdemli / Akdeniz,2.5+1,18000.0,04,0.0,0.0,,-2.7027027027027026
Erdemli / Akdeniz,3+1,19135.416666666668,04,-5.783275890365988,-4.643826864718086,,-11.366142817755714
Erdemli / Akdeniz,3.5+1,28500.0,04,0.0,3.6363636363636362,,29.545454545454547
Erdemli / Akdeniz,4+1,30857.14285714286,04,-2.7027027027026964,-4.318936877076407,,10.698270339525951
Erdemli / Alata,1+1,16315.78947368421,04,-2.5230216365950393,-6.096175691026129,,-6.246062082580755
Erdemli / Alata,2+1,20145.833333333332,04,-19.75454227812719,-5.48868312757202,,2.0042194092826944
Erdemli / Alata,2.5+1,26000.0,04,0.0,0.0,,
Erdemli / Alata,3+1,21205.882352941175,04,-57.662947739283624,-55.50394647091306,,-57.294582164727856
Erdemli / Alata,4+1,28666.666666666668,04,-15.187376725838261,-18.09523809523809,,-5.429553264604807
Erdemli / Arpaçbahşiş,1+1,16860.7,04,-22.366376372487913,-25.461096374889475,,-6.96689350744895
Erdemli / Arpaçbahşiş,2+1,23041.666666666668,04,-12.438423645320189,-0.539568345323741,,8.482423101067175
Erdemli / Arpaçbahşiş,3+1,25400.0,04,-0.39215686274509803,5.833333333333333,,1.8262806236080145
Erdemli / Beldeler,1+1,14603.413793103447,04,-24.072240369029508,-22.19794931313946,,12.334878091549253
Erdemli / Beldeler,2+1,15590.90909090909,04,-81.3413970752936,-80.35244962598557,,-52.12004885709302
Erdemli / Beldeler,3+1,22000.0,04,-88.7018544935806,-85.96810933940775,,25.71428571428571
Erdemli / Kargıpınarı,1+1,16937.5,04,-1.5110941086457437,-1.2221269296741044,,-9.55703883495146
Erdemli / Kargıpınarı,2+1,20736.842105263157,04,-7.351822394356468,-0.21369212504947221,,-9.015683633214675
Erdemli / Kargıpınarı,3+1,22250.0,04,-66.69161676646706,-68.90527950310559,,-49.239543726235745
