City,District,Rooms,Price
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,21000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,2+1,15000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,16500.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,23500.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,25000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,2+1,14500.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,28900.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,25000.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,22000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,3+1,14000.0
Ankara_Akyurt,AkyurtBalıkhisar Mh.,1+1,25900.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,13999.0
Ankara_Akyurt,AkyurtYıldırım Mh.,3+1,24000.0
Ankara_Akyurt,AkyurtSaracalar Mah.,1+1,18000.0
Ankara_Akyurt,AkyurtYeşiltepe Mh.,3+1,19000.0
