category,product_name,price_tl,unit,date
Süt Kahvaltılık,Danet Tadımlık Fıstıklı Macar Salam 50 gr,37.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Tadımlık Füme Hindi 60 gr,25.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Tadımlık Füme Piliç 60 gr,22.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Tadımlık Hindi Salam 60 gr,21.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Tadımlık Macar Salam 50 gr,37.95,Kg,2026-03-15
Süt Kahvaltılık,Danet Teneke Kavurma kg,2249.95,Kg,2026-03-15
Süt Kahvaltılık,Danette Çikolatalı Puding 375 gr,89.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Bowl Ahududu&Yulaf&ceviz 150 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Bowl Ananas&Yulaf&h.Cevizi 150 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Bowl Hurma&Yulaf&Badem 150 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Cihanbeyli Manda Sütlü Kaymak kg,1599.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Bowl Yaban Mersini&Yulaf&Chia 150 gr,57.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Ananaslı Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Çilekli Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Kuru Kayısılı Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Laktozsuz Sade Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Orman Meyveli Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Sade Yoğurt 4x100 gr,99.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Shot + Kara Mürver&Yaban Mersinli 80 ml,34.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Shot + Nar & Çilek 80 ml,34.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Shot Ahududu & Hibiskus 80 ml,32.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Activia Probiyotik Shot Sade 80 ml,32.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Activia Shot Çilek&Muz 80 ml,32.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Çilekli Meyveli Yoğurt 400 gr,89.45,Kg,2026-03-15
Süt Kahvaltılık,Danone Disney Çıtırdat Çilekli Yoğurt 94 gr,34.95,Kg,2026-03-15
Süt Kahvaltılık,Danone Disney Milkshake Çilek & Vanilya 188 ml,42.45,Litre,2026-03-15
Süt Kahvaltılık,Danone Hüpper  67 gr Çilekli,34.95,Adet,2026-03-15
