product_name,price (TL)
Polonez Etli Hindi Salam,699.0
Polonez Dana Baton Sucuk,2729.9
Polonez Biberli Salam,1690.0
Polonez Dana Füme Et Kg,3199.9
Polonez Sebzeli Tavuk Jambon,779.9
Polonez Tost Jambon,1590.0
Polonez Kavurma,3299.9
Fümeci Kafkas Usulü Füme Et Kg,5599.9
Apikoğlu Dana Sucuk Vakumlu 210 G,562.9
Maret 10'lu Soyulmuş Sosis 432 G,499.9
Pınar Doyum Salam 700 Gr,251.9
Namet Dilli Salam Kg,2099.9
Apikoğlu Dana Parmak Sucuk Kg,2149.9
Namet Piliç Jambon 50 G,37.9
Namet Blok Tavuk Jambon Kg,669.9
Namet Dana Jambon Kg,1599.9
Namet Baton Sucuk Kg,1799.9
Namet Seçme Dana Pastırma Kg,2399.9
Namet Blok Mortadella Salam Kg,1849.9
Aytaç Macar Salam 60 G,72.9
Başyazıcı Dana Yarım Ay Sucuk 150 g,280.9
Maret Dana Balkan Sucuk 100 g,149.9
Namet Macar Salam Kg,1439.9
Aytaç Hindi Mangal Sucuk 280 G,267.9
Namet Dana Fermente Kangal Sucuk 240 Gr,529.9
Pınar Gurme Sucuk 250 G,511.9
Polonez Antrikot Pastırma Kg,3499.9
Dana Kangal Sucuk 200 g,296.9
Namet Hindi Fıstıklı Salam 7/24 50 G,60.5
Polonez Hindi Fıstıklı Salam 90 Gr,76.9
Sultan Kangal Sucuk Kg,1249.9
Sultan Dilimli Kavurma 100 Gr,298.9
Sultan Blok Kavurma kg,2699.9
Çoşkun Çatal Sucuk Kg,1479.9
Apikoğlu Dana Tavalık Sucuk 200 Gr,561.9
Apikoğlu Kurutulmuş Dana Füme Et 100 Gr,561.9
Beşler Hünkar Piliç Dilimli Isıl İşlem Görmüş Sucuk 260 gr,136.9
Pınar Hindi Sucuk Mangal Keyfi 300 Gr,236.9
Namet Fermente Parmak Sucuk Kg,1399.9
Maret Geleneksel Kangal Sucuk Kg,1279.9
Pınar Füme Hindi Karabiberli Gurme 110 g,94.9
Pınar Füme Hindi But Etli Gurme 110 g,113.9
Apikoğlu Çemeni Sıyrılmış Çerezlik Pastırma 100 Gr,524.9
Sultan Dilimli Dana Pastırma Kg,2999.9
Sultan Dilim Dana Seçme Pastırma 100 Gr,429.9
Beşler Bi Lokma Hindi Füme 55 g,48.9
Apikoğlu Kangal Fermente Sucuk 280 G,723.9
Polonez Dana Fermente Kangal Sucuk Kg,1999.9
Polonez Dana Acılı Fermente Kangal Sucuk Kg,1999.9
Namet Dilimli Fıstıklı Salam 150 G,284.9
Polonez Extra Dana Sosis Kg,1499.9
Başyazıcı Evlik Sucuk Kg,1799.9
Banvit Bi'Dilim Piliç Salam 60 G,28.99
Başyazıcı Fermente Kangal Sucuk Kg,1799.9
Başyazıcı Kavurma Kg,2399.9
Fümeci Dana Bacon Kg,3879.9
Cumhuriyet Kangal Sucuk Kg,2190.0
Apikoğlu Dana Et Çubukları Atıştırmalık 110 g,428.9
Başyazıcı Efsane Parmak Sucuk 300 Gr,605.9
Apikoğlu Dana Et Çubukları Atıştırmalık Acılı 110 g,428.9
Apikoğlu Dana Sucuk 100 g,348.9
Başyazıcı Seçme Pastırma 120 G,542.9
Namet Dana Kokteyl Sosis 450 G,509.9
Apikoğlu Klasik Dana Sucuk Kg,2790.0
Polonez Füme Et Kg,2990.0
Namet Dana Sosis kg,959.9
Fümeci Fermente Kangal Sucuk Kg,2929.9
Fümeci Fermente Dilimli Chorizo Acılı Sucuk Kg,4399.9
Polonez Füme Piliç Göğüs Kg,999.9
Maret Pratik Hindi Salam 60 G,61.9
Aytaç Şipşak Piliç Kokteyl Sosis 170 G,75.9
Sultan Isıl İşlem Görmüş Kangal Sucuk 200 Gr,343.9
Namet Dilimli Pastırma Çemeni Sıyrılmış 130 G,719.9
Namet Dilimli Jambon Tavuk 150 G,106.9
Cumhuriyet Parmak Sucuk Kg,2190.0
Polonez Dana İtalyan Salam Kg,3299.9
Polonez Biberli Füme Et (Rosebeef) Kg,2990.0
Namet Dana Uzun Sosis Kg,959.9
Aytaç Şipşak Hindi Salam Dilimli 50 G,33.5
Polonez Hindi Kokteyl Sosis Kg,599.9
Aytaç Şipşak Piliç Kokteyl Sosis 170 G,75.9
Polonez Füme Et Kg,2990.0
Polonez Füme Piliç Göğüs Kg,999.9
Maret Pratik Hindi Salam 60 G,61.9
Fümeci Krakova Kg,1079.9
Yayla Türk Tavuk Göğüs Bütün Füme Kg,1659.9
Fümeci Sucuk Fıstıklı Hellimli Baton Kg,2879.9
Yayla Türk Dilimli Göğüs Füme 120 G,252.9
Yayla Türk Karabiberli Hindi But Füme 120 G,252.9
Namet Işıl İşlem Görmüş Kangal Sucuk Kg,899.9
Yayla Türk Karabiberli Hindi But Füme Kg,2119.9
Piliç Jülyen Sosis 250 g,100.9
Yayla Türk Hindi Göğüs Bütün Füme Kg,1999.9
Yayla Türk Hindi But İstim Kg,2119.9
Namet Dana Dilimli Kavurma 200 Gr,384.5
Fümeci Pate 250 G,517.9
Fümeci Frankfurter Emmentalli Sosis Kg,2549.9
Yayla Türk Kekikli Hindi But Füme 120 G,252.9
Bütün Türk Somonu kg,289.0
Çipura 400-600 g,459.0
Çipura 300-400 g,349.0
Levrek 600-800 g,599.0
Norveç Somon Dilim kg,699.0
Levrek 400-600 g,559.0
Çipura 600-800 g,389.0
Balık Dünyası Tüp Kalamar 1 Kg,299.0
Dardanel Ton Onigiri 125 g,115.0
Carrefour Somon Füme 100 Gr,249.0
Balık Dünyası Kuyruklu Et Karides 16/20 1 Kg,499.0
Dardanel Somon Füme 40 g,149.0
Dardanel Somon Füme 80 g,279.0
Dardanel Sushi California Roll 205 g,329.0
Leröy Somon Fileto 500 g,449.0
Red Tiger Yengeç Surimi 125 g,109.0
Dardanel Somon Marine 80 g,279.0
Dardanel Somon Teriyaki Onigiri 125 g,115.0
Baharatlı Somon Füme 100 g,279.0
Dardanel Siyah Havyar 100 g,599.0
Leroy Somon Füme 100 g,324.0
Dardanel Boom Roll 370 g,399.0
Dardanel Sushida Somon Special Mix 200 g,329.0
Red Tiger Siyah Havyar 100 gr,259.0
Leröy Somon Dilim 500 g,399.0
Levrek 300-400 g,529.0
Carrefour Biber Soslu Hamsi Marine 200 Gr,110.0
Carrefour Marine Deniz Ürünleri Salatası 200 Gr,225.0
Carrefour Sarımsak Soslu Hamsi Marine 200 Gr,110.0
Kocaman Hamsi Kırmızı Biber Soslu Fileto Marine 200 Gr,189.0
Dardanel Yengeç Surimi 100 g,235.0
Dardanel Somon Havyar 115 g,899.0
Dardanel Sushida Teriyaki Tavuklu  Onigiri 125 g,115.0
Sushida Tavuklu Kimbap 200 g,279.0
Sushida Sosisli Kimbap 200 g,279.0
Sushida Etli Kimbap 200 g,279.0
Carrefour Türk Somonu Füme 100 g,249.0
Balık Dünyası Karides Söğüş 300 Gr,299.0
Balık Dünyası Marine Ahtapot 300 g,489.0
Dardanel Sushida Tavuklu Onigiri 125 g,115.0
Kocaman Hamsi Kırmızı Biber Soslu Fileto Marine 200 Gr,189.0
Kocaman Hamsi Sade Naturel Fieto Marine 200 Gr,189.0
Kocaman Hamsi Marine Sarımsaklı 200 Gr,189.0
Kocaman Palamut Lakerda 200 g,219.0
Kocaman Hamsi Marine Garnitürlü 200 Gr,189.0
Red Tiger Yengeç Surimi 250 g,209.0
Red Tiger Istakoz Surimi 250 g,209.0
Kocaman Sardalya Ançüez Dereotlu Marine 90 Gr,379.0
Dardanel Sushida Somon Wrap 120 g,129.0
Dardanel Sushida California Wrap 120 g,129.0
Carrefour Zeytinli Hamsi Marine 200 g,110.0
Carrefour Ahtapot Salatası 200 Gr,225.0
Mezzemarin Soslu Hamsi 200 g,149.0
Mezzemarin Ahtapot Salatası 200 g,359.0
Carrefour Marine Deniz Ürünleri Salatası 1000 g,1100.0
Carrefour Füme Uskumru Çiroz Salatası 1000 g,599.0
Carrefour Marine Ahtapot Salatası 1000 g,929.0
Carrefour Karides Söğüş 1000 g,799.0
Mezzemarin Kalamar Salatası 200 g,279.0
Mezzemarin Uskumru Çiroz 200 g,199.0
Mezzemarin Su Ürünleri Salatası 200 g,219.0
Leroy Somon Marine 100 g,324.0
Kocaman Kabuklu Midye %0 Glaze 100 g,379.0
Kaya Levreği 1000-1500 g,399.0
Balık Dünyası Deniz Ürünleri Salatası 300 Gr,299.0
Onigiri California 250 g,199.0
Onigiri Ton 250 g,199.0
Karides Boom Rool 370 g,399.0
Onigiri Somon 250 g,199.0
Somon Boom Roll 370 g,399.0
Veggy Boo Roll 370 g,399.0
Chefline Asia Sushi Nori 10 Yaprak 25 g,164.5
