id,sku,name,brand,category,sub_category,family,regular_price,shown_price,discount_rate,unit,status,image_url,product_url,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
QE65S85FAEXTK,QE65S85FAEXTK,"65"" OLED S85F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S85F 4K Samsung Vision AI Smart TV (2025),101099.0,101099.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65s85faextk/gallery/tr-oled-s85f-qe65s85faextk-thumb-551951366,https://www.samsung.com/tr/tvs/oled-tv/s85f-65-inch-oled-4k-smart-tv-qe65s85faextk/,09,0.0,0.0,,
QE77S85FAEXTK,QE77S85FAEXTK,"77"" OLED S85F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S85F 4K Samsung Vision AI Smart TV (2025),149999.0,149999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe77s85faextk/gallery/tr-oled-s85f-qe77s85faextk-thumb-551951368,https://www.samsung.com/tr/tvs/oled-tv/s85f-77-inch-oled-4k-smart-tv-qe77s85faextk/,09,0.0,0.0,,
QE83S85FAEXTK,QE83S85FAEXTK,"83"" OLED S85F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S85F 4K Samsung Vision AI Smart TV (2025),202499.0,202499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe83s85faextk/gallery/tr-oled-s85f-qe83s85faextk-thumb-551951374,https://www.samsung.com/tr/tvs/oled-tv/s85f-83-inch-oled-4k-smart-tv-qe83s85faextk/,09,0.0,0.0,,
QE65S95FATXTK,QE65S95FATXTK,"65"" OLED S95F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S95F 4K Samsung Vision AI Smart TV (2025),172999.0,172999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65s95fatxtk/gallery/tr-oled-s95f-qe65s95fatxtk-thumb-551951414,https://www.samsung.com/tr/tvs/oled-tv/s95f-65-inch-oled-4k-smart-tv-qe65s95fatxtk/,09,0.0,0.0,,
QE83S95FAEXTK,QE83S95FAEXTK,"83"" OLED S95F 4K Vision AI Smart TV (2025)",Samsung,TVs,OLED TV,OLED S95F 4K Samsung Vision AI Smart TV (2025),349999.0,349999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe83s95faextk/gallery/tr-oled-s95f-qe83s95faextk-thumb-551951421,https://www.samsung.com/tr/tvs/oled-tv/s95f-83-inch-oled-4k-smart-tv-qe83s95faextk/,09,0.0,,,
QE75QN900FTXTK,QE75QN900FTXTK,"75"" Neo QLED 8K QN900F Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,Neo QLED QN900F 8K Samsung Vision AI Smart TV (2025),189699.0,189699.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe75qn900ftxtk/gallery/tr-qled-qn900f-qe75qn900ftxtk-thumb-551923430,https://www.samsung.com/tr/tvs/qled-tv/qn900f-75-inch-neo-qled-8k-mini-led-smart-tv-qe75qn900ftxtk/,09,0.0,,,
QE65QN90FATXTK,QE65QN90FATXTK,"65"" Neo QLED QN90F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,Neo QLED QN90F 4K Samsung Vision AI Smart TV (2025),112999.0,112999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65qn90fatxtk/gallery/tr-qled-qn90f-qe65qn90fatxtk-thumb-551925469,https://www.samsung.com/tr/tvs/qled-tv/qn90f-65-inch-neo-qled-4k-mini-led-smart-tv-qe65qn90fatxtk/,09,0.0,0.0,,
QE75QN90FATXTK,QE75QN90FATXTK,"75"" Neo QLED QN90F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,Neo QLED QN90F 4K Samsung Vision AI Smart TV (2025),139999.0,139999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe75qn90fatxtk/gallery/tr-qled-qn90f-qe75qn90fatxtk-thumb-551925537,https://www.samsung.com/tr/tvs/qled-tv/qn90f-75-inch-neo-qled-4k-mini-led-smart-tv-qe75qn90fatxtk/,09,0.0,0.0,,
QE85QN90FATXTK,QE85QN90FATXTK,"85"" Neo QLED QN90F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,Neo QLED QN90F 4K Samsung Vision AI Smart TV (2025),181499.0,181499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe85qn90fatxtk/gallery/tr-qled-qn90f-qe85qn90fatxtk-thumb-551925662,https://www.samsung.com/tr/tvs/qled-tv/qn90f-85-inch-neo-qled-4k-mini-led-smart-tv-qe85qn90fatxtk/,09,0.0,,,
QE98QN90FATXTK,QE98QN90FATXTK,"98"" Neo QLED QN90F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,"98"" Neo QLED QN90F 4K Samsung Vision AI Smart TV (2025)",279599.0,279599.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe98qn90fatxtk/gallery/tr-qled-98qn90f-qe98qn90fatxtk-thumb-551925719,https://www.samsung.com/tr/tvs/qled-tv/qn90f-98-inch-neo-qled-4k-mini-led-smart-tv-qe98qn90fatxtk/,09,0.0,0.0,,
QE55LS03FAUXTK,QE55LS03FAUXTK,"55"" The Frame LS03F 4K QLED Sanat Modu Vision AI Smart TV (2025)",Samsung,TVs,The Frame,The Frame 4K Samsung Vision AI Smart TV (2025),64999.0,64999.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe55ls03fauxtk/gallery/tr-the-frame-ls03f-qe55ls03fauxtk-thumb-549662420,https://www.samsung.com/tr/lifestyle-tvs/the-frame/ls03f-55-inch-art-store-black-qe55ls03fauxtk/,09,0.0,0.0,,
QE65QN80FAUXTK,QE65QN80FAUXTK,"65"" Neo QLED 4K QN80F Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,Neo QLED QN80F 4K Samsung Vision AI Smart TV (2025),81499.0,81499.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe65qn80fauxtk/gallery/tr-qled-qn80f-qe65qn80fauxtk-thumb-551922778,https://www.samsung.com/tr/tvs/qled-tv/qn80f-65-inch-neo-qled-4k-mini-led-smart-tv-qe65qn80fauxtk/,09,0.0,,,
QE43Q7FAAUXTK,QE43Q7FAAUXTK,"43"" QLED Q7F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),30699.0,30699.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe43q7faauxtk/gallery/tr-qled-q7-545582-qe43q7faauxtk-thumb-551924348,https://www.samsung.com/tr/tvs/qled-tv/q7f-43-inch-qled-4k-smart-tv-qe43q7faauxtk/,09,0.0,0.0,,
QE55Q7FAAUXTK,QE55Q7FAAUXTK,"55"" QLED Q7F 4K Vision AI Smart TV (2025)",Samsung,TVs,QLED TV,QLED Q7F 4K Samsung Vision AI Smart TV (2025),45799.0,45799.0,0,PIECE,IN_STOCK,https://images.samsung.com/is/image/samsung/p6pim/tr/qe55q7faauxtk/gallery/tr-qled-q7-545582-qe55q7faauxtk-thumb-551924548,https://www.samsung.com/tr/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qe55q7faauxtk/,09,0.0,0.0,,
