Title,Daily Inflation(%)
BIRYAG AYCICEK YAGI 5 LT PET,0.0
BIZIM BULYON ET 120 GR 9+3,0.0
BIZIM BULYON TAVUK 120 GR 9+3,0.0
BIZIM CORBA DOMATES 65 GR,0.0
BIZIM CORBA EZOGELIN 80 GR,0.0
BIZIM CORBA K.MANTAR 65GR,0.0
BIZIM CORBA K.TAVUK 62 GR,0.0
BIZIM MARGARIN 250 GR 6 LI,0.0
BIZIM MARGARIN 250 GR PAKET,0.0
BLADE DEO 150 ML COOL FRESH,0.0
BLADE DEO 150ML SELF CONFIDENCE,0.0
BLENDAX 470ML SAMP.ISIRGAN OTU GUCLNDRC,7.143367383384527
BLENDAX 470ML SAMP.KEPEGE KARSI,7.143367383384527
BLENIOR AGDA BEZI 25 MT,0.0
BOUNTY BAR 57 GR,0.0
BOZKURT FENER MUM 10 LU,0.0
BOZKURT KOKULU BARDAK MUM,0.0
BREF DUO JEL 2X42 GR CICEK DUOPACK,0.0
BREF POWER AKTIV 50 GR OKYANUS TEKLI,0.0
BREF POWER AKTIV 50 GR ÇAM TEKLI,0.0
BREF POWER AKTIV DUOPACK 100 GR CAM 2 LI,0.0
BREF POWER AKTIV DUOPACK 100 GR OKYANUS 2 LI,0.0
BROART KARE FIRIN TEPSISI 2 LI.,0.0
BROART YUVARLAK FIRIN TEPSISI 2 LI.,0.0
BURCU BEZELYE 570 GR CAM,0.0
BURCU BEZELYE TNK 830 GR,0.0
BURCU HASLANMIS FASULYE 600 GR CAM,0.0
BURCU HASLANMIS NOHUT 600 GR CAM,0.0
BURCU KETCAP KATKISIZ 650 GR ACI,0.0
BURCU KETCAP KATKISIZ 650 GR TATLI,0.0
BURCU KOZLEMIS PATLICAN 540 GR,0.0
BURCU KOZLENMIS BIBER 560 GR,0.0
BURCU MAYONEZ BUFE 550 GR,0.0
BİBER KIRMIZI,0.0
BİBER KÖY KG,-5.555864214678593
CALVE KETCAP + LIGHT MAYONEZ 600 +540 GR,0.0
CALVE KETCAP 400 GR,0.0
CALVE KETCAP ACILI 600 GR,0.0
CALVE MAYONEZ 540 GR,0.0
CALVE SOS ACI 265 GR,0.0
CALVE SOS BALLI HARDAL 260 GR,0.0
CALVE SOS BARBEKU 290 GR,0.0
CALVE SOS CHEDDAR 240 GR,0.0
CALVE SOS RANCH 245GR,0.0
CAMSIL MATIK 500 ML,0.0
CAMSIL MATIK YEDEK 1000GR,0.0
CANPED H.BEZI EMICI KULOT EXTRA LARGE 8 LI,0.0
CANPED H.BEZI EMICI KULOT ORTA 9LU,0.0
CANPED MESANE PEDI BUYUK 10LU,0.0
CANPED MESANE PEDI ORTA 10 LU,0.0
CANPETEK BAL 1000 GR,0.0
CANPETEK TABAKLI BAL 400 GR,0.0
CARTEDOR CLASSIC 850 ML VISNE BITTER KAYMAK,0.0
CEMALIM LOKUMLU KLASIK PEYNIR KG,0.0
CEREZZA DEV BAHARAT DOMATES SOSU TADINDA 150 GR,0.0
CEREZZA KOKTEYL SUPER 117 GR,0.0
CEREZZA STICK 117 GR PEYNIR SOGON SUPER,0.0
CEREZZA TV SUT MISIRI SUPER 117 GR,0.0
CHEETOS FIRINDAN  41 GR FISTIK AILEPLUS,0.0
CHEETOS FIRINDAN 41 GR BIFTEK AILEPLUS,0.0
CHEETOS FIRINDAN 41 GR PEYNIR AILEPLUS,0.0
CHUPA CHUPS LOLIPOP TRIO 29 GR,0.0
CHUPA CHUPS MELODY POPS CILEK 15 GR,0.0
CIF JEL 750 ML CICEK FERAHLIGI,0.0
CIF KREM 500ML AMONYAKLI,0.0
CIF KREM 500ML LIMON,0.0
CIF KREM 750  GR AMONYAKLI+LIMON 750 GR,0.0
CIF KREM 750ML AMONYAK,0.0
CIF KREM 750ML LIMON,0.0
CIF KREM SPREY 750 ML AMONYAKLI,0.0
CIF SPREY POWER BANYO 750 ML,0.0
CIF SPREY POWER MUTFAK 750 ML,0.0
CILLIT BANG 500ML TURBO LAVABO ACICI JEL,0.0
CIPSO 104 GR KETCAP S.PLUS,0.0
CIPSO 104 GR ORJINAL S.PLUS,0.0
CIPSO YOGURT S.PLUS 104 GR,0.0
CIRE ASEPTINE 150 MLVAZELİN KLASIK,0.0
CIRE ASEPTINE 30 ML ALOE VERA EL VUCUT KREMI(FANUS,0.0
CIRE ASEPTINE SOFT 100 ML  ALOE VERA EL YÜZ VÜCUT,0.0
CIZMECI 65 GR WAFER MASTER FINDIKLI,0.0
CIZMECI WAFER MASTER 120 GR,0.0
CLEAR MEN 350 ML SAMPUAN COOL SPORT,0.0
CLEAR MEN 350 ML SAMPUAN HIZLI STIL 2N1,0.0
CLEAR MEN 350 ML SAMPUAN LEGEND BY CR7 RONALDO,0.0
CLEAR MEN 350 ML SAMPUAN MAXIMUM FERHALIK,0.0
CLEAR MEN 350 ML SAMPUAN YOGUN ARINDIRICI,0.0
CLEAR MEN 350ML SAMP.GUNLUK ARINMA&FERAHLIK,0.0
CLEAR WOMEN 350 ML SAMPUAN SAC DOKULMESINE KARSI,0.0
CLEAR WOMEN 350 ML SAMPUAN YUMUSAK PARLAK,0.0
COFFEE BARDAK 400ML 9122,0.0
COLGATE 250 ML PLAX AGIZ BAKIM SUYU MAVI,0.0
COLGATE 500 MLPLAX AGIZ BAKIM SUYU MAVI,0.0
COLGATE D.FIRCASI 360 1+1 OPTIK BEYAZ ORTA,0.0
COLGATE D.MACUNU 75 ML MAX BEYAZLIK,0.0
COLGATE D.MACUNU 75ML BARBIE SPIDERMAN COCUK,0.0
COLGATE D.MACUNU 75ML MISVAK OZLU,0.0
COLGATE DIS IPI DIS ETI SAGLIGI,0.0
COOK B.DOLABI POSETI ORTA 4AL3 ODE,0.0
COOK B.DOLABI POŞET BÜYÜK 15 Lİ (30X45),0.0
COOK PİŞİRME KAĞIDI 16 LI HAZIR KESİLMİŞ,0.0
COOK STREÇ FİLM 15MT,0.0
COOK ÇÖP TORBASI BATTAL 7LI(75X90),0.0
COOK ÇÖP TORBASI EKO KÜÇÜK 30LI(40X47),0.0
CORNETTO DISC MILKA 130ML,0.0
CORNETTO DISC OREO 130ML,0.0
CORNETTO DİSK VANİLYA-KARAMEL 130 ML,0.0
COŞKUN PARMAK SUCUK KG(I.İ),0.0
CUMHURIYET 180 GR VAKUMLU KANGAL SUCUK,0.0
CİPSO 150 GR TIR. ORG. %20 PARTİ,0.0
DAGLI YARIM YAGLI ERTIME PEYNIR KG,0.0
DALAN 4X150 GR GLISERINLI SABUN MISKET LIMONU,0.0
DALAN 4X150 GR GLISERINLI SABUN Z.YAGLI (ORGANIK),0.0
DALAN 5X180 GR ANTIK PIRINA SABUNU,0.0
DALAN 600GR BEYAZ BANYO SABUNU GUL,0.0
DALAN 600GR BEYAZ BANYO SABUNU KLASIK,0.0
DALAN 600GR YESIL BANYO SABUNU Z.YAGLI,0.0
DALAN ROXY MATIK 800 GR BAHAR CICEKLERI,0.0
DALIN KOLAY TARAMA SPREYI 200 ML,0.0
DALIN SAMPUAN 200ML NORMAL,0.0
DALIN SAMPUAN 900 ML,0.0
DANA BIFTEK KG,0.0
DANA GULAS KG,0.0
DANA INCIK KG,0.0
DANA KASAP KOFTE KG,0.0
DANA KUSBASI KG,0.0
DANA SOTE KG,0.0
DANA STROGONOF KG,0.0
DANA YEMEKLIK KIYMA KG,0.0
DANET 100 GR KAVURMA,0.0
DANET 200 GR FERMENTE SUCUK,0.0
DANET 300 GR FERMENTE SUCUK KUVET,0.0
DANET 50 GR MACAR SALAM,0.0
DANET 60 GR HINDI FUME,0.0
DANET 60 GR HINDI SALAM,0.0
DANET 70 GR FUME KABURGA,0.0
DANET 70 GR PASTIRMA,0.0
DANET FERMENTE SUCUK KG,0.0
DANETTE 4X100 GR CIKOLATALI,0.0
DANINO 6*40  GR  CILEKLI,0.0
DANINO 6*40 GR BISKUVILI,0.0
DANINO 6*40 GR MUZLU,0.0
DANINO 6*40 GR ORMAN MEYVELI,0.0
DANONE 180 ML 6 LI  AROMALI SUT  KAKAOLU,0.0
DANONE 180 ML DISNEY AROMALI SUT CILEK,0.0
DANONE 180 ML DISNEY AROMALI SUT MUZ,0.0
DANONE 70 GR DISNEY HUPPER CIKOLATALI,0.0
DANONE KREMA 200 ML BTKS.,0.0
DANONE SUT LAKTOZSUZ 1 LT,0.0
DANONE YOGURT ORMAN MEYVELI  400 GR,0.0
DARDANEL EKONOMIK 140 GRX2,0.0
DARDANEL EKONOMIK TON 4*75 GR(HEDIYELI),0.0
DARDANEL TON  2*140 GR,0.0
DARDANEL TON H.YEMEK 4 TAHILLI 160 GR,0.0
DARDANEL TON H.YEMEK MEKSIKA FASULYELI 160G,0.0
DARDANEL TON H.YEMEK MISIRLI 160 GR,0.0
DARDANEL TON Z YAGLI  3*75 GR,0.0
DEL BANVİT NUGET 700 GR,0.0
DEL BANVİT PİLİÇ BATON SALAM 750  GR,0.0
DEL BANVİT PİLİÇ SOSİS 1000 GR,0.0
DEL BANVİT VAKUMLU JUMBO SOSİS 330 GR,0.0
DEL BEBETO WACKY STICKS 75 GR,0.0
DEL COSBY BIGMIX 9  GR,0.0
DEL ETI BROWNI 200 GR,0.0
DEL ETI PAYKEK MEYVELI 200 GR,0.0
DEL ETI PAYKEK MOZAIK 200 GR,0.0
DEL KAHVE DUNYASI 125 GR GOFRIK GOFRET,0.0
DEL KINDER SURPRIZ YUMURTA 20 GR,0.0
DEL KOSKA KAGIT HELVA 45 GR,0.0
DEL KOSKA PEKMEZ 700 GR UZUM BIDON,0.0
DEL NESTLE POLO 34 GR,0.0
DEL NUTELLA 1000 GR,0.0
DEL PAKKÖY GEZEN TAVUK YUMURTASI 30 LU,0.0
DEL ROCHER T3 38 GR,0.0
DEL SARELLE 350 GR FINDIK EZMESI BITTER,0.0
DEL SEYIDOGLU HELVA BLOK FISTIKLI KG,0.0
DEL SEYIDOGLU RECEL 380 GR KAYISI,0.0
DEL SEYIDOGLU RECEL 380 GR KURU INCIR,0.0
DEL TAMEK RECEL 380 GR AHUDUDU,0.0
DEL TAMEK RECEL 380 GR PORTAKAL,0.0
DEL TEKSUT TAZE KASAR PEYNIRI 600 GR,0.0
DEL ULKER 20 GR YUPO COKOJELO BOGURTLEN,0.0
DEL ULKER YUPO 20 GR COKOJELO PORTAKAL,0.0
DEL.ACTIVEX SIVI SABUN 700ML NEMLENDIRICI,0.0
DEL.AKMAN KEKIK 85 GR,0.0
DEL.ARIEL MATIK 7.5 KG DAG ESINTISI RENKLILER,0.0
DEL.ARKO KREM D.YAGLAR 250 ML AVOKADO,0.0
DEL.ARKO NEM KREM PREBIYOTIK 250 ML BADEM SUTU,0.0
DEL.ARKO NEM KREM PREBIYOTIK 250 ML YULAF,0.0
"DEL.ASPEROX YUZEY TEM. 2,5 LT PEMBE",0.0
DEL.ASPEROX YUZEY TEMIZLEYICI 2.5ML MOR,0.0
DEL.ATESOGLU AYRAN NATUREL SISE 1500 ML,0.0
DEL.ATESOGLU YOGURT 2000 GR Y.YAGLI NATUREL,0.0
DEL.AYNES BEYAZ PEYNYR 900 GR,0.0
DEL.BABY TURCO ISLAK HAVLU 90'LI,0.0
DEL.BAGDAT PASTA SÜSÜ K.QUADRO 50 GR,0.0
DEL.BINGO MATIK 4 KG RENKLI BEYAZ,0.0
DEL.BINGO MATIK 4 KG ULTRA BEYAZ,0.0
DEL.BIOBLAS 1000 ML KERATIN SAMPUAN,0.0
DEL.BIOBLAS 1000 ML SARIMSAK SAMPUAN,0.0
DEL.BUNSA MISIR UNU 400 GR PAKET,0.0
DEL.CAMSAKIZI 240 GR AGDA,0.0
DEL.CIF SPREY HERYER SILIKONLU 1000 ML,0.0
DEL.COLGATE D.MACUNU 150 ML 2 LI UCLU ETKI,0.0
DEL.COLGATE D.MACUNU 75ML OPTIK ANINDA BEYAZLIK,0.0
DEL.COLGATE DIS MACUNU 75 ML BARBIE+FIRÇA,0.0
DEL.COOK STREÇ FİLM 100 MT  BIÇAK HEDİYELİ,0.0
DEL.DALIN SAMP. 700 ML,0.0
DEL.DIFAS DIS FIRCASI YUMUSAK SOFT BLACK,0.0
DEL.DOVE 500 ML SIVI SABUN FRESH TOUCH X,0.0
DEL.DOVE 500 ML SIVI SABUN ORIJINAL,0.0
DEL.DOVE DEO 150 ML EVENTONE WOMEN,0.0
DEL.DOVE SAMPUAN 600 ML YOGUN ONARICI,0.0
DEL.DR.OETKER GLUTENSIZ KAK.PUDING 147 GR,0.0
DEL.DR.OETKER SAKIZLI MUHALLEBİ 450 GR 2+1,0.0
DEL.ERIS UN 2 KG,0.0
DEL.EST DOGAL DIS MACUNU 60 ML KARADUT OZLU,0.0
DEL.EST DOGAL DIS MACUNU 75 ML KARANFIL OZLU,0.0
DEL.EST GUL SUYU 350 ML,0.0
DEL.ETI BROWNI INTENSE 150 GR 3'LU PAKET,0.0
DEL.EVONY MESANE PEDI 10 LU  YOGUN,0.0
DEL.FEBREZE AEROSOL 300 ML DAG ESINTISI,0.0
