ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%100 250ML BALTALI KEFIR KEÇI SÜTÜNDEN,0.0,-4.440892098500626e-14,6.661338147750939e-14
%100 250ML BEBEK DOĞAL KÖPÜK SIVENO ŞAMPUANI,1.75,37.105207195183645,-25.78790313655451
%100 250ML CAM CAPPY ELMA,1.51,4.440892098500626e-14,1.5112262521588482
%100 250ML CAM CAPPY PORTAKAL,1.67,6.661338147750939e-14,1.6739736946990158
%100 250ML CAM DOĞANAY EKŞISI NAR,0.0,0.0,0.0
%100 250ML CAM EKŞISI KÜHNE NAR,33.33,33.32945013979503,0.0
%100 250ML CAM LIMONATA NAREN SIKMA ŞIŞE,0.0,0.0,0.0
%100 250ML CAM NAR NAREN SIKMA SUYU ŞIŞE,9.53,13.00383877159308,-3.076923076923088
%100 250ML CAM NAREN PORTAKAL SIKMA SUYU ŞIŞE,5.8,9.445799930289311,-3.3333333333333437
%100 250ML CAN ELMA KARIŞIK NAR NAREN PORTAKAL SIKMA ŞIŞE,-0.0,4.440892098500626e-14,-6.661338147750939e-14
%100 250ML CARREFOUR EKŞISI NAR,0.0,0.0,0.0
%100 250ML DOĞAL NAR NAREN SUYU,0.0,0.0,0.0
%100 250ML EKŞISI KÜHNE NAR,13.54,24.117131826888993,-8.520256828394501
%100 250ML EKŞISI NAR TARIŞ,0.0,0.0,0.0
%100 250ML EKŞISI NAR YAKAMOZ,0.0,0.0,0.0
%100 250ML EKŞİSİ KÜHNE NAR,0.0,0.0,0.0
%100 250ML ELMA KARADUT NAR NAREN SIKMA SUYU VIŞNE,0.0,0.0,0.0
%100 250ML ELMA KUZEYDEN SIKMA SUYU YEŞIL,0.0,0.0,0.0
%100 250ML ELMA NAR NAREN PORTAKAL SUYU,0.0,0.0,0.0
%100 250ML KUZEYDEN NAR SIKMA SUYU,0.0,0.0,0.0
%100 250ML KUZEYDEN PORTAKAL SIKMA SUYU,0.0,0.0,0.0
%100 250ML KUZEYDEN SIKMA SUYU ÜZÜM,0.0,0.0,0.0
%100 250ML NAREN PORTAKAL SIKMA SUYU,0.0,0.0,0.0
%100 300G EZMESI FELLAS FISTIK,-9.16,-0.7061252834641873,-8.51324265262493
%100 300G EZMESI FISTIK SADE WEFOOD,38.01,20.719081654754156,14.324673460599978
%100 300GR EZMESI FISTIK GIRESUN TARIM ŞEKERSIZ,0.0,0.0,0.0
%100 300GR EZMESI FISTIK SADE WEFOOD,0.0,0.0,0.0
%100 300ML DOĞAL SABUNU SIVENO VÜCUT,0.0,2.220446049250313e-14,0.0
%100 315G EZMESI FISTIK YER ZÜBER,0.0,0.0,0.0
%100 315G EZMESI FISTIK ZÜBER,-9.55,-14.0895332839454,5.287281777362707
%100 315G EZMESI FISTIĞI FROPIE YER,0.0,-9.499952367343045,10.497179411334345
%100 330G EKŞISI FERSAN NAR,53.64,25.675278903993394,22.25340993816065
%100 340G CRUNCH EZMESI FISTIK GOLD,-4.2,-4.199749478079317,0.0
%100 340GR EKŞISI NAR SOSI,-0.0,-1.1102230246251565e-14,0.0
%100 350G DOLU DOLU EKŞISI HÜNNAP NAR ORGANIK,0.0,-5.551115123125783e-14,8.881784197001252e-14
%100 360G CARREFOUR EZMESI FISTIK İLAVESIZ ŞEKER,0.0,4.440892098500626e-14,-4.440892098500626e-14
%100 450G BUĞDAY BUĞDAYLI EKMEĞI KAVILCA TAM TAVA UNO,19.87,0.0,19.86666666666672
%100 450G BUĞDAY EKMEĞI EKŞI MAYALI TAM UNO,5.76,0.0,5.764705882352983
%100 450G BUĞDAY EKMEĞI TAM TAVA UNO,0.0,0.0,0.0
%100 450GR BUĞDAY EKMEĞI TAM TAVA UNO,11.99,11.989459815546756,0.0
%100 450GR BUĞDAY EKŞI MAYALI TAM UNO,0.0,0.0,0.0
%100 50+ 50ML BEBEKLER DOĞAL GÜNEŞ IÇIN KREMI SIVENO SPF,4.81,0.0,4.808293344360326
%100 500ML DOĞANAY LIMON SUYU,18.45,8.925156190233373,8.740099106480926
%100 500ML DOĞANAY LİMON SUYU,0.0,0.0,0.0
