Price,Location,Rooms
110.000 TL,Döşemealtı/Merkez,5+1
10.000 TL,Kaş/Köyler,2+1
5.000 TL,Alanya,4+1
70.000 TL,Kaş,2+1
60.000 TL,Muratpaşa/Lara,6+1
75.000 TL,Aksu/Köyler,6+2
100.000 TL,Serik/Belek,6+1
150.000 TL,Alanya,5+1
60.000 TL,Manavgat/Ilıca,5+1
50.000 TL,Konyaaltı/Köyler,4+1
85.000 TL,Serik,8+1
180.000 TL,Döşemealtı/Düzlerçamı,5+1
180.000 TL,Konyaaltı/Arapsuyu,5+1
165.000 TL,Kemer,4+1
50.000 TL,Serik,4+1
10.000 TL,Kaş,3+1
100.000 TL,Alanya,4+1
80.000 TL,Konyaaltı/Köyler,3+1
50.000 TL,Manavgat/Ilıca,4.5+1
75.000 TL,Serik,4+1
10.000 TL,Serik,3+1
35.000 TL,Manavgat/Köyler,2+1
45.000 TL,Manavgat/Köyler,4+3
8.000 TL,Kaş/Köyler,2+1
70.000 TL,Döşemealtı/Yeşilbayır,3+1
95.000 TL,Serik,6+1
70.000 TL,Aksu,3+1
9.000 TL,Kaş/Kalkan,3+1
40.000 TL,Kaş/Kalkan,1+1
77.000 TL,Kaş/Kalkan,3+1
11.000 TL,Kaş/Kalkan,4+1
270.000 TL,Muratpaşa/Lara,4+1
95.000 TL,Döşemealtı/Merkez,4+1
60.000 TL,Serik,4+1
8.000 TL,Kemer,4+1
75.000 TL,Serik/Belek,3+1
45.000 TL,Kumluca/Mavikent,6+1
9.000 TL,Kaş/Köyler,2+1
100.000 TL,Döşemealtı/Yeşilbayır,5+1
10.000 TL,Kaş/Köyler,3+1
5.000 TL,Kaş/Kalkan,1+1
5.000 TL,Kaş/Kalkan,1+1
5.000 TL,Kaş/Kalkan,2+1
5.000 TL,Kaş/Kalkan,2+1
140.000 TL,Alanya,6+1
31.500 TL,Aksu/Köyler,3+1
70.000 TL,Döşemealtı/Merkez,5+1
160.000 TL,Serik/Belek,10 Üzeri
34.000 TL,Kaş/Kalkan,5+2
45.000 TL,Alanya,2+1
52.000 TL,Konyaaltı/Arapsuyu,3+1
100.000 TL,Kaş/Kalkan,3+1
85.000 TL,Manavgat,3+1
5.000 TL,Demre/Köyler,1+1
25.000 TL,Serik,3+1
8.000 TL,Kaş/Kalkan,2+1
55.000 TL,Alanya,2+1
65.000 TL,Alanya,3+1
5.000 TL,Kaş/Kalkan,2+1
7.000 TL,Kaş/Kalkan,1+1
68.000 TL,Kaş/Kalkan,2+1
85.000 TL,Kaş/Kalkan,4+1
140.000 TL,Kemer,4+1
9.000 TL,Kaş/Kalkan,2+1
50.000 TL,Kumluca/Beykonak,4+1
110.000 TL,Serik/Belek,4+2
82.000 TL,Aksu,5+1
30.000 TL,Aksu/Köyler,2+1
125.000 TL,Döşemealtı/Merkez,5+1
55.000 TL,Kepez/Köyler,3+1
120.000 TL,Kumluca/Mavikent,5+1
135.000 TL,Muratpaşa/Gençlik,2+1
15.000 TL,Serik,5+1
140.000 TL,Alanya,4+1
7.000 TL,Kaş/Kalkan,2+1
180.000 TL,Muratpaşa/Lara,5+1
14.000 TL,Kaş/Köyler,3+1
15.000 TL,Serik,5+1
70.000 TL,Alanya/Köyler,3+1
7.000 TL,SerikBelek,5+1
64.000 TL,Kaş/Kalkan,2+1
150.000 TL,Kemer/Göynük,7+2
140.000 TL,Kaş/Kalkan,3+1
55.000 TL,Serik/Belek,6+1
180.000 TL,Konyaaltı/Arapsuyu,5+1
95.000 TL,Manavgat/Ilıca,5+1
100.000 TL,Serik/Belek,5+1
48.000 TL,Döşemealtı/Merkez,3+1
24.000 TL,Manavgat/Köyler,2+1
75.000 TL,Serik/Belek,3.5+1
60.000 TL,Manavgat,2+0
18.000 TL,Kaş/Kalkan,4+1
48.000 TL,Döşemealtı/Düzlerçamı,2+1
5.000 TL,Kaş/Köyler,2+1
85.000 TL,Serik,4+1
80.000 TL,Aksu,7+1
25.000 TL,Korkuteli,2+1
150.000 TL,Döşemealtı/Yeşilbayır,6+1
112.500 TL,Kaş/Kalkan,3+1
95.000 TL,Kaş/Kalkan,2+1
35.000 TL,Alanya,2+1
65.000 TL,Serik,4+1
95.000 TL,Muratpaşa/Lara,5+1
50.000 TL,Alanya,2+1
50.000 TL,Serik/Belek,3+1
90.000 TL,Döşemealtı/Yeşilbayır,3+1
60.000 TL,Serik,5+1
65.000 TL,Manavgat/Ilıca,6+1
155.000 TL,Aksu/Köyler,6+2
85.000 TL,Serik,3+1
55.000 TL,Konyaaltı/Merkez,2+1
42.000 TL,Kumluca/Mavikent,6+1
21.000 TL,Kaş/Kalkan,6+1
85.000 TL,Döşemealtı/Yeniköy,4+1
8.000 TL,Kaş/Kalkan,2+1
120.000 TL,Manavgat,4+2
105.000 TL,Döşemealtı/Yeşilbayır,4+1
7.000 TL,Kaş/Kalkan,2+1
5.000 TL,Kaş/Köyler,2+1
97.000 TL,Konyaaltı/Arapsuyu,3+2
90.000 TL,Konyaaltı/Arapsuyu,6+1
40.000 TL,Alanya/İncekum (Yeşilköy),3+1
125.000 TL,Aksu,4+1
37.500 TL,Manavgat/Köyler,3+1
60.000 TL,Serik,3+1
6.000 TL,Kaş/Kalkan,2+1
10.000 TL,Manavgat/Köyler,6+1
65.000 TL,Alanya,3+1
170.000 TL,Kemer,3+1
55.000 TL,Aksu,4+1
6.000 TL,Serik,3+1
113.000 TL,Kaş/Kalkan,3+1
8.000 TL,Kaş/Kalkan,2+1
65.000 TL,Kaş/Köyler,3+1
12.000 TL,Kaş/Köyler,2+1
10.000 TL,Serik,4+1
40.000 TL,Serik,3+1
60.000 TL,Manavgat,4.5+1
85.000 TL,Serik,4+1
55.000 TL,Alanya,3+1
7.000 TL,Kaş/Kalkan,2+1
8.000 TL,Kaş/Kalkan,2+1
40.000 TL,Serik,3+1
10.500 TL,Kaş/Kalkan,4+1
18.000 TL,Alanya/İncekum (Yeşilköy),4+1
95.000 TL,Döşemealtı/Düzlerçamı,5+1
8.000 TL,Kaş/Kalkan,4+1
7.000 TL,Kaş/Kalkan,2+1
35.000 TL,Serik/Belek,3+1
5.000 TL,Kaş/Kalkan,2+1
60.000 TL,Döşemealtı/Merkez,5+2
30.000 TL,Serik,2+1
15.000 TL,Kaş/Kalkan,3+1
75.000 TL,Serik/Belek,3+1
80.000 TL,Kemer/Göynük,4+1
10.000 TL,Kaş/Kalkan,2+1
150.000 TL,Konyaaltı/Arapsuyu,6+1
115.000 TL,Döşemealtı/Merkez,4+1
80.000 TL,Serik,3+1
80.000 TL,Kaş,4+1
85.000 TL,Serik,5+1
40.000 TL,Kaş/Kalkan,2+1
40.000 TL,Kepez/Köyler,2+1
7.000 TL,Kaş/Kalkan,2+1
8.000 TL,Kaş/Kalkan,2+1
98.000 TL,Kaş,4+1
70.000 TL,Kaş,4+1
105.000 TL,Kaş/Köyler,5+4
98.000 TL,Kaş,4+1
98.000 TL,Kaş,5+1
25.000 TL,Manavgat/Taşağıl,3+1
65.000 TL,Muratpaşa/Lara,4+1
120.000 TL,Manavgat/Ilıca,5+1
75.000 TL,Serik,3+1
5.000 TL,Kaş/Kalkan,3+1
75.000 TL,Döşemealtı/Merkez,5+1
80.000 TL,Alanya/İncekum (Yeşilköy),4+1
95.000 TL,Konyaaltı/Arapsuyu,6+1
60.000 TL,Serik,7+1
8.000 TL,Kaş/Kalkan,2+1
40.000 TL,Kemer/Köyler,2+1
70.000 TL,Kemer/Tekirova,3+1
750.000 TL,Serik/Belek,4+1
75.000 TL,Döşemealtı/Yeşilbayır,3+1
80.000 TL,Döşemealtı/Merkez,4+1
75.000 TL,Serik,4+1
55.000 TL,Serik,2+1
45.000 TL,Serik,2+1
180.000 TL,Muratpaşa/Lara,4+1
10.000 TL,Demre/Kale(Demre),3+1
50.000 TL,Alanya,4+1
100.000 TL,Kemer,3+1
45.000 TL,Kemer/Köyler,2+1
150.000 TL,Serik,4+1
155.000 TL,Serik/Belek,6+1
7.500 TL,Kaş/Kalkan,3+1
40.000 TL,Aksu/Pınarlı,6+1
85.000 TL,Muratpaşa/Lara,5+1
125.000 TL,Kaş/Kalkan,4+1
6.500 TL,Kaş/Köyler,2+1
70.000 TL,Serik/Belek,4+1
75.000 TL,Serik/Belek,3+1
6.250 TL,Kaş/Kalkan,3+1
65.000 TL,Serik,5+1
120.000 TL,Döşemealtı/Yeşilbayır,4+1
5.900 TL,Kaş/Kalkan,2+1
135.000 TL,Döşemealtı/Düzlerçamı,4+1
120.000 TL,Serik,5+1
200.000 TL,Kemer,6+1
45.000 TL,Kemer/Göynük,4+1
55.000 TL,Aksu,4+1
75.000 TL,Serik,4+1
35.750 TL,Serik,3+1
9.000 TL,Alanya,2+1
11.000 TL,Alanya,3+1
70.000 TL,Kaş/Kalkan,1+1
70.000 TL,Döşemealtı/Yeşilbayır,3+1
220.000 TL,Muratpaşa/Lara,4+1
7.500 TL,Serik/Belek,3+1
390.000 TL,Kaş/Kalkan,5+1
198.000 TL,Kaş/Kalkan,4+1
175.000 TL,Muratpaşa/Lara,5+1
55.000 TL,Aksu/Köyler,4+1
5.000 TL,Kaş/Kalkan,1+1
80.000 TL,Konyaaltı/Arapsuyu,5+1
160.000 TL,Muratpaşa/Lara,5+1
5.000 TL,Kaş/Kalkan,3+1
5.000 TL,Kaş/Kalkan,2+1
80.000 TL,Döşemealtı/Yeşilbayır,3+1
8.000 TL,Serik/Belek,2.5+1
100.000 TL,Demre/Kale(Demre),5+2
130.000 TL,Muratpaşa/Lara,4+1
138.000 TL,Serik,4+1
7.145 TL,Kaş/Kalkan,2+1
130.000 TL,Döşemealtı/Merkez,5+1
85.000 TL,Alanya,3+1
130.000 TL,Döşemealtı/Merkez,4+1
60.000 TL,Kaş/Köyler,3+1
15.000 TL,Serik,4+1
65.000 TL,Serik,4+1
50.000 TL,Alanya,3+1
165.000 TL,Kaş/Kalkan,3+1
125.000 TL,Kemer,3+1
65.000 TL,DöşemealtıYeşilbayır,4+1
65.000 TL,Aksu,3+1
11.000 TL,Kaş/Köyler,2+1
48.000 TL,Serik,3+1
5.000 TL,Kaş/Kalkan,2+1
390.000 TL,Kaş/Kalkan,5+1
150.000 TL,Konyaaltı/Arapsuyu,4+1
75.000 TL,Kepez/Duraliler,3+1
40.000 TL,Alanya/Beldeler,4+1
115.000 TL,Muratpaşa/Lara,5+1
75.000 TL,Döşemealtı/Yeşilbayır,4+1
40.000 TL,Muratpaşa/Lara,2+1
50.000 TL,Serik,4+1
75.000 TL,Döşemealtı/Merkez,4+1
57.000 TL,Muratpaşa/Lara,6+1
23.750 TL,Kaş/Köyler,2+1
170.000 TL,DöşemealtıYeşilbayır,1+1
100.000 TL,Kemer,5+1
125.000 TL,Kemer/Göynük,3+1
100.000 TL,Kemer,3.5+1
9.000 TL,Kemer,3+1
130.000 TL,Döşemealtı/Yeşilbayır,4+1
145.000 TL,Muratpaşa/Lara,4+2
5.000 TL,Kaş/Kalkan,2+1
175.000 TL,Muratpaşa/Lara,3+2
170.000 TL,Döşemealtı/Yeşilbayır,7+1
150.000 TL,Konyaaltı/Arapsuyu,5+1
110.000 TL,Konyaaltı/Arapsuyu,5+1
20.000 TL,Demre/Kale(Demre),3+0
6.430 TL,Kaş/Kalkan,1+1
6.000 TL,Kaş/Kalkan,2+1
84.000 TL,Alanya,3+1
6.000 TL,Kaş/Kalkan,2+1
48.000 TL,Manavgat,4+1
60.000 TL,Aksu,6+1
130.000 TL,Döşemealtı/Merkez,5+1
175.000 TL,Muratpaşa/Lara,5+1
35.000 TL,Alanya/Beldeler,2+1
30.000 TL,Serik,3+1
23.000 TL,Aksu/Köyler,2+1
50.000 TL,Serik,4+1
45.000 TL,Kaş/Kalkan,2+1
55.000 TL,Aksu/Çalkaya,3+1
75.000 TL,Döşemealtı/Yeşilbayır,4+1
100.000 TL,Kepez/Köyler,4+1
120.000 TL,Muratpaşa/Lara,3+1
140.000 TL,Konyaaltı/Arapsuyu,7+1
6.000 TL,Kaş/Kalkan,3+1
70.000 TL,Serik/Belek,4+1
80.000 TL,Döşemealtı/Yeşilbayır,3+1
15.000 TL,Serik/Belek,5+1
50.000 TL,Serik,4+1
180.000 TL,Döşemealtı/Merkez,6+1
75.000 TL,Döşemealtı/Yeşilbayır,4+1
37.500 TL,Gazipaşa,3+1
55.000 TL,Muratpaşa/Lara,3+1
8.575 TL,Kaş/Kalkan,1+1
95.000 TL,Döşemealtı/Düzlerçamı,5+1
8.000 TL,Kaş/Kalkan,1+1
110.000 TL,Kepez/Köyler,4+1
70.000 TL,Döşemealtı/Yeşilbayır,3+1
115.000 TL,Aksu,4+1
7.000 TL,Kaş/Kalkan,1+1
5.000 TL,Kaş/Kalkan,1+1
8.000 TL,Kaş,4+1
8.000 TL,Kaş/Köyler,3+1
90.000 TL,Serik,4+1
60.000 TL,Kaş/Kalkan,3+1
72.000 TL,Döşemealtı/Yeşilbayır,4+1
52.000 TL,Alanya,4+1
90.000 TL,Konyaaltı/Arapsuyu,5+2
8.000 TL,Kaş/Kalkan,3+1
7.000 TL,Kaş/Kalkan,3+1
150.000 TL,Döşemealtı/Merkez,6+3
7.000 TL,Kaş,2+1
55.000 TL,Alanya,2+1
50.000 TL,Aksu,6+1
60.000 TL,Döşemealtı/Merkez,3+1
75.000 TL,Serik/Belek,4+1
50.000 TL,Aksu,3+1
5.000 TL,Kaş/Kalkan,2+1
5.000 TL,Kaş/Kalkan,2+1
27.000 TL,Kaş/Kalkan,4+1
55.000 TL,Serik,3+1
52.500 TL,Alanya/Beldeler,4+1
110.000 TL,Kepez/Köyler,4+1
130.000 TL,Konyaaltı/Köyler,4+3
8.500 TL,Kaş/Kalkan,3+1
120.000 TL,Döşemealtı/Yeşilbayır,4+1
85.000 TL,Döşemealtı/Düzlerçamı,3+1
5.000 TL,Kaş/Kalkan,3+1
90.000 TL,Serik,3+1
20.000 TL,Kaş/Kalkan,4+1
11.000 TL,Alanya/İncekum (Yeşilköy),4+1
180.000 TL,Döşemealtı/Yeşilbayır,4+1
445.000 TL,Kemer/Göynük,3+1
35.000 TL,Serik,3+1
85.000 TL,Alanya/Köyler,4+1
5.175 TL,Kaş/Kalkan,2+1
24.250 TL,Serik,2+1
85.000 TL,Muratpaşa/Lara,6+1
50.000 TL,Döşemealtı/Merkez,2+1
85.000 TL,Serik,4+1
50.000 TL,Serik/Belek,3+1
58.000 TL,Muratpaşa/Lara,5+2
8.500 TL,Kaş/Kalkan,2+1
11.500 TL,Kaş/Kalkan,Stüdyo (1+0)
12.500 TL,Kaş/Kalkan,2+1
8.500 TL,Kaş/Kalkan,3+1
25.000 TL,Demre/Kale(Demre),3+1
6.000 TL,Kaş/Kalkan,2+1
23.000 TL,Kaş/Kalkan,3+1
12.500 TL,Kaş/Kalkan,2+1
16.500 TL,Kaş/Kalkan,3+1
55.000 TL,Kaş/Kalkan,4+1
40.000 TL,Kaş/Kalkan,4+1
100.000 TL,Muratpaşa/Lara,5+1
110.000 TL,Serik/Belek,4+1
130.000 TL,Serik,4+1
60.000 TL,Serik/Belek,4+1
55.000 TL,Serik/Belek,3+1
115.000 TL,Serik/Belek,3+1
250.000 TL,Döşemealtı/Yeşilbayır,6+1
240.000 TL,Döşemealtı/Yeşilbayır,6+1
230.000 TL,Döşemealtı/Yeşilbayır,8+2
180.000 TL,Döşemealtı/Yeşilbayır,6+1
10.000 TL,Kaş/Kalkan,3+1
110.000 TL,Döşemealtı/Düzlerçamı,6+1
