Product Name,Product Cost,Rooms
Merkez / İnönü,18500.0,2+0
Merkez / Bahçelievler,15500.0,3+1
Merkez / Kavakyolu,18000.0,3+1
Merkez / İnönü,15000.0,2+0
Merkez / İnönü,16000.0,2+1
Merkez / Akşemsettin,12500.0,2+1
Merkez / İnönü,13500.0,2+1
Merkez / Kavakyolu,12500.0,2+1
Merkez / Yalnızbağ,11500.0,1+1
Merkez,11500.0,2+1
Merkez / Kavakyolu,15500.0,2+0
Merkez / Kavakyolu,13250.0,1+1
Merkez / Kavakyolu,14750.0,2+0
Merkez / Başbağlar,13500.0,3+1
Merkez / İnönü,15000.0,3+1
Merkez / Başbağlar,14000.0,1+1
Merkez / Bahçelievler,11000.0,4+1
Merkez / İnönü,13000.0,3+1
Merkez / Çarşı,17000.0,1+1
Merkez / Akşemsettin,18000.0,2+1
Merkez / İnönü,17000.0,3+1
Merkez / Bahçelievler,17500.0,3+1
Merkez / Yalnızbağ,17000.0,1+1
Merkez / Bahçelievler,12000.0,2+1
Merkez / Çarşı,19000.0,3+1
Merkez / Yalnızbağ,16000.0,3+1
Merkez / İnönü,16500.0,2+0
Merkez,10000.0,2+1
Merkez,11000.0,2+1
Merkez / İnönü,10000.0,3+1
Merkez / Çarşı,14500.0,2+0
Merkez / İnönü,19000.0,3+1
Merkez / Başbağlar,16000.0,2+0
Merkez / Geçit,18000.0,3+1
Merkez / İnönü,15500.0,2+1
Merkez / Başbağlar,10000.0,1+1
Merkez / Demirkent,13000.0,3+1
Merkez / Akşemsettin,15000.0,3+1
Merkez,13000.0,2+1
Merkez / Halitpaşa,18500.0,2+1
Merkez / Başbağlar,12000.0,1+1
Merkez / Başbağlar,15000.0,2+1
Merkez / İnönü,17500.0,1+1
Merkez / İnönü,14500.0,2+1
Merkez / Çarşı,19500.0,2+1
Merkez,12500.0,2+1
Merkez / Bahçelievler,15000.0,2+1
Merkez,10000.0,2+1
Merkez / Başbağlar,11000.0,3+1
Merkez / İnönü,12500.0,3+1
Merkez,12500.0,2+1
Merkez / Başbağlar,15000.0,1+1
Merkez,13000.0,2+1
Üzümlü,10500.0,2+1
Merkez / Başbağlar,19750.0,2+1
Merkez / Başbağlar,16000.0,2+0
Merkez / Bahçelievler,19000.0,3+1
Merkez / Kavakyolu,15500.0,2+1
Tercan,17000.0,2+1
Merkez / İnönü,13500.0,2+1
Merkez / Başbağlar,14000.0,1+1
Merkez / Demirkent,16500.0,2+1
Merkez / Çarşı,16000.0,2+0
Merkez / Akşemsettin,17500.0,3+1
Merkez / Ulalar,15000.0,3+1
Merkez / Başbağlar,12000.0,1+1
Merkez / İnönü,16250.0,2+1
Merkez / Çarşı,14000.0,1+1
Merkez / Çarşı,17500.0,3+1
Merkez / Akşemsettin,14000.0,2+1
Merkez / Çarşı,12000.0,1+1
Merkez / Yalnızbağ,15500.0,3+1
Merkez / Başbağlar,16500.0,1+1
Merkez / Başbağlar,14000.0,1+1
Merkez / Başbağlar,19500.0,4+1
Merkez / Çarşı,17500.0,1+1
Merkez / Yalnızbağ,19000.0,3+1
Merkez / Kavakyolu,13000.0,2+0
Merkez / Çarşı,19000.0,1+1
Merkez / Akşemsettin,14000.0,3+1
Merkez / Başbağlar,19000.0,3+1
Merkez,10000.0,2+1
Merkez / Başbağlar,11500.0,3+1
Merkez / Yalnızbağ,19250.0,3+1
Merkez / Çarşı,15500.0,1+1
Merkez / Başbağlar,16000.0,1+1
Merkez / Kavakyolu,16000.0,3+1
Merkez / Demirkent,15750.0,2+1
Merkez / Başbağlar,19500.0,1+1
Merkez / Halitpaşa,18000.0,3+1
Merkez / Yalnızbağ,19250.0,2+1
Merkez,19000.0,2+1
Merkez / Yalnızbağ,14750.0,3+1
Merkez / Akşemsettin,18500.0,2+1
Merkez / İnönü,13000.0,2+1
Merkez / Çarşı,18500.0,1+1
Merkez / Çarşı,16000.0,1+1
Merkez / Çarşı,15500.0,1+1
Merkez / Yalnızbağ,16000.0,3+1
Merkez / Çarşı,17000.0,1+1
Merkez / Çarşı,17500.0,1+1
Merkez / Başbağlar,14000.0,1+1
Merkez / Bahçelievler,10500.0,2+1
Merkez / Başbağlar,18000.0,1+1
Merkez / Başbağlar,15000.0,3+1
Merkez / Başbağlar,15500.0,1+1
Merkez / Çarşı,19000.0,1+1
Merkez / Başbağlar,12000.0,1+1
Merkez / Başbağlar,18000.0,2+1
Merkez,15000.0,3+1
Merkez / Çarşı,17500.0,1+1
Merkez / Başbağlar,17000.0,2+1
Merkez / Kavakyolu,15000.0,2+1
Merkez / Kavakyolu,18000.0,2+1
Merkez / İnönü,18000.0,3+1
Merkez / Çarşı,16500.0,3+1
Merkez / Bahçelievler,15000.0,2+1
Merkez / Yalnızbağ,10000.0,2+1
Merkez / Başbağlar,17500.0,1+1
Merkez / İnönü,17000.0,2+0
Merkez / Çarşı,14500.0,1+1
Merkez / Başbağlar,12500.0,1.5+1
Merkez / Ulalar,18000.0,3+1
Merkez / Yalnızbağ,16000.0,3+1
Merkez / Kavakyolu,17500.0,2+1
Merkez / Başbağlar,10500.0,1+1
Merkez / Kavakyolu,17500.0,2+0
Merkez / İnönü,15500.0,2+1
Merkez / Ulalar,15500.0,3+1
Merkez / Yalnızbağ,19000.0,2+1
Merkez / İnönü,18000.0,1+1
Merkez / Başbağlar,14500.0,1+1
Merkez / Yalnızbağ,14500.0,1+1
Merkez,19000.0,2+1
Merkez / Kavakyolu,13250.0,1+1
Merkez / Kavakyolu,17700.0,3+1
Merkez / Geçit,12000.0,2+1
Merkez / Bahçelievler,12500.0,2+1
Merkez / Kavakyolu,16750.0,2+1
Merkez / Halitpaşa,15000.0,2+0
Merkez / İnönü,12500.0,2.5+1
Merkez / Kavakyolu,17500.0,2+1
Merkez / Akşemsettin,13000.0,3+1
Merkez / Halitpaşa,18000.0,2+1
Merkez / Başbağlar,16500.0,2+0
Merkez / Başbağlar,15500.0,2+1
Merkez / Bahçelievler,10000.0,1+1
Merkez / İnönü,10250.0,3+1
Merkez / İnönü,12250.0,2+1
Merkez / Demirkent,15000.0,3+1
Merkez / Başbağlar,14500.0,2+0
Merkez / Başbağlar,17000.0,1+1
Merkez / Başbağlar,17000.0,3+1
Merkez / Çarşı,12000.0,1+1
Merkez / İnönü,18000.0,2+0
Merkez / Çarşı,18000.0,2+0
Merkez / İnönü,16500.0,1+1
Merkez / İnönü,13500.0,2+1
Merkez / İnönü,16000.0,1+1
Merkez,15500.0,2+1
Merkez / Çarşı,20500.0,2+1
Merkez / Akşemsettin,23000.0,3+1
Merkez / Çarşı,25500.0,2+1
Merkez / Başbağlar,31500.0,2+1
Merkez / İnönü,22000.0,3+1
Merkez / Çarşı,20250.0,1+1
Merkez / İnönü,21500.0,3+1
Merkez / Çarşı,22500.0,2+0
Merkez / İnönü,23000.0,3+1
Merkez / İnönü,22000.0,3+1
Merkez / Çarşı,21500.0,2+1
Merkez / Demirkent,25000.0,3+1
Merkez / Başbağlar,26000.0,3+1
Merkez / Bahçelievler,24000.0,2+1
Merkez / Çarşı,25000.0,2+0
Merkez / Akşemsettin,21000.0,2+1
Merkez / Bahçelievler,20500.0,3+1
Merkez / İnönü,25500.0,1+1
Merkez / Çarşı,20250.0,1+1
Merkez / İnönü,23500.0,2+1
Merkez / Başbağlar,23000.0,3+1
Merkez / Başbağlar,22000.0,1+1
Merkez / Yalnızbağ,22000.0,3+1
Merkez / Çarşı,31000.0,1+1
Merkez / İzzetpaşa,22750.0,1+1
Merkez / Başbağlar,20000.0,2+1
Merkez / Çarşı,20500.0,2+0
Merkez / Başbağlar,23500.0,3+1
Merkez / İnönü,26000.0,4+1
Merkez / Başbağlar,25000.0,4+1
Merkez / Çarşı,20000.0,1+1
Merkez / Çarşı,20000.0,2+0
Merkez / İnönü,21000.0,2+1
Merkez / İnönü,20500.0,3+1
Merkez / Bahçelievler,20000.0,5+1
Merkez / Bahçelievler,20000.0,3+1
Merkez / Çarşı,20500.0,2+0
Merkez / İnönü,20000.0,1+1
Merkez / Yalnızbağ,26000.0,3+1
Merkez / İnönü,25000.0,1+1
Merkez / Çarşı,22000.0,2+1
Merkez / Başbağlar,22500.0,2+1
Merkez / Başbağlar,24000.0,2+1
Merkez / İnönü,20000.0,3+1
Merkez / Çarşı,20250.0,2+1
Merkez / Yalnızbağ,20000.0,3+1
Merkez / Çarşı,21000.0,2+1
Merkez / Çarşı,20000.0,1+1
Merkez / Başbağlar,22000.0,2+0
Merkez / İnönü,25000.0,3+1
Merkez / Demirkent,23000.0,3+1
Merkez / Çarşı,25500.0,2+0
Merkez / Yalnızbağ,23000.0,3+1
Merkez / Başbağlar,22500.0,2+1
Merkez / Çarşı,23500.0,2+0
Merkez,30000.0,4+1
Merkez / Çarşı,22000.0,1+1
Merkez / Bahçelievler,20000.0,4+1
Merkez / Başbağlar,21000.0,1+1
Merkez / İnönü,25000.0,3+1
Merkez / İnönü,33500.0,4+2
Merkez / İnönü,22000.0,1+1
Merkez / Halitpaşa,21500.0,2+1
Merkez / Başbağlar,22500.0,3+1
Merkez / Başbağlar,23000.0,3+1
Merkez / Başbağlar,20000.0,3+1
Merkez / Bahçelievler,28000.0,4+1
Merkez / İnönü,22000.0,2+0
Merkez / Başbağlar,20000.0,2+1
Merkez / Yalnızbağ,20500.0,2+1
Merkez / Demirkent,20500.0,3+1
Merkez / Kavakyolu,21000.0,2+1
Merkez / Başbağlar,20000.0,3+1
Merkez / Başbağlar,28000.0,2+1
Merkez / Çarşı,20190.0,1+1
Merkez / Çarşı,20000.0,2+1
Merkez / Halitpaşa,24000.0,2+1
Merkez / Akşemsettin,21000.0,3+1
Merkez / Başbağlar,30000.0,2+1
Merkez / Yalnızbağ,23000.0,3+1
Merkez / Demirkent,20000.0,2+1
Merkez / Başbağlar,24000.0,3+1
Merkez / Başbağlar,21000.0,3+1
Merkez / Bahçelievler,20000.0,5+1
Merkez / İnönü,21000.0,3+1
Merkez / Bahçelievler,25000.0,2+0
Merkez / Yalnızbağ,26000.0,3+1
Merkez / Yalnızbağ,25000.0,3+1
Merkez / Demirkent,24000.0,3.5+1
Merkez / Başbağlar,22000.0,3+1
Merkez / Çarşı,20000.0,2+0
Merkez / Başbağlar,20000.0,3+1
Merkez / Demirkent,33000.0,4+1
Merkez / Demirkent,20000.0,2+1
Merkez / Bahçelievler,25000.0,3+1
Merkez / Başbağlar,20500.0,1+1
Merkez / Başbağlar,20000.0,1+1
Merkez / İnönü,24000.0,3+1
Merkez / Yalnızbağ,20250.0,3+1
Merkez / İnönü,26000.0,3+1
Merkez / Akşemsettin,22500.0,3+1
Merkez / Çarşı,21500.0,1+1
Merkez / Başbağlar,21000.0,3+1
