District,Rooms,Price
Merkez / Sürsürü,4+1,28.500 TL
Merkez / Yurtbaşı,3+1,7.500 TL
Kovancılar,3+1,30.000 TL
Merkez / 1800 Evler,3+1,13.000 TL
Karakoçan,3+1,14.000 TL
Merkez / Nailbey,3+1,9.000 TL
Merkez / Sürsürü,1+1,21.000 TL
Merkez / Sürsürü,2+1,9.500 TL
Merkez / Sürsürü,4+1,22.000 TL
Merkez / 1800 Evler,3+1,14.000 TL
Merkez / İzzetpaşa,5+1,20.000 TL
Merkez,3+1,25.000 TL
Merkez / Sürsürü,4+1,20.000 TL
Merkez,3+1,10.500 TL
Merkez,3+1,9.500 TL
Merkez / 1800 Evler,1+1,27.000 TL
Merkez / Aksaray,3+1,13.500 TL
Merkez / Yurtbaşı,3+1,15.000 TL
Merkez,3+1,9.000 TL
Merkez / Sürsürü,1+1,17.000 TL
Merkez,3+1,8.000 TL
Merkez / Sürsürü,4+1,26.000 TL
Merkez / İzzetpaşa,3+1,15.500 TL
Merkez / Yurtbaşı,3+1,13.000 TL
Merkez / İzzetpaşa,2+1,11.000 TL
Merkez / 1800 Evler,3+1,16.000 TL
Merkez / Sürsürü,1+1,15.000 TL
Merkez / Sürsürü,2+1,23.750 TL
Merkez / İzzetpaşa,1+1,20.000 TL
Merkez / Sürsürü,2+0,16.000 TL
Merkez / Sürsürü,3+1,16.000 TL
Merkez,2+1,11.500 TL
Merkez,3+1,7.900 TL
Merkez / Yurtbaşı,3+1,6.000 TL
Merkez / İzzetpaşa,1+1,22.000 TL
Merkez / İzzetpaşa,4+1,23.000 TL
Merkez / İzzetpaşa,3+1,9.000 TL
Merkez / Nailbey,3+1,10.000 TL
Merkez / 1800 Evler,3+1,12.000 TL
Merkez / 1800 Evler,4+1,33.000 TL
Merkez / İzzetpaşa,2+1,21.500 TL
Merkez / İzzetpaşa,3+1,12.000 TL
Merkez,1+1,20.500 TL
Merkez,3+1,20.000 TL
Merkez / Sürsürü,3+1,30.000 TL
Merkez / İzzetpaşa,3+1,10.000 TL
Merkez / İzzetpaşa,1+1,16.000 TL
Merkez / Sürsürü,2+1,8.000 TL
Merkez / Sürsürü,4+1,33.000 TL
Merkez / 1800 Evler,3+1,14.000 TL
Merkez / Köyler,3+1,10.000 TL
Merkez / Mustafapaşa,3+1,20.000 TL
Merkez / Sürsürü,4+1,25.500 TL
Merkez / Nailbey,3+1,11.000 TL
