Tarih,UrunID,UrunAdi,FiyatFloat
2026-09-06,1908013,S810 Yüksek Titreşimli Çift Başlı Darbeli Kas Gevşetici Vücut Masaj Aleti,2999.0
2026-09-06,1453222,SC 5 EasyFix Iron Plug Buharlı Temizlik Makinesi,27499.0
2026-09-06,1733498,Rhythm Ease Masaj Tabancası,14851.0
2026-09-06,1794661,Beoplay H95 Kestane Kahverengisi Kulak Üstü Bluetooth Kulaklık,64999.0
2026-09-06,1962840,Phantom Ultimate Opéra de Paris Beyaz Kablosuz Bluetooth Hoparlör,169999.0
2026-09-06,1965322,Mini Pembe Saç Kurutma Makinesi,4999.0
2026-09-06,1801052,Beolit 20 Siyah Antrasit Bluetooth Hoparlör,42999.0
2026-09-06,1893114,"Bronx Gümüş Su Isıtıcı Kettle 1,7 Lt",2999.9
2026-09-06,1304639,S1 Circle Bluetooth Hoparlör,22500.0
2026-09-06,1995804,NeckFan Life 5 5000 mah Siyah Boyun Fanı,2899.0
2026-09-06,1971200,Panel ve Mobil Kontrollü Kablosuz Ev üvenlik Sistemi  X7570,11665.55
2026-09-06,1821613,WG42A2X3TR Beyaz 1200 Devir Çamaşır Makinesi 9 kg,44934.67
2026-09-06,2053974,"Green Deri 14"" MacBook Laptop Kılıfı",4250.0
2026-09-06,1971216,Sesli Komut ve Mobil Kontrol i-fi  3 Port USB + 4 Priz Akım Korumalı Çoklu Priz X7087,2777.66
2026-09-06,1821093,Lacivert Mavi Çocuk 2'li Telsiz Seti,1699.0
2026-09-06,2066381,Süt Köpürtme Makinesi,12950.0
2026-09-06,1753977,Mini 3. Jenerasyon Masaj Tabancası,14000.0
2026-09-06,1027210,IE 900 High End Kulak İçi Kulaklık,109999.0
2026-09-06,1827046,UB9540F0 Brush Activ 1000 W Saç Kurutma Fırçası ve Şekillendirici,5299.0
2026-09-06,1729082,"WTR 860 WPM Otomatik Deterjan Dozajlamalı Kurutmalı Çamaşır Makinesi 8,5 kg",213592.0
2026-09-06,1027927,HD 820 High End Kulak Üstü Kulaklık,157999.0
2026-09-06,1257189,SGR820 The Smart Grill™ Izgara ve Tost Makinesi,58999.0
2026-09-06,1818339,SMS26DW00T Serie 2 Beyaz 6 Programlı Bulaşık Makinesi,26999.0
2026-09-06,1831998,Mic 3 1 TX + 1 RX Mikrofon,12499.0
2026-09-06,1147533,Lsx Soundwave by Terence Conran II Bluetooth Hi-Fi Aktif Hoparlör,119999.0
2026-09-06,2053955,Singy Party Pembe Karaoke Bluetooth Hoparlör ,3450.0
2026-09-06,1726405,Galaxy Watch Ultra 47 mm Titanyum Beyaz Akıllı Saat SM-L700NDAATUR,31999.0
2026-09-06,1180252,IE 200 High End Siyah Kulak İçi Kulaklık,12499.0
2026-09-06,1982774,GTX-EXO Black Label Special-Edition Çizim Tıraş Makinesi,16500.0
2026-09-06,2048053,Ampligame H16 7.1 Surround USB/3.5mm RGB Oyuncu Kulaklığı,4999.0
2026-09-06,2099164,4G Desenli Metal Yazı Logolu Tone On Tone Kulak Üstü Bluetooth Kulaklık,3282.9
2026-09-06,1763515,TN9444 Selectium 15 in 1 Islak ve Kuru Çok Amaçlı Tıraş Makinesi,2399.0
2026-09-06,1621137,Willen II 17+ Saat Pil Ömrü IP67 Su/Toza Dayanıklı Bluetooth 5.2 Bluetooth Hoparlör,8223.53
2026-09-06,1914902,"Envelope 13"" Siyah Vegan Deri Unisex MacBook Kılıfı",3900.0
2026-09-06,1934105,"50's Style Retro Krem Isı Ayarlı Kettle 1,7 lt KLF04CREU",19800.0
2026-09-06,1835096,Openfit 2 Plus Dolby Atmos True Wireless Siyah Kulak İçi Twx Bluetooth Kulaklık ,18499.0
2026-09-06,1617201,Momentum 4 Wireless Denim Kulak Üstü Bluetooth Kulaklık,26999.0
2026-09-06,1960545,HD7360/00 5000 Serisi Aile Boyu Çay Makinesi,4999.0
2026-09-06,1684894,Soundcore Motion X600 Mavi Kablosuz Hoparlör,10495.0
2026-09-06,1910715,MBbsdi 9028 Plus BioFresh NoFrost Black Alttan Donduruculu Buzdolabı,658999.0
2026-09-06,1620704,Beoplay H95 Altın Rengi Kulak Üstü Bluetooth Kulaklık,59999.0
2026-09-06,1865307,P-KE6 Bej Karaoke Party Hoparlör ve 2 Mikrofon Set,2999.0
2026-09-06,1622463,Krem 6li Bıçak Seti,26600.0
2026-09-06,1620706,Beoplay HX Kahverengi Kulak Üstü Bluetooth Kulaklık,37999.0
2026-09-06,1872679,ReCharger Mini 10.000mAh PD 22.5W USB-C Dahili Kablolu Taşınabilir Hızlı Şarj Aleti Powerbank ,2499.9
2026-09-06,1908762,50's Style Retro Krem Filtre Kahve Makinesi,19800.0
2026-09-06,1044009,BUA6150 Siyah Üst Kol Tansiyon Ölçer,2969.0
2026-09-06,2043040,Momentum 5 Siyah Wireless Kulak Üstü Bluetooth Kulaklık ,34999.0
2026-09-06,1050253,KBG Select Cam Potlu Biber Sarısı Filtre Kahve Makinesi,29675.0
2026-09-06,1204100,KITCHENminis® Mat Cromargan Cam Su Isıtıcı Kettle 1 Lt,8999.0
2026-09-06,1929867,50’s Style Krem Retro Krem Kettle Klf03creu,15950.0
2026-09-06,1751797,Sarmal Aviator USB to Type-C Siyah Mekanik Klavye Uyumlu Oyuncu Kablosu,2499.0
2026-09-06,1494356,BRAS430E Air Styler 4.3 Iontec 3 Başlıklı Saç Kurutma Makinesi ve Şekillendirici,4499.0
2026-09-06,1836055,40.000 mAh 140W Powerbank Youth 3 Portlu Şarj Adaptörü,13349.0
2026-09-06,1971585,Araç İçi Telefon Tutucu + Çakmaklık 15W Kablosuz Soğutma Fanı 48W Hızlı Şarj Adaptörü X6416,2499.9
2026-09-06,1968279,PS5 Media Remote Kumandası ,4420.0
2026-09-06,1733496,Rhythm Sole Ayak Masaj Aleti,35283.0
2026-09-06,1790232,Beoplay Eleven Naturel Alüminyum Kulak İçi Bluetooth Kulaklık,32999.0
2026-09-06,2046807,Studio Üst Düzey Podcast ve Vokal Kayıt Seti,14999.0
2026-09-06,1282575,PowerFresh Slim Steam 3'ü 1 arada Buharı Ayarlanabilir Buharlı Temizlik Makinesi,15499.0
2026-09-06,2062266,110000 RPM Hızlı Kurutma 4 Isı 2 Hız Ayarlı İyonik Saç Kurutma Makinesi ,8900.0
2026-09-06,1794663,Beoplay H95 Ordu Mavisi Kulak Üstü Bluetooth Kulaklık,64999.0
2026-09-06,1255349,BCI600-BSS The Smart Scoop™ Dondurma Makinesi,62999.0
2026-09-06,1412900,Juice & Clean Digital Meyve Sıkacağı,10699.0
2026-09-06,1722811,Hadenys Hi-Fi Kulak Üstü Kablolu Kulaklık,52999.0
2026-09-06,1501458,ZKes 453 Humidor Puro Dolabı,279999.0
2026-09-06,1679561,Akıllı MagSafe Uyumlu Cüzdan,2499.9
2026-09-06,1929736,Laser Hair Removal Lazer Epilasyon Cihazı,51342.0
2026-09-06,1028793,HD 800 S Kulak Üstü High End Kablolu Kulaklık,136999.0
2026-09-06,1869466,Vibe One (Battery Powered) Projeksiyon Cihazı,14799.0
2026-09-06,1657182,H400 Siyah Katı Meyve Sıkacağı,49500.0
2026-09-06,1620703,BeoPlay H95 Siyah ANC Kulak Üstü Bluetooth Kulaklık,64999.0
2026-09-06,2044830,Vision Siyah Akıllı Saat,14999.0
2026-09-06,1965370,T1 Pro Koyu Gri Tıraş Makinesi ve Sakal Düzeltici,6999.0
2026-09-06,1494360,"BRHD425E HD4.2 IONTEC Difüzörlü Saç Kurutma Makinesi, 2 Başlıklı, 2100W",4299.0
2026-09-06,1632056,BeoPlay HX Gold Tone ANC Kulak Üstü Bluetooth Kulaklık,37999.0
2026-09-06,1853878,Mavi Türk Kahvesi Makinesi,18250.0
2026-09-06,1759247,Nıntendo Switch 2 Konsol Mario Kart World Paketi,49999.0
2026-09-06,1380841,PlayStation 5 Slim Digital Edition 825 GB SSD Oyun Konsolu (Yeni Sürüm),39999.0
