Product Name,Price,Category
Vanilya Kolsuz Mini Elbise,1999.95,elbise
Turuncu Straplez Kısa Kol Büzgülü Dar Mini Elbise,999.95,elbise
Vanilya Kolsuz Mini Elbise,1499.95,elbise
Sarı Volanlı Çizgili Kolsuz Elbise,1999.95,elbise
Kahverengi Kolsuz Süet Elbise,1999.95,elbise
Kahverengi Büzgü Detaylı Elbise,1999.95,elbise
Siyah Degaje Örme Elbise,1999.95,elbise
Siyah Jakarlı Kolsuz Elbise ,1999.95,elbise
Yeşil Askılı Keten Elbise,6999.95,elbise
Vanilya Yakası Taş Detaylı Elbise,5999.95,elbise
Sarı Askılı Mini Elbise,3999.95,elbise
Siyah Eteği Pile Detaylı Elbise,3999.95,elbise
Siyah Kolsuz Büzgülü Kısa Elbise,4999.95,elbise
Beyaz Askılı Midi Elbise,5999.95,elbise
Beyaz Nakışlı V Yaka Keten Elbise,3999.95,elbise
Siyah Yakası Fularlı Elbise,1499.95,elbise
Siyah Astimetrik dantel detaylı elbise,1999.95,elbise
Siyah Pelerin Detaylı Mini Elbise,6999.95,elbise
Turuncu Straplez Kısa Kol Büzgülü Dar Mini Elbise,999.95,elbise
Siyah Kolsuz Uzun Evaze Elbise,2999.95,elbise
Siyah Degaje Yaka Bağlama Detaylı Elbise,5999.95,elbise
Bej Dantel Bebe Yaka Kısa Kollu Elbise,5999.95,elbise
Vizon Plise Detaylı Elbise,5999.95,elbise
Bej Kolsuz Büzgü Detaylı Ceket Elbise,5999.95,elbise
Siyah Askılı Mini Elbise,4999.95,elbise
Kemik Halter Yaka Volanlı Elbise,4999.95,elbise
Siyah Büzgülü Uzun Elbise,5999.95,elbise
Kemik Jakarlı Midi Boy Elbise,4499.95,elbise
Mavi Askılı Desenli Elbise,5999.95,elbise
Siyah Kolsuz Elbise,3999.95,elbise
Mavi Balon Kol Desenli Elbise,5999.95,elbise
Pembe Volanlı Elbise,7999.95,elbise
Vizon Büzgülü Uzun Kollu Kısa Elbise,6999.95,elbise
Lacivert Kolsuz Kısa Tafta Elbise,6999.95,elbise
Siyah Halter Yaka Volanlı Elbise,4999.95,elbise
Kemik Pilise Detaylı Elbise,6999.95,elbise
Siyah Eteği Volanlı Elbise,7999.95,elbise
Turuncu Kolsuz Yırtmaç Detaylı Asimetrik Elbise,3999.95,elbise
Bej Desenli Uzun Elbise,5999.95,elbise
Kahverengi Simli Uzun Trıko Elbıse,3999.95,elbise
Vanilya Kısa Kollu Mini Elbise,4499.95,elbise
Kahverengi Askılı Trıko Elbise,4999.95,elbise
Haki Arkası Lastikli Büzgülü Elbise,2999.95,elbise
Yeşil Plise Detaylı Elbise,5999.95,elbise
Turuncu Desenli Mini Elbise,4999.95,elbise
Turuncu Büzgü Detaylı Elbise,4499.95,elbise
Vanilya Kolsuz Büzgülü Kısa Elbise,4999.95,elbise
Kemik Korsaj Detaylı elbise,4999.95,elbise
Yeşil Pencere Detaylı Tek Omuz Elbise,4999.95,elbise
Turuncu Büzgü Detaylı Şifon Askılı Elbise,2999.95,elbise
Siyah Askılı Trıko Elbıse,3999.95,elbise
Turuncu Volanlı Desenli Elbise,3999.95,elbise
Yeşil Kolsuz Uzun Evaze Elbise,2999.95,elbise
Lacivert Askılı Keten Elbise,6999.95,elbise
Kahverengi Plise Detaylı Elbise,5999.95,elbise
Lacivert Askılı Uzun Saten Elbise,6999.95,elbise
Mor Midi Boy Şifon Elbise,4999.95,elbise
Bej Pencere Detaylı Tek Omuz Elbise,4999.95,elbise
Kemik Nakış Detaylı V Yaka Elbise,2999.95,elbise
Bej Nakış Detaylı V Yaka Elbise,2999.95,elbise
Vanilya Balon Kollu Önden Düğmeli Elbise,3999.95,elbise
Lacivert Askılı Mini Elbise,4999.95,elbise
Lacivert Piliseli Kare Yaka Elbise,5999.95,elbise
Siyah Korsaj Detaylı elbise,4999.95,elbise
Lacivert Mini Denim Elbise,4999.95,elbise
Lacivert Önden Düğmeli Denim Elbise,3999.95,elbise
Beyaz Önden Bağlamalı Kısa Kollu Ebise,3999.95,elbise
Lacivert Eteği Pile Detaylı Elbise,3999.95,elbise
Lacivert Gipe Detaylı Elbise,3499.95,elbise
Lacivert Kolsuz Elbise,3999.95,elbise
Kahverengi Kolsuz Düğmeli Elbise,2999.95,elbise
Kahverengi Büzgü Detaylı Elbise,6999.95,elbise
Siyah V Yaka Kolsuz Büzgülü Elbise,5999.95,elbise
Kahverengi Tek Omuz Mini Krep Elbise,1999.95,elbise
Siyah Sırt Detaylı Drapeli Örme Elbise,2499.95,elbise
Bej Yanları Bağcık Detaylı Elbise,5999.95,elbise
Kahverengi Kolu Yırtmaç Detaylı Mini Elbise,2999.95,elbise
Siyah Volanlı Mini Elbise,5999.95,elbise
Siyah Omuzdan Bağlama Detaylı Elbise,5999.95,elbise
Siyah Degaje Yaka Uzun Elbise,5999.95,elbise
Kemik Dantel Detaylı Saten Midi Elbise,5999.95,elbise
Lacivert Halter Yaka Mini Elbise,14999.95,elbise
Gold Straplez İşlemeli Kısa Elbise,17999.95,elbise
Siyah Volanlı Uzun Şifon Elbise,9999.95,elbise
Gold İnce Askılı Uzun Elbise,19999.95,elbise
Siyah Kolsuz Yırtmaç Detaylı Asimetrik Elbise,3999.95,elbise
Kemik Plise Detaylı Elbise,2999.95,elbise
Siyah Asimetrik Volanlı Elbise,7999.95,elbise
Kırmızı Askılı Uzun Saten Elbise,6999.95,elbise
Siyah Büzgü Detaylı Elbise,7999.95,elbise
Pembe Kolsuz Boncuk Işlemeli Elbise,19999.95,elbise
Siyah Büzgü Detaylı Degaje Yaka Elbise,7999.95,elbise
Siyah Uzun Örme Taşlı Elbise,5999.95,elbise
Siyah Asimetrik Straplez Elbise,7999.95,elbise
Turuncu Kolsuz Midi Saten Elbise,5999.95,elbise
Siyah Büzgü Detaylı Elbise,6999.95,elbise
Siyah V Yaka Dantel Elbise ,4999.95,elbise
Siyah Kısa Kolsuz Elbise,1999.95,elbise
Siyah Straplez Mini Elbise,7999.95,elbise
Lacivert Taş Detaylı Straplez Mini Elbise,7999.95,elbise
Lacivert Kolsuz Yırtmaç Detaylı Asimetrik Elbise,3999.95,elbise
Siyah İnce Askılı Elbise,12999.95,elbise
Lacivert Fitil Detaylı Boğazlı Triko Elbise,5999.95,elbise
Lacivert Önü yırtmaçlı askılı elbise,3499.95,elbise
Kahverengi V Yaka Kloş Elbise,2999.95,elbise
Mor Hakim Yaka Keten Gömlek Elbise,1999.95,elbise
Mavi Desenli Gömlek Elbise,2999.95,elbise
Kırmızı Büzgü Sırt Detaylı Örme Elbise,5999.95,elbise
Siyah Midi Boy Şifon Elbise,4999.95,elbise
Siyah Plise Detaylı Elbise,2999.95,elbise
Lacivert Etek Ucu Fırfırlı Trıko Elbıse,5999.95,elbise
Kemik Askılı Mini Elbise,4999.95,elbise
Sarı V Yaka Dantel Elbise ,4999.95,elbise
Yeşil Straplez Mini Elbise ,6999.95,elbise
Kemik Straplez Mini Tafta Elbise,7999.95,elbise
Siyah Kruvaze Ceket Elbise,4999.95,elbise
Siyah Taş Detaylı Straplez Elbise,6999.95,elbise
Kemik Kolsuz Elbise,1999.95,elbise
Siyah Saten Mini Elbise,2999.95,elbise
Yeşil Uzun Pileli Tafta Elbise,9999.95,elbise
Siyah Straplez Elbise,7999.95,elbise
Siyah Dantel Detaylı Saten Midi Elbise,5999.95,elbise
Yeşil Sırt Detaylı Drapeli Örme Elbise,2499.95,elbise
Siyah Pilise Detaylı Elbise,3999.95,elbise
Siyah Kolsuz Yuvarlak Yaka Mini Elbise,1999.95,elbise
Siyah Piliseli Elbise,5999.95,elbise
Siyah Askılı Midi Elbise,5999.95,elbise
Kahverengi Kısa Kollu Süet Elbise,1499.95,elbise
Pembe Straplez Mini Tafta Elbise,7999.95,elbise
Vanilya Kısa Kollu ELbise,9999.95,elbise
Pembe Straplez Elbise,7999.95,elbise
Siyah Kolsuz Uzun Trıko Elbise,3999.95,elbise
Siyah Kolsuz Pliseli Triko Elbise,5999.95,elbise
Siyah Askılı Trıko,4999.95,elbise
Kırmızı Straplez Elbise,7999.95,elbise
Siyah Kısa Kollu ELbise,9999.95,elbise
Kırmızı Kruvaze Ceket Elbise,4999.95,elbise
Kemik Askılı Trıko,4999.95,elbise
Kırmızı Büzgü Detaylı Saten Straplez Elbise,6999.95,elbise
Siyah Sırtı Detaylı Uzun Elbise,19999.95,elbise
Siyah Düğüm Detaylı Triko Elbise,4999.95,elbise
Siyah Yaka Detaylı Triko Elbise,4999.95,elbise
Siyah Fitil Detaylı Boğazlı Triko Elbise,5999.95,elbise
Kahverengi Düğme Detaylı Pileli Keten Elbise,3999.95,elbise
Siyah Simli Uzun Trıko Elbıse,3999.95,elbise
Siyah Belden Volanlı Triko Elbise,5999.95,elbise
Siyah Kolsuz Midi Elbise,4499.95,elbise
Siyah Degaje Yaka Uzun Elbise,17999.95,elbise
Siyah Büzgülü Kolsuz Uzun Elbise,7999.95,elbise
Siyah Tek Omuz Mini Krep Elbise,1999.95,elbise
Kahverengi Kruvaze Elbise,3999.95,elbise
Lacivert Pileli Mini Elbise,1999.95,elbise
Lacivert Kolsuz Yuvarlak Yaka Mini Elbise,1999.95,elbise
Siyah Volanlı Mini Elbise,3999.95,elbise
Lacivert İşlemeli Elbise,14999.95,elbise
Siyah Halter Yaka Mini Elbise,14999.95,elbise
Siyah Kare Yaka Uzun Jakar Elbise,5999.95,elbise
Mavi Degaje Yaka Uzun Elbise,5999.95,elbise
Siyah Asimetrik Örme Elbise,6999.95,elbise
Yeşil Büzgü Detaylı Degaje Yaka Elbise,6999.95,elbise
Kemik Pileli Örme Desenli Elbise,3999.95,elbise
Kemik Volanlı Mini Elbise,3999.95,elbise
Turkuaz Kolsuz Kısa Tafta Elbise,6999.95,elbise
Siyah Kolsuz Pileli Örme Elbise ,7999.95,elbise
Siyah Kolsuz Boncuk Işlemeli Elbise,19999.95,elbise
Turkuaz Straplez Tafta Elbise,7999.95,elbise
Siyah İnce Askılı Uzun Elbise,19999.95,elbise
Siyah İp Askılı Boncuk İşlemeli Elbise,19999.95,elbise
Kemik Sırtı Açık Örme Elbise,7999.95,elbise
Siyah Straplez Tafta Elbise,7999.95,elbise
Kemik Eteği Volanlı Elbise,7999.95,elbise
Siyah Taşlı Örme Asimetrik Elbise,3999.95,elbise
Gri İp Askılı Boncuk İşlemeli Elbise,19999.95,elbise
Siyah Önü Volanlı Örme Elbise,7999.95,elbise
Fuşya Pileli Straplez Elbise,4999.95,elbise
Siyah Sırtı Açık Örme Elbise,7999.95,elbise
Mavi Pileli Desenli Elbise ,6999.95,elbise
Kahverengi Sırt Detaylı Degaje Yaka Örme Elbise,6999.95,elbise
Siyah Kolsuz Düğmeli Elbise,2999.95,elbise
Siyah Dantel detaylı elbise ,2999.95,elbise
Lacivert Dikiş Detaylı Denim Elbise,3999.95,elbise
Lacivert Büzgü Detaylı Mini Elbise,1999.95,elbise
Siyah Garni Detaylı Elbise,2999.95,elbise
Bej Plise Detaylı Elbise,5999.95,elbise
Lacivert Büzgü Detaylı Elbise,4999.95,elbise
Siyah Askılı Uzun İşlemeli Abiye  Elbise,19999.95,elbise
Siyah Büzgü Detaylı Yırtmaçlı Elbise,3999.95,elbise
Fuşya Halter Yaka Uzun Elbise,4999.95,elbise
Siyah Büzgü Detaylı Saten Straplez Elbise,6999.95,elbise
Siyah Tek Omuz Simli Örme Elbise,4999.95,elbise
Kırmızı Kolsuz Tafta Elbise,4999.95,elbise
Kemik Pileli Desenli Elbise,3999.95,elbise
Vanilya İnce Askılı Elbise,12999.95,elbise
Kırmızı Yakası Volanlı Midi Boy Elbise,17999.95,elbise
Siyah Nakış Detaylı Keten Elbise,3999.95,elbise
Siyah Kolsuz Tafta Elbise,4999.95,elbise
Gri Degaje Yaka Uzun Elbise,3999.95,elbise
Mavi Tek Omuzlu Desenli Örme Elbise,4999.95,elbise
Lacivert Halter Yaka Elbıse,5999.95,elbise
Lacivert Fiyonk Detaylı Kısa Elbise,6999.95,elbise
Kemik Yakası Volanlı Midi Boy Elbise,17999.95,elbise
Lacivert Kolsuz Desenli Midi Boy Elbise,12999.95,elbise
Lacivert Kolsuz Pileli Örme Elbise ,7999.95,elbise
Siyah Örme Büzgülü Elbise,2999.95,elbise
Siyah Kolsuz Volanlı Saten Elbise,5999.95,elbise
Siyah Kayık Yaka Uzun Elbise ,5999.95,elbise
Gri Asimetrik Örme Elbise,3999.95,elbise
Siyah Sırt Detaylı Degaje Yaka Örme Elbise,6999.95,elbise
Pembe Straplez Uzun Elbise,9999.95,elbise
Siyah Büzgü Detaylı Degaje Yaka Elbise,6999.95,elbise
Pembe Mert Aslan Askılı Jakar Elbise,4999.95,elbise
Siyah Halter Yaka Elbıse,5999.95,elbise
Fuşya Halter Yaka Uzun Elbise,4999.95,elbise
Fuşya Straplez Mini Elbise,7999.95,elbise
Siyah İşlemeli Pileli Mini Elbise,9999.95,elbise
Siyah Çiçek Desenli Kısa Elbise,12999.95,elbise
