District,Rooms,Price
Nilüfer / Görükle,2+1,10.000 TL
Osmangazi / Kovukçınar,2+0,10.000 TL
İnegöl,1+1,11.000 TL
Osmangazi / Çekirge,2+1,11.000 TL
Yıldırım / Esenevler,2+1,10.850 TL
Karacabey,2+1,10.000 TL
Osmangazi / Çirişhane,2.5+1,10.000 TL
Gürsu,2+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Kovukçınar,1+1,10.000 TL
Yıldırım / Duaçınarı,1+1,11.000 TL
Gürsu / Köyler,1+1,10.000 TL
Nilüfer / Görükle,2+0,10.000 TL
Osmangazi / Soğanlı,3+1,10.000 TL
İznik / Çeltikçi,3+1,7.500 TL
Nilüfer / Görükle,2+1,11.000 TL
Gürsu,1+1,5.500 TL
Osmangazi / Çirişhane,1+1,10.000 TL
Kestel / Köyler,3+1,10.500 TL
Osmangazi / Kovukçınar,Stüdyo (1+0),10.000 TL
Kestel,Stüdyo (1+0),11.000 TL
Yıldırım / Hacıvat,2+1,11.500 TL
Yıldırım / Eğitim,2+1,10.000 TL
Yıldırım / Eğitim,3+1,11.000 TL
Yıldırım / Yeşilyayla,2+1,7.500 TL
Nilüfer / Görükle,1+1,11.000 TL
Osmangazi / Soğanlı,Stüdyo (1+0),7.000 TL
Gemlik,3+1,2.000 TL
Nilüfer / Görükle,2+1,11.500 TL
Yıldırım / Emirsultan,2+1,9.500 TL
Nilüfer / Görükle,2+1,11.000 TL
İnegöl / Tahtaköprü,2+1,11.000 TL
Gürsu,2+1,6.500 TL
Osmangazi / Soğanlı,3+1,11.000 TL
Yıldırım / Esenevler,2+1,11.500 TL
Gemlik,1+1,10.000 TL
Osmangazi / Emek,2+1,10.000 TL
Gemlik,1+1,10.000 TL
Gürsu,2+1,11.000 TL
Osmangazi / Altıparmak,2+1,11.000 TL
Osmangazi,3+1,10.000 TL
Yıldırım / Arabayatağı,2+1,11.000 TL
Nilüfer / Görükle,2+1,11.500 TL
Nilüfer / Görükle,1+1,11.500 TL
Yıldırım / Ertuğrulgazi,2+1,9.000 TL
İnegöl / Tahtaköprü,2+1,10.000 TL
Osmangazi / Altıparmak,Stüdyo (1+0),10.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Yıldırım / Emirsultan,1.5+1,10.000 TL
Osmangazi,2+1,11.000 TL
Nilüfer / Ertuğrul,Stüdyo (1+0),9.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,1+1,10.500 TL
Osmangazi / Soğanlı,2+1,10.000 TL
Mustafakemalpaşa,Stüdyo (1+0),8.500 TL
Yıldırım / Eğitim,1+1,10.000 TL
Osmangazi / Çekirge,2+1,11.000 TL
İnegöl,2+1,11.500 TL
Osmangazi / Bağlarbaşı,2+1,11.000 TL
Osmangazi / Çirişhane,2+1,11.000 TL
Gürsu,2+1,9.500 TL
Gemlik,2+1,11.000 TL
Osmangazi / Soğanlı,3+1,10.000 TL
Nilüfer / Görükle,1+1,11.250 TL
Yıldırım / Emirsultan,2+1,10.000 TL
Gemlik,2+1,10.000 TL
Yıldırım / Yeşilyayla,3+1,10.750 TL
Osmangazi / Kovukçınar,3+1,10.000 TL
İnegöl,2+1,10.000 TL
Yıldırım / Hacıvat,2+1,11.000 TL
Osmangazi / Çirişhane,2+1,10.000 TL
Nilüfer / Görükle,2+1,11.000 TL
Yıldırım,2+1,11.000 TL
Yıldırım / Duaçınarı,3+1,10.000 TL
Nilüfer / İhsaniye,1+1,9.250 TL
Osmangazi / Altıparmak,2+1,10.000 TL
Nilüfer / Görükle,Stüdyo (1+0),9.000 TL
Osmangazi / Kovukçınar,2+1,11.000 TL
İnegöl,Stüdyo (1+0),10.000 TL
Gemlik,2+1,11.000 TL
Yıldırım / Ertuğrulgazi,2+1,10.000 TL
Yıldırım / Ertuğrulgazi,1.5+1,10.000 TL
Nilüfer / Görükle,2+1,10.000 TL
Nilüfer / Görükle,1+1,10.000 TL
Yıldırım,1+1,10.000 TL
Karacabey,2+1,10.000 TL
Yıldırım / Hacıvat,3+1,11.000 TL
Osmangazi / Çirişhane,1+1,10.000 TL
Yenişehir,2+1,10.000 TL
Nilüfer / Görükle,1+1,10.000 TL
Yıldırım / Arabayatağı,2+1,10.500 TL
Osmangazi / Çirişhane,2+1,8.000 TL
Gürsu,2+1,10.000 TL
İnegöl / Alanyurt,1+1,11.000 TL
Mudanya / Zeytinbağı,1.5+1,10.000 TL
İnegöl / Alanyurt,1+1,10.000 TL
Yıldırım / Duaçınarı,Stüdyo (1+0),7.500 TL
Gürsu,1.5+1,10.000 TL
Gürsu,2+1,7.500 TL
Osmangazi / Altıparmak,2+1,11.000 TL
Yıldırım,3+1,11.000 TL
İnegöl / Alanyurt,2+1,10.000 TL
Gemlik,2+1,10.000 TL
Osmangazi / Tayakadın,2+1,11.000 TL
Gürsu,2+1,8.500 TL
Nilüfer / Ataevler,2+1,10.000 TL
Yıldırım / Eğitim,2+1,9.000 TL
Yıldırım / Hacıvat,2+1,10.000 TL
Osmangazi / Ovaakça,2+1,10.500 TL
Nilüfer / Görükle,Stüdyo (1+0),8.250 TL
Yıldırım / Arabayatağı,3+1,10.000 TL
Nilüfer / Görükle,Stüdyo (1+0),8.000 TL
Keles,3+1,7.000 TL
Osmangazi / Altıparmak,2+1,11.500 TL
İnegöl,1+1,10.500 TL
Yıldırım / Hacıvat,2+1,10.000 TL
Yıldırım / Emirsultan,3+1,8.000 TL
Osmangazi / Emek,2+1,7.500 TL
Osmangazi / Altıparmak,2+1,10.000 TL
Gemlik,2+1,10.000 TL
Nilüfer / Görükle,1+1,11.000 TL
Nilüfer / Görükle,Stüdyo (1+0),9.500 TL
Nilüfer / Görükle,Stüdyo (1+0),10.000 TL
Yıldırım / Arabayatağı,3+1,11.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Nilüfer / Görükle,2+1,12.500 TL
Nilüfer / Görükle,2+1,12.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,2+1,12.000 TL
İnegöl,2+1,12.000 TL
Osmangazi,2+1,13.500 TL
İnegöl / Köyler,3+1,12.000 TL
İnegöl,1+1,12.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Osmangazi,2+1,13.000 TL
İnegöl / Tahtaköprü,2+1,13.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,1+1,13.500 TL
Nilüfer / Görükle,1+1,12.000 TL
Osmangazi / Çirişhane,2+1,12.000 TL
Mustafakemalpaşa,1+1,13.750 TL
İnegöl / Alanyurt,1+1,13.000 TL
Yıldırım / Arabayatağı,2+1,13.000 TL
Yıldırım / Ertuğrulgazi,2+1,12.500 TL
Gemlik,2+1,13.000 TL
Osmangazi / Çirişhane,3+1,12.000 TL
Gemlik,2+1,12.000 TL
Yıldırım / Eğitim,2+1,13.000 TL
Yıldırım / Ertuğrulgazi,1+1,12.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,1+1,12.000 TL
İnegöl,1+1,12.500 TL
Osmangazi / Bağlarbaşı,2+1,12.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Yıldırım / Emirsultan,2+1,13.500 TL
Osmangazi / Demirtaş,2+1,13.000 TL
Osmangazi / Kovukçınar,3+1,12.000 TL
Nilüfer / Görükle,2+1,12.500 TL
Nilüfer / Görükle,1+1,12.500 TL
İnegöl,3+1,13.500 TL
Nilüfer / Görükle,2+1,13.500 TL
Gemlik,3+1,12.000 TL
Yıldırım / Esenevler,2+1,13.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Gemlik,2+1,12.000 TL
Yıldırım / Eğitim,2+1,13.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,1+1,12.000 TL
Gemlik,2+1,12.000 TL
Karacabey,3+1,13.000 TL
İnegöl,2+1,12.000 TL
Osmangazi / Çirişhane,2+1,13.000 TL
Osmangazi / Emek,2+1,13.000 TL
İnegöl,2+1,13.500 TL
Osmangazi / Tayakadın,2+1,12.500 TL
Yıldırım / Ertuğrulgazi,1+1,12.000 TL
Nilüfer / Görükle,1+1,13.500 TL
Nilüfer / Görükle,Stüdyo (1+0),12.000 TL
Nilüfer / Görükle,1+1,13.000 TL
Nilüfer / Görükle,2+1,13.000 TL
Gemlik,2+1,12.500 TL
İnegöl,3+1,12.000 TL
İnegöl,1+1,13.500 TL
Osmangazi / Bağlarbaşı,2+1,12.000 TL
Osmangazi,2+1,13.000 TL
Yıldırım / Arabayatağı,2+1,13.000 TL
Yıldırım / Emirsultan,2+1,13.000 TL
Nilüfer / Görükle,1+1,12.500 TL
Nilüfer / Görükle,2+1,13.000 TL
Nilüfer / Görükle,2+1,12.500 TL
İnegöl,2+1,13.000 TL
Gemlik,3+1,13.000 TL
Osmangazi / Demirtaş,2+1,13.000 TL
Yıldırım,2+1,13.000 TL
Nilüfer / Görükle,1+1,12.500 TL
Osmangazi / Altıparmak,3+1,13.000 TL
Nilüfer / Görükle,2+1,13.249 TL
Nilüfer / Görükle,2+1,12.000 TL
Yıldırım / Eğitim,2+1,13.500 TL
Yıldırım / Emirsultan,2+1,13.000 TL
