date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,min_unit_price_TRY,min_monthly_cost_TRY,n_matched,matched_products
Mar 2026,Meat and Protein,Fish,Kg,6.9,366.67,2530.02,250.0,1725.0,250.0,1725.0,3,Alabalık Kg; Levrek Kg; Somon Kg
Mar 2026,Meat and Protein,Eggs,Piece,120.0,6.08,729.6,5.66,679.2,4.33,519.6,11,Bem Gezen Tavuk Yumurtası 15 li; Hapeloğlu Yumurta 30'lu  (M tipi); Kaçkar Yumurta 15 li; Özkan Yumurta  Açık Alanda Gezen Tavuk Yumurt…; Ümit Yumurta Duble Beyaz 30'Lu L-Boy; Ümit Yumurta Duble Beyaz Kapaklı 15'Li L-Boy; Ümit Yumurta Duble Sarı 30'Lu L Boy; Ümit Yumurta Duble Sarı Kapaklı 15'Li L-Boy; Ümit Yumurta Jumbo Beyaz 30'Lu XL Boy; Ümit Yumurta Sarı 30'Lu M; Ümit Yumurta Serbest Gezen Tavuk Yumurtası 15…
Mar 2026,Legumes,Chickpeas,Kg,1.8,160.43,288.77,159.0,286.2,125.0,225.0,7,Leblebi Beyaz Nohut Kg; Doğal Beyaz Nohut 1 Kg; Doğal Nohut 1 Kg Koçbaşı; Duru Irı Nohut 1 Kg; Duru Koçbaşı Nohut 1 Kg; Nohut İspanyol Kg; Tat Bakliyat Beyaz Nohut 1000 g
Mar 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,1002.26,2706.1,1100.0,2970.0,165.0,445.5,9,Ceviz İçi Kg; Kavrulmuş Fındık Kg; Tadım Ceviz İçi 70 g; Tadım Fındık İçi 90 g; Tadım Fındık İçi Kavrulmuş 180 g; Tadım Kavrulmuş Yer Fıstığı 180 g; Tadım Çiğ Fındık 140 g; Tadım İşlenmiş Yer Fıstığı 90 g; Tuzlu İç Fıstık Kg
Mar 2026,Grains,Bread,Kg,18.0,138.08,2485.44,174.75,3145.5,72.0,1296.0,5,Ekmek 250 g; Ekmek Baget 250 Gr; Uno Fırından Tam Çavdarlı Ekmek 450 g; Uno Premium Çavdarlı ve Karabuğdaylı Ekmek 40…; Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekm…
Mar 2026,Fruits,Banana,Kg,16.7,117.4,1960.58,117.4,1960.58,84.9,1417.83,2,Muz Kg; Muz Yerli Kg
Mar 2026,Fruits,Seasonal Fruit,Kg,12.9,216.46,2792.33,109.9,1417.71,39.9,514.71,19,Besni Üzüm kg; Kecimen Siyah Üzüm; Siyah Çekirdekli Üzüm; Siyah Üzüm Fındık kg; Siyah Üzüm Çekirdeksiz Özbek Kg; Elma Golden kg; Elma Stargin Kırmızı Kg; Golden Starking İnce Elma kg; Granny Smith Elma kg; Karpuz Kg; Kivi Kg; Mandalina; Nar Kg; Pink Lady Elma Kg; Portakal Dal Kg; Portakal Finike Kg; Turp Karpuz; Çilek Lüks kg; Narman Minzi Kg
Mar 2026,Vegetables,Onion,Kg,18.0,65.67,1182.06,59.9,1078.2,12.9,232.2,4,Arpacık Soğan Paket; Mor Soğan Kg; Soğan Kg; Soğan Çuval 9 Kg
Mar 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,99.9,2307.69,99.9,2307.69,99.9,2307.69,2,Patlıcan Kg; Topak Patlıcan
Mar 2026,Vegetables,Other Vegetables,Kg,11.8,,,,,,,0,—
