product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
4869,https://yapimaks.com/100-500-pis-su-boru-pprc-kalde-p4869,,,,,,,TRY,2026-03-17 22:27:54
4915,https://yapimaks.com/100-70-catal-pis-su-pvc-kalde-p4915,,,,,,,TRY,2026-03-17 22:28:04
4905,https://yapimaks.com/100-70-reduksiyon-pis-su-pvc-kalde-p4905,,,,,,,TRY,2026-03-17 22:28:14
4900,https://yapimaks.com/100-90-pis-su-pvc-dirsek-kalde-p4900,,,,,,,TRY,2026-03-17 22:28:24
4924,https://yapimaks.com/100-es-pis-su-pvc-kalde-110x87-p4924,,,,,,,TRY,2026-03-17 22:28:34
4922,https://yapimaks.com/100-kayar-manson-pis-su-pvc-kalde-p4922,,,,,,,TRY,2026-03-17 22:28:44
4888,https://yapimaks.com/100-kelepce-pis-su-pvc-kalde-p4888,,,,,,,TRY,2026-03-17 22:28:54
4909,https://yapimaks.com/100-lik-conta-kalde-p4909,,,,,,,TRY,2026-03-17 22:29:04
4928,https://yapimaks.com/100-tapa-pis-su-kalde-p4928,,,,,,,TRY,2026-03-17 22:29:14
4891,https://yapimaks.com/100-temizleme-pis-su-kalde-p4891,,,,,,,TRY,2026-03-17 22:29:24
4919,https://yapimaks.com/125-100-catal-pis-su-pvc-kalde-p4919,,,,,,,TRY,2026-03-17 22:29:34
4906,https://yapimaks.com/125-100-reduksiyon-pis-su-pvc-kalde-p4906,,,,,,,TRY,2026-03-17 22:29:44
4876,https://yapimaks.com/125-1000-pis-su-boru-kalde-p4876,,,,,,,TRY,2026-03-17 22:29:54
4918,https://yapimaks.com/125-125-catal-pis-su-pvc-kalde-p4918,"125x125 Tek Çatal 45°, Pis Su, Çap=125x125 mm",KALDE.5213SBR0N0N45,KALDE,Birim: Adet,Adet,"200,00",TRY,2026-03-17 22:30:04
4910,https://yapimaks.com/125-125-te-pis-su-catal-kalde-p4910,"125x125 Tek Çatal 87°, Te Çatal, Pis Su, Çap=125x125 mm",KALDE.5213SBR0N0N87,KALDE,Birim: Adet,Adet,"179,00",TRY,2026-03-17 22:30:08
4877,https://yapimaks.com/125-2000-pis-su-boru-kalde-p4877,"125/2000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 2000 mm",KALDE.5203TBE0N2000,KALDE,Birim: Adet,Adet,"346,00",TRY,2026-03-17 22:30:11
4885,https://yapimaks.com/125-250-pis-su-boru-kalde-p4885,"125/250 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 250 mm",KALDE.5203TBEXN0250,KALDE,Birim: Adet,Adet,"91,00",TRY,2026-03-17 22:30:14
4878,https://yapimaks.com/125-3000-pis-su-boru-kalde-p4878,"125/3000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 3000 mm",KALDE.5203TBE0N3000,KALDE,Birim: Adet,Adet,"510,00",TRY,2026-03-17 22:30:17
