product_id,name,sku,marka,stok_durumu,birim,price,currency,url,scraped_at
4909,,,,,,,TRY,https://yapimaks.com/100-lik-conta-kalde-p4909,2026-03-19 15:04:09
11825,,,,,,,TRY,https://yapimaks.com/100-luk-banyo-aspiratoru-12-watt-isildar-p11825,2026-03-19 15:04:18
4928,,,,,,,TRY,https://yapimaks.com/100-tapa-pis-su-kalde-p4928,2026-03-19 15:04:27
4891,,,,,,,TRY,https://yapimaks.com/100-temizleme-pis-su-kalde-p4891,2026-03-19 15:04:35
4919,,,,,,,TRY,https://yapimaks.com/125-100-catal-pis-su-pvc-kalde-p4919,2026-03-19 15:04:44
4906,,,,,,,TRY,https://yapimaks.com/125-100-reduksiyon-pis-su-pvc-kalde-p4906,2026-03-19 15:04:52
4876,"125/1000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 1000 mm",KALDE.5203TBE0N1000,KALDE,Birim: Adet,Adet,"182,00",TRY,https://yapimaks.com/125-1000-pis-su-boru-kalde-p4876,2026-03-19 15:05:01
4918,"125x125 Tek Çatal 45°, Pis Su, Çap=125x125 mm",KALDE.5213SBR0N0N45,KALDE,Birim: Adet,Adet,"200,00",TRY,https://yapimaks.com/125-125-catal-pis-su-pvc-kalde-p4918,2026-03-19 15:05:03
4910,"125x125 Tek Çatal 87°, Te Çatal, Pis Su, Çap=125x125 mm",KALDE.5213SBR0N0N87,KALDE,Birim: Adet,Adet,"179,00",TRY,https://yapimaks.com/125-125-te-pis-su-catal-kalde-p4910,2026-03-19 15:05:04
4877,"125/2000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 2000 mm",KALDE.5203TBE0N2000,KALDE,Birim: Adet,Adet,"346,00",TRY,https://yapimaks.com/125-2000-pis-su-boru-kalde-p4877,2026-03-19 15:05:05
4885,"125/250 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 250 mm",KALDE.5203TBEXN0250,KALDE,Birim: Adet,Adet,"91,00",TRY,https://yapimaks.com/125-250-pis-su-boru-kalde-p4885,2026-03-19 15:05:07
4878,"125/3000 Pis Su Boru, Atık Su Boru PVC-U Boru/Tip B 125 x 3000 mm",KALDE.5203TBE0N3000,KALDE,Birim: Adet,Adet,"510,00",TRY,https://yapimaks.com/125-3000-pis-su-boru-kalde-p4878,2026-03-19 15:05:08
4901,,,,,,,TRY,https://yapimaks.com/125-45-pis-su-pvc-dirsek-kalde-p4901,2026-03-19 15:05:09
4875,,,,,,,TRY,https://yapimaks.com/125-500-pis-su-boru-pprc-kalde-p4875,2026-03-19 15:05:18
14223,,,,,,,TRY,https://yapimaks.com/125-90-pis-su-pvc-dirsek-kalde-p14223,2026-03-19 15:05:27
4923,,,,,,,TRY,https://yapimaks.com/125-kayar-manson-pis-su-pvc-kalde-p4923,2026-03-19 15:05:35
4889,,,,,,,TRY,https://yapimaks.com/125-kelepce-pis-su-pvc-kalde-p4889,2026-03-19 15:05:44
4925,,,,,,,TRY,https://yapimaks.com/125-tapa-pis-su-kalde-p4925,2026-03-19 15:05:52
3581,,,,,,,TRY,https://yapimaks.com/14-16-dns-50x100-5-cm-karbonlu-fawori-p3581,2026-03-19 15:06:01
3793,,,,,,,TRY,https://yapimaks.com/16-1-2-dis-disli-rekor-kalde-p3793,2026-03-19 15:06:09
3792,,,,,,,TRY,https://yapimaks.com/16-1-2-ic-disli-rekor-kalde-p3792,2026-03-19 15:06:18
1707,,,,,,,TRY,https://yapimaks.com/16dns-dalmacyali-5cm-50x100cm-10ad-5m2-p1707,2026-03-19 15:06:27
14851,,,,,,,TRY,https://yapimaks.com/16x16-sabit-rekor-pe-x-kalde-p14851,2026-03-19 15:06:35
12729,,,,,,,TRY,https://yapimaks.com/1x10a-paket-salter-0-1-ac-kapa-metop-p12729,2026-03-19 15:06:44
4799,,,,,,,TRY,https://yapimaks.com/20-1-2-batarya-baglantisi-ciftli-kalde-p4799,2026-03-19 15:06:52
4798,,,,,,,TRY,https://yapimaks.com/20-1-2-batarya-baglantisi-tekli-disi-kalde-p4798,2026-03-19 15:07:01
11231,,,,,,,TRY,https://yapimaks.com/20-1-2-dis-disli-dirsek-pprc-kalde-p11231,2026-03-19 15:07:09
4820,,,,,,,TRY,https://yapimaks.com/20-1-2-dis-disli-rekor-pprc-kalde-p4820,2026-03-19 15:07:18
4804,,,,,,,TRY,https://yapimaks.com/20-1-2-ic-disli-dirsek-pprc-kalde-p4804,2026-03-19 15:07:27
4814,,,,,,,TRY,https://yapimaks.com/20-1-2-ic-disli-rekor-pprc-kalde-p4814,2026-03-19 15:07:35
