title,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
KALE MARE BANYO DOLABI 65 cm Byz / Meşe,10950.0,05,0.0,0.0,0.0,0.0
KALE MOOD ÇEK. YAN DOLAP 35cm M.Syh/Pasifik A.,7500.0,05,0.0,0.0,0.0,0.0
KALE MOOD BANYO DOLABI 80cm M.Syh/Pasifik A.,17950.0,05,0.0,0.0,0.0,0.0
KALE MOOD BANYO DOLABI 65cm M.Syh/Pasifik A.,15950.0,05,0.0,0.0,0.0,0.0
KALE VISTA BOY DOLABI 58 cm Mat Bute Beyaz,14950.0,05,0.0,0.0,0.0,0.0
KALE VISTA BANYO DOLABI 100 cm Beyaz ( Çanak ),23950.0,05,0.0,0.0,0.0,0.0
KALE VISTA BANYO DOLABI 80 cm Beyaz,21500.0,05,0.0,0.0,0.0,0.0
KALE VISTA BOY DOLABI 58 cm K. Meşe,14950.0,05,0.0,0.0,0.0,0.0
KALE VISTA BANYO DOLABI 100 cm K.Meşe ( Çanak ),23950.0,05,0.0,0.0,0.0,0.0
KALE VISTA BANYO DOLABI 80 cm K. Meşe,21500.0,05,0.0,0.0,0.0,0.0
KALE MİRO BOY DOLAP 42cm MatGri (Sağ),19900.0,05,0.0,0.0,0.0,0.0
KALE MİRO BANYO DOLAB 80cm MatGri (Çekmeceli),24900.0,05,0.0,0.0,0.0,0.0
KALE ARTE+ BOY DOLAP 35 cm Mat Beyaz,12750.0,05,0.0,0.0,0.0,0.0
KALE ARTE+ BANYO DOLABI 80 cm Mat Beyaz,19990.0,05,0.0,0.0,0.0,0.0
KALE ARTE+ BOY DOLAP 35 cm Mat Antrasit,12750.0,05,0.0,0.0,0.0,0.0
KALE ARTE+ BANYO DOLABI 80 cm Mat Antrasit,19990.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BOY DOLABI 40cm Pasifik A,11950.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BANYO DOLABI 2Ç. 80cm Pasifik A,22080.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BOY DOLABI 40cm Parlak Antrasit,11950.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BANYO DOLABI 100cm Beyaz,23365.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BANYO DOLABI 80cm Beyaz,19510.0,05,0.0,0.0,0.0,0.0
KALE IDEA 2.0 BANYO DOLABI 80cm 1.Çekm. P.Antrasit,19510.0,05,0.0,0.0,0.0,0.0
KALE CASİLLA BANYO DOLAB 80cm S.Gri (Çekmeceli),23900.0,05,0.0,0.0,0.0,0.0
KALE CASİLLA BOY DOLAP 40cm SATEN GRİ (Sağ&Sol),13900.0,05,0.0,0.0,0.0,0.0
KALE KREA BANYO DOLABI 80 cm Beyaz (Kapaklı),13750.0,05,0.0,0.0,0.0,0.0
KALE STORA BOY DOLAP 40 cm Beyaz,9900.0,05,0.0,0.0,0.0,0.0
KALE STORA BANYO DOLABI 100 cm Beyaz,18500.0,05,0.0,0.0,0.0,0.0
KALE STORA BANYO DOLABI 80 cm Beyaz,14500.0,05,0.0,0.0,0.0,0.0
KALE STORA BANYO DOLABI 65 cm Beyaz,13500.0,05,0.0,0.0,0.0,0.0
