item_name,price,category,color,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Bambula volanlı şort etek,1190.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,
Keten görünümlü yelek,1490.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
D76 Mikro denim şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ PARÇA BOYAMA DENIM,03,0.0,0.0,,
D76 Mikro denim şort,1490.0,Keten karışımlı,Beyaz,03,0.0,0.0,,
D76 Mikro denim şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ AÇIK ORTA MAVİ DENIM,03,0.0,0.0,,
D76 Mikro denim şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ ORTA MAVİ DENIM,03,0.0,0.0,,
D76 Mikro denim şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ SİYAH DENIM,03,0.0,0.0,,
İşlemeli dökümlü askılı top,1090.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
İşlemeli askılı dökümlü top,1090.0,Keten karışımlı,Altın rengi,03,0.0,0.0,,
İşlemeli askılı dökümlü top,1090.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
Çok bantlı topuklu sandalet,1790.0,Keten karışımlı,KAHVERENGİ,03,0.0,0.0,,0.0
Çok bantlı topuklu sandalet,1790.0,Keten karışımlı,ALTIN,03,0.0,0.0,,0.0
Düğmeli dökümlü top,1090.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,
Keten görünümlü çapraz sırtlı midi elbise,1790.0,Keten karışımlı,Lacivert,03,0.0,0.0,0.0,0.0
Keten görünümlü çapraz sırtlı midi elbise,1790.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten görünümlü çapraz sırtlı midi elbise,1790.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
Basic askılı top,490.0,Keten karışımlı,Beyaz,03,0.0,0.0,,
Basic askılı top,490.0,Keten karışımlı,Siyah,03,0.0,0.0,,
Kombinasyon sepet tote çanta,1590.0,Keten karışımlı,Altın rengi,03,0.0,0.0,,
Kombinasyon sepet tote çanta,1590.0,Keten karışımlı,Beyaz,03,0.0,0.0,,
Düğmeli dökümlü top,1090.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,
Bengalinden halter yaka üst,1090.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Dökümlü barrel pantolon,1190.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
Dökümlü barrel pantolon,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Dökümlü barrel pantolon,1190.0,Keten karışımlı,Açık mavi,03,0.0,0.0,0.0,0.0
Açık renk geniş paça jean,1790.0,Keten karışımlı,SOLUK EFEKTLİ AÇIK ORTA MAVİ DENIM,03,0.0,0.0,0.0,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ PARÇA BOYAMA DENIM,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,Beyaz,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ KOYU GRİ DENIM,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ SİYAH DENIM,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ ORTA MAVİ DENIM,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ AÇIK ORTA MAVİ DENIM,03,0.0,0.0,,
D93 uzun şort,1490.0,Keten karışımlı,SOLUK EFEKTLİ AÇIK MAVİ DENIM,03,0.0,0.0,,
Parmak arası düz sandalet,1590.0,Keten karışımlı,KOMBİNE,03,0.0,0.0,,
Dökümlü pareo pantolon,1490.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,0.0
Dökümlü pareo pantolon,1490.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
File topuksuz terlik,2490.0,Keten karışımlı,KAHVERENGİ,03,0.0,0.0,,
Bambula işlemeli şort etek,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,,
Bambula işlemeli şort etek,1490.0,Keten karışımlı,Siyah,03,0.0,0.0,,
Bambula işlemeli şort etek,1490.0,Keten karışımlı,Ekru,03,0.0,0.0,,
Önü açık dökümlü bluz,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Önü açık dökümlü bluz,1190.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,0.0
Önü açık dökümlü bluz,1190.0,Keten karışımlı,Altın rengi,03,0.0,0.0,0.0,0.0
Önü açık dökümlü bluz,1190.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,
Keten görünümlü bağcıklı pantolon,1190.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,
Keten görünümlü bağcıklı pantolon,1190.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,
Keten görünümlü bağcıklı pantolon,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
"Kemerli, keten görünümlü düz paça pantolon",1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
"Kemerli, keten görünümlü düz paça pantolon",1590.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
"Kemerli, keten görünümlü düz paça pantolon",1590.0,Keten karışımlı,Açık sarı,03,0.0,0.0,0.0,0.0
Panelli uzun etek,1590.0,Keten karışımlı,Beyaz,03,0.0,0.0,0.0,
Ketenli pensli culotte pantolon,1490.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Kırışık görünümlü straight fit pantolon,1190.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
Kırışık görünümlü straight fit pantolon,1190.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Kırışık görünümlü straight fit pantolon,1190.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Kırışık görünümlü straight fit pantolon,1190.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Büzgülü dokulu tişört,790.0,Keten karışımlı,Haki,03,0.0,0.0,0.0,0.0
Büzgülü dokulu tişört,790.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,0.0
Büzgülü dokulu tişört,790.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
Büzgülü dokulu tişört,790.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten görünümlü culotte pantolon,1490.0,Keten karışımlı,Krem rengi,03,0.0,0.0,0.0,
Keten görünümlü culotte pantolon,1490.0,Keten karışımlı,Siyah,03,0.0,0.0,0.0,
Keten görünümlü culotte pantolon,1490.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,
Keten görünümlü culotte pantolon,1490.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,
V Yaka Kısa Elbise,1590.0,Keten karışımlı,Koyu mavi,03,0.0,0.0,0.0,0.0
Keten görünümlü straight fit pantolon,1590.0,Keten karışımlı,Kahverengi,03,0.0,0.0,0.0,0.0
Keten görünümlü straight fit pantolon,1590.0,Keten karışımlı,Ekru,03,0.0,0.0,0.0,0.0
