Category,Product Name,Price,Date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akülü Vidalamalar,Plus 12v Usb Şarjlı Matkap Vidalama Dahili Batarya,1399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb 183 Li 2 Ah Takip Göstergeli Çift Batarya Ve Bosch V-line 103 Parça Delme Ve Vidalama Seti,9999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12v Çift Akülü Darbeli Şarjlı Matkap Dijital Göstergeli Akülü Vidalama,1399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12 Volt 3 Pilli Yedek Akü,359.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Cheli̇kbei Beşli̇ Set Mw350r (10mm Ç.mandren+s.sıkma+ş.spral+ş.hilti+budama),7372.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Alçıpan Vidalama Dw24,4868.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Cheli̇kbei̇ Beşli Set Mk350 (budama Testeresi 10mm Ç.mandren+s.sıkma+ş.spral+ş.hilti),7363.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li 2 Ah Çift Bataryalı Vidalama Ve Gas 12 Şarjlı Araç Süpürgesi̇,7999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb Darbeli 120 Li 2 Ah Çift Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,9999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li 2 Ah Tek Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇,6999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsr 120 Li 3 Ah Çift Bataryalı Vidalama Ve Gas 12 Şarjlı Araç Süpürgesi̇,8999.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Gsb Darbeli 120 Li 3 Ah Çift Akülü Vidalama +  Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,10999.0,2026.05.08,05,0.0,,,
