Title,Weekly Inflation(%)
BEBELAC 400 GR 3 YENI,26.637554585152827
BEBELAC 800 GOLD 1 YENI,0.0
BEBELAC KVN ELMA ARMUT 125GR,0.0
BEBEM NATURAL ULTRA FIRSAT 104 LI MAXI,0.0
BEBETO BERRIES BUYUK BOY 70 GR,0.0
BEBETO DOUBLE JOY CILEK VAN.75 GR,0.0
BEBETO ICE CREAM YUMUSAK SEKER 80 GR,0.0
BEBETO PEACH RINGS 80 GR,0.0
BEBETO SUPER BELT 75 GR,0.0
BEBETO WACKY STICKS CILEK VAN.75 GR,0.0
BECEL KASE 250 GR,0.0
BECEL KASE 500GR,0.0
BECEL TEREYAG KEYFI 500 GR,0.0
BECEL TEREYAG KEYFI KASE 250 GR,0.0
BECEL ZEYTINYAGLI KASE 250GR,0.0
BERRAK CEVIZLI DOBIPA 310 GR,0.0
BESLER 300 GR GOLD FERMENTE SUCUK,32.14400514304082
BESLER DANA SOSIS 220 GR,0.0
BESLER FERMENTE SUCUK 220 GR,0.0
BESLER H.DİLİMLİ . PLÇ. SUCUK 260 GR,-10.001000100010002
BESLER NOSTAJI DANA DÖNER 200 GR,-22.728305832083276
BESLER PILIC SOSIS 220 GR,18.185124568103276
BESTA ANGORA BAYAN,0.0
BESTA BAMBU BAYAN PATIK CORAP,0.0
"BESTA BAMBU BAYAN SNEAKERS CORAP,",0.0
BESTA BAMBU ERKEK CORAP,0.0
BESTA BAMBU ERKEK PATIK CORAP,0.0
BESTA BAMBU ERKEK SNEAKERS CORAP,0.0
BESTA BAYAN PATIK CORAP,0.0
BESTA DESENLI BAMBU ERKEK CORAP,0.0
BESTA DESENLI MODAL ERKEK CORABI,0.0
BESTA MODAL BAYAN PATIK CORAP,0.0
BESTA MODAL BAYAN SNEAKERS CORAP,0.0
BESTA MODAL ERKEK CORAP,0.0
BESTA MODAL ERKEK PATIK CORAP,0.0
BESTA MODAL ERKEK SNEAKERS CORAP,0.0
BESTA PENYE SNEAKERS BAYAN CORAP,0.0
BESTA PENYE SNEAKERS ERKEK CORAP,0.0
BIG BABOL 26 GR SHAKIES CILEK CUZDAN,0.0
BIG BABOL BOX MEYVE 36 GR,0.0
BIG BABOL MAGIC CUBES BOTTLE 86 GR,0.0
BILLUR HIMALAYA TUZ DEGIRMEN 200 GR,-3.0003000300030007
BILLUR IYOTSUZ TUZLUKLU TUZ 250 GR,-4.6522447080716445
BILLUR TUZ 1500GR,-7.143877696813831
BILLUR TUZ 750GR,-2.8579594169762785
BILLUR TUZ PLASTIK TUZLUKLU 500 GR,0.0
BILLUR TUZ TUZLUKLU 125 GR,-10.00333444481494
BINGO BULASIK DETERJAN 4 KG,0.0
BINGO DYNAMIC 675 ML LIMON,0.0
BINGO FRESH 2500 ML LOVELY,11.1123458162018
BINGO FRESH 2500 ML PEMBE DUSLER,0.0
BINGO FRESH  1000GR MASAL&FERAH,0.0
BINGO MATIK 10 KG MUTLU YUVAM,0.0
BINGO OÇS CAM KOKULU 750 ML,0.0
BINGO OÇS LIMON KOKULU 750 ML,0.0
BINGO SIVI DET.BAKIM SERISI 4 LT RENKLI,0.0
BINGO SOFT 5 LT SENSITIVE,0.0
BINGO SOFT KONSANTRE 1440 ML LOVELY,7.692899453804138
BINGO SOFT KONSANTRE 1440 ML SENSITIVE,7.692899453804138
BIOBLAS 250ML SAC BAKIM KREMI 7/24 COLLAGEN&KERATI,0.0
BIOBLAS 250ML SAC BAKIM KREMI COLLAGEN&KERATIN,0.0
BIOBLAS BOTANIK 360ML SAMP.IN.ISIRGAN,0.0
BIZIM BULYON ET 120 GR 9+3,0.0
BIZIM BULYON TAVUK 120 GR 9+3,0.0
BIZIM CORBA EZOGELIN 80 GR,0.0
BIZIM CORBA K.MANTAR 65GR,0.0
BIZIM CORBA K.TAVUK 62 GR,0.0
BIZIM MARGARIN 250 GR 6 LI,0.0
BIZIM MARGARIN 250 GR PAKET,0.0
BLADE DEO 150ML  GREEN DREAM,-30.00157903047529
BLADE DEO 150ML SELF CONFIDENCE,-30.00157903047529
BLENDAX 470ML SAMP. YASEMIN OZLU,0.0
BLENDAX 470ML SAMP.ISIRGAN OTU GUCLNDRC,0.0
BLENDAX 470ML SAMP.KEPEGE KARSI,0.0
BLENIOR AGDA BEZI 25 MT,-23.078698361412425
BOUNTY BAR 57 GR,0.0
BOZKURT FENER MUM 10 LU,0.0
BOZKURT KOKULU BARDAK MUM,0.0
BREF DUO JEL 2X42 GR OKAYANUS DUOPACK,0.0
BREF POWER AKTIV 50 GR ÇAM TEKLI,0.0
BREF POWER AKTIV DUOPACK 100 GR CAM 2 LI,0.0
BREF POWER AKTIV DUOPACK 100 GR OKYANUS 2 LI,0.0
BROART KARE FIRIN TEPSISI 2 LI.,0.0
BROART YUVARLAK FIRIN TEPSISI 2 LI.,0.0
BURCU BEZELYE 570 GR CAM,0.0
BURCU BEZELYE TNK 830 GR,0.0
BURCU GARNITUR 570 GR CAM.,0.0
BURCU HASLANMIS FASULYE 600 GR CAM,0.0
BURCU HASLANMIS NOHUT 600 GR CAM,0.0
BURCU KETCAP KATKISIZ 650 GR ACI,0.0
BURCU KETCAP KATKISIZ 650 GR TATLI,0.0
BURCU KOZLEMIS PATLICAN 540 GR,0.0
BURCU KOZLENMIS BIBER 560 GR,0.0
BURCU MAYONEZ BUFE 550 GR,0.0
BİBER KIRMIZI,-6.250390649415588
BİBER KÖY KG,-10.00050002500125
BİBER ŞİLİ,0.0
CALVE KETCAP + LIGHT MAYONEZ 600 +540 GR,0.0
CALVE KETCAP 400 GR,0.0
CALVE MAYONEZ 540 GR,0.0
CALVE SOS ACI 265 GR,0.0
CALVE SOS BALLI HARDAL 260 GR,0.0
CALVE SOS BARBEKU 290 GR,0.0
CALVE SOS CHEDDAR 240 GR,0.0
CALVE SOS RANCH 245GR,0.0
CAMSIL MATIK 500 ML,0.0
CAMSIL MATIK YEDEK 1000GR,0.0
CANPED H.BEZI EMICI KULOT BÜYÜK 8LI,0.0
CANPED H.BEZI EMICI KULOT ORTA 9LU,0.0
CANPED MESANE PEDI ORTA 10 LU,0.0
CANPETEK BAL 1000 GR,-23.3341111370379
CANPETEK TABAKLI BAL 400 GR,4.348015131092656
CARTEDOR CLASSIC 850 ML VISNE BITTER KAYMAK,21.00456621004566
CEDID TUNUS HURMA 300 GR,0.0
CEMALIM LOKUMLU KLASIK PEYNIR KG,-12.500312507812694
CEREZZA DEV BAHARAT DOMATES SOSU TADINDA 150 GR,0.0
CEREZZA POPCORN MISIR AILE 80 GR,0.0
CEREZZA STICK 117 GR PEYNIR SOGON SUPER,0.0
CEREZZA TV SUT MISIRI SUPER 117 GR,0.0
CHEETOS FIRINDAN  41 GR FISTIK AILEPLUS,0.0
