Category,Product Name,Price,Product URL
Men,68 Simon Straight Fit Erkek Pantolon,"1499,96",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-14682
Men,Ricardo Slim Fit Erkek Pantolon,"1199,96",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14330
Men,Justin Skinny Erkek Pantolon,"974,96",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12740
Men,68 Simon Straight Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-14002
Women,Flare Slim Fit Kadın Pantolon,"749,96",https://www.loft.com.tr/p/flare-slim-fit-kadin-pantolon-14010
Men,Ricardo Slim Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-12876
Men,Ricardo Slim Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-12873
Men,68 Simon Regular Fit Erkek Pantolon,"974,96",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10246
Men,Ricardo Slim Fit Erkek Pantolon,"1499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13585
Women,Bella Regular Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12946
Women,Bella Regular Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14968
Women,Bella Regular Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14958
Women,Bella Regular Fit Kadın Pantolon,"2299,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-15509
Women,Bella Regular Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12405
Women,Bella Regular Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12404
Men,Justin Skinny Erkek Pantolon,"1999,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-14013
Men,Justin Skinny Fit Erkek Pantolon,"2499,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-12968
Men,Justin Skinny Fit Erkek Pantolon,"2199,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-5917
Men,Justin Skinny Fit Erkek Pantolon,"1999,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10244
Men,Justin Skinny Fit Erkek Pantolon,"3499,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10350
Men,Justin Skinny Fit Erkek Pantolon,"2199,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-10261
Women,Natalie Skinny Fit Kadın Pantolon,"1799,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10623
Women,New Baggy Fit Kadın Pantolon,"3499,90",https://www.loft.com.tr/p/new-baggy-fit-kadin-pantolon-13723
Men,Regular Fit Erkek Pantolon,"1699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13389
Men,Regular Fit Erkek Pantolon,"1799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13334
Men,Regular Fit Erkek Pantolon,"1699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-15228
Men,Regular Fit Erkek Pantolon,"1699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-15224
Men,Ricardo Slim Fit Erkek Pantolon,"3499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14835
Men,Ricardo Slim Fit Erkek Pantolon,"3499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14834
