product_id,product_name,category,price
23652,"Frimer Dondurulmuş Patates 7x7 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"147,00TL"
23655,"Frimer Dondurulmuş Karnabahar 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"180,00TL"
23767,Sinangil Çeşidim Dondurulmuş Simit 4x100g,Kazandıran Ürünler > Dondurulmuş Gıda,"69,00TL"
20021,"All Natura Patates (9X9) 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"All Natura Patates (9X9) 2,5 Kg Stoğa girince haber ver"
22406,"Superfresh Mısır 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"Superfresh Mısır 2,5 Kg Stoğa girince haber ver"
22669,İnci Kayseri Mantısı 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,İnci Kayseri Mantısı 450 g Stoğa girince haber ver
22674,Superfresh Taze Fasulye 450g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Taze Fasulye 450g Stoğa girince haber ver
22745,Superfresh Vişne 350 gr,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Vişne 350 gr Stoğa girince haber ver
23452,Kebapçızade Ömer Usta Kebap 160 G,Kazandıran Ürünler > Dondurulmuş Gıda,Kebapçızade Ömer Usta Kebap 160 G Stoğa girince haber ver
20723,Superfresh Taşfırın Sucuklu Pizza 410 g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Taşfırın Sucuklu Pizza 410 g Stoğa girince haber ver
22219,Superfresh Frambuaz 300 g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Frambuaz 300 g Stoğa girince haber ver
22665,Superfresh Peynirli Rulo Börek 500 g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Peynirli Rulo Börek 500 g Stoğa girince haber ver
23215,Pek Food Dondurulmuş Klasik Lahmacun 400 g,Kazandıran Ürünler > Dondurulmuş Gıda,Pek Food Dondurulmuş Klasik Lahmacun 400 g Stoğa girince haber ver
23480,Superfresh Mozzarella Çubukları 280 G,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Mozzarella Çubukları 280 G Stoğa girince haber ver
12704,Superfresh Elma Dilim Patates 1 kg,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Elma Dilim Patates 1 kg Stoğa girince haber ver
20722,Superfresh Taşfırın Karışık Pizza 410 g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Taşfırın Karışık Pizza 410 g Stoğa girince haber ver
22483,Superfresh Barbunya 450 g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Barbunya 450 g Stoğa girince haber ver
22743,Superfresh Orman Meyveleri 300 gr,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Orman Meyveleri 300 gr Stoğa girince haber ver
22771,Superfresh Pizza King Extra XL 500 gr,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Pizza King Extra XL 500 gr Stoğa girince haber ver
23654,"Frimer Dondurulmuş Patates 9X18 2,5 Kg",Kazandıran Ürünler > Dondurulmuş Gıda,"Frimer Dondurulmuş Patates 9X18 2,5 Kg Stoğa girince haber ver"
23769,Exotic Dondurulmuş Portakal Suyu 3 L,Kazandıran Ürünler > Dondurulmuş Gıda,Exotic Dondurulmuş Portakal Suyu 3 L Stoğa girince haber ver
22486,Superfresh Bamya 450g,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Bamya 450g Stoğa girince haber ver
22666,Dr.Oetker Guseppe Supreme Pizza 415 g,Kazandıran Ürünler > Dondurulmuş Gıda,Dr.Oetker Guseppe Supreme Pizza 415 g Stoğa girince haber ver
22744,Superfresh Böğürtlen 300 gr,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Böğürtlen 300 gr Stoğa girince haber ver
23481,Superfresh Falafel 450 G,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Falafel 450 G Stoğa girince haber ver
23482,Superfresh Pratik Sebze Sote Mix 450 G,Kazandıran Ürünler > Dondurulmuş Gıda,Superfresh Pratik Sebze Sote Mix 450 G Stoğa girince haber ver
11576,Ülker Toz Kakao 1 kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"899,00TL"
11744,Filiz İrmik 500 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"37,90TL"
12146,Dr.Oetker Çikolatalı Fındıklı Puding 102 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"40,91TL"
12194,Pakmaya Kuru Maya 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"35,90TL"
12412,Dr.Oetker Vanilinli Pasta Kreması 136 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"68,90TL"
14860,Dr.Oetker Karbonat 5'li 5x5 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"8,90TL"
16165,Dr.Oetker Pudra Şeker Kilitli Amblj 150 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"33,90TL"
16564,Ülker Kuvertür %54 Bitter Tablet 200 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"220,00TL"
17483,Pakmaya Hamur Kabartma Tozu 10x10 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"25,90TL"
18579,Dr.Oetker Aktif Maya 90 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"54,90TL"
18904,Pakmaya Supangle 138 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"36,50TL"
20350,Ülker Pul Çikolata Beyaz 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"129,00TL"
20396,Ülker Pul Çikolata %54 Bitter 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"129,00TL"
21667,Ülker Bizim Mısır Nişastası 1 kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"72,90TL"
12501,Dr.Oetker Toz Kakao 25 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"34,90TL"
12503,Dr.Oetker Hamur Kabartma Tozu 5x10 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"15,90TL"
16163,Dr.Oetker Kakao Kilitli Ambalaj 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"125,00TL"
18902,Pakmaya Toz Kakao 2x25 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"56,90TL"
22556,Dr.Oetker Bitter Çikolatalı Sos 122g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"57,90TL"
23291,Kent Boringer Pasta Kreması 150 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"39,90TL"
23392,Sütaş Çilekli Puding 200 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"20,00TL"
12319,Dr.Oetker Toz Kakao 2x25 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"64,90TL"
12502,Dr.Oetker Şekerli Vanilin 5x5 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"11,90TL"
15017,Marifet Toz Kakao 1 kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"530,00TL"
16168,Dr.Oetker Puding Vanilyalı 120 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"33,90TL"
16327,Dr.Oetker Muzlu Puding 120 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"33,90TL"
