item_name,price,tarih,kategori,para_birimi
Burcu Fasulye Pilaki Hazır Yemek 400 Gr,61.5,2026-03-21,temel-gida,TRY
Burcu Garnitür 4 Kg,351.0,2026-03-21,temel-gida,TRY
Burcu Garnitür Cam Kavanoz 570 Gr,69.5,2026-03-21,temel-gida,TRY
Burcu Haşlanmış Barbunya 800 Gr,77.5,2026-03-21,temel-gida,TRY
Burcu Haşlanmış Fasülye 800 Gr,74.5,2026-03-21,temel-gida,TRY
Burcu Haşlanmış Nohut 800 Gr,83.0,2026-03-21,temel-gida,TRY
Burcu Ketçap Acılı 650 Gr,71.0,2026-03-21,temel-gida,TRY
Burcu Ketçap Tatlı 650 Gr,71.0,2026-03-21,temel-gida,TRY
Burcu Közlenmiş Biber 560 Gr,130.0,2026-03-21,temel-gida,TRY
Burcu Közlenmiş Patlıcan Cam Kavanoz 540 Gr,73.5,2026-03-21,temel-gida,TRY
Burcu Kurutulmuş Domates 550 Gr Cam Kavanoz,186.5,2026-03-21,temel-gida,TRY
Burcu Mayonez 550 Gr,72.5,2026-03-21,temel-gida,TRY
Burcu Meksika Fasülyesi 400 Gr,68.5,2026-03-21,temel-gida,TRY
Burcu Mısır Konservesi 3 X 200 Gr,106.5,2026-03-21,temel-gida,TRY
Burcu Ranch Sos 290 Gr,61.5,2026-03-21,temel-gida,TRY
Burcu Sarımsaklı Mayonez 290 Gr,61.5,2026-03-21,temel-gida,TRY
Burcu Tane Süt Mısır 2600 Gr,433.0,2026-03-21,temel-gida,TRY
Burcu Tatlı Biber Salçası 1500 Gr,300.0,2026-03-21,temel-gida,TRY
Burcu Taze Fasülye Hazır Yemek 550 Gr Cam Kavanoz,90.5,2026-03-21,temel-gida,TRY
Burcu Zeytinyağlı Yaprak Sarma 200 gr,132.5,2026-03-21,temel-gida,TRY
Calve Acı Set Ketçap 600 Gr + Mayonez 540 Gr,196.0,2026-03-21,temel-gida,TRY
Calve Acı Sos 265 Gr,122.5,2026-03-21,temel-gida,TRY
