tarih,kategori,urun_adi,fiyat,para_birimi
2026-04-20,temel-gida,Billur Tuz Sodyumu Azaltılmış İyotsuz Sofra Tuzu 500 Gr,129.50,TRY
2026-04-20,temel-gida,Billur Tuz Sofrada Öğütme Deniz Tuzu 500 Gr,72.00,TRY
2026-04-20,temel-gida,Billur Tuz Sofrada Öğütme Yemeklik Himalaya Kristal Granül Doğal Kaya Tuzu 200 Gr Değirmenli,103.00,TRY
2026-04-20,temel-gida,Billur Tuzluklu Tuz 500 Gr,55.50,TRY
2026-04-20,temel-gida,Biryağ Ayçiçek Yağı 1 Lt,173.50,TRY
2026-04-20,temel-gida,Biryağ Ayçiçek Yağı 2 Lt,323.50,TRY
2026-04-20,temel-gida,Bizim Mutfak Çikolata Sosu 98 Gr,60.50,TRY
2026-04-20,temel-gida,Bizim Mutfak Çilekli Puding 120 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Domates Çorbası 65 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Ezogelin Çorbası 80 Gr,44.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Kakaolu Puding 132 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Krem Şanti 150 Gr,74.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Krem Şanti 75 Gr,44.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Kremalı Mantar Çorbası 65 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Kremalı Tavuk Çorbası 62 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Mercimek Çorbası 72 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Şehriyeli Tavuk Suyu Çorbası 80 Gr,44.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Tarhana Çorbası 65 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Vanilyalı Puding 125 Gr,45.00,TRY
2026-04-20,temel-gida,Bizim Mutfak Yayla Çorbası 80 Gr,44.00,TRY
2026-04-20,temel-gida,Burcu Acı Biber Salçası 1500 Gr,302.50,TRY
2026-04-20,temel-gida,Burcu Acı Sos 100 Ml,61.00,TRY
2026-04-20,temel-gida,Burcu Acı Tatlı Karışık Salça 1500 Gr,294.50,TRY
2026-04-20,temel-gida,Burcu Ajvar Acı 310 Gr,79.00,TRY
2026-04-20,temel-gida,Burcu Ajvar Tatlı 310 Gr,79.00,TRY
2026-04-20,temel-gida,Burcu Bamya Konservesi Okra 550 Gr,186.00,TRY
2026-04-20,temel-gida,Burcu Barbekü Sos 330 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Barbunya Pilaki Hazır Yemek 400 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Bezelye Konservesi 4250 Gr,353.00,TRY
2026-04-20,temel-gida,Burcu Bezelye Konservesi 570 Gr Cam Kavanoz,70.00,TRY
2026-04-20,temel-gida,Burcu Bezelye Konservesi 830 Gr,83.00,TRY
2026-04-20,temel-gida,Burcu Dilimli Mantar Cam Kavanoz 560 Gr,192.00,TRY
2026-04-20,temel-gida,Burcu Domates Rendesi 700 Gr,67.00,TRY
2026-04-20,temel-gida,Burcu Domates Salçası 1500 Gr,209.00,TRY
2026-04-20,temel-gida,Burcu Domates Salçası 4300 Gr,495.00,TRY
2026-04-20,temel-gida,Burcu Domates Salçası 830 Gr,82.00,TRY
2026-04-20,temel-gida,Burcu Enginar Konservesi 540 Gr Cam Kavanoz,238.00,TRY
2026-04-20,temel-gida,Burcu Fasulye Pilaki Hazır Yemek 400 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Garnitür 4 Kg,366.50,TRY
2026-04-20,temel-gida,Burcu Garnitür Cam Kavanoz 570 Gr,70.00,TRY
2026-04-20,temel-gida,Burcu Haşlanmış Barbunya 800 Gr,95.50,TRY
2026-04-20,temel-gida,Burcu Haşlanmış Fasülye 800 Gr,75.00,TRY
2026-04-20,temel-gida,Burcu Haşlanmış Nohut 800 Gr,83.50,TRY
2026-04-20,temel-gida,Burcu Ketçap Acılı 650 Gr,71.50,TRY
2026-04-20,temel-gida,Burcu Ketçap Tatlı 650 Gr,71.50,TRY
2026-04-20,temel-gida,Burcu Közlenmiş Biber 560 Gr,131.00,TRY
2026-04-20,temel-gida,Burcu Közlenmiş Patlıcan Cam Kavanoz 540 Gr,74.00,TRY
2026-04-20,temel-gida,Burcu Kurutulmuş Domates 550 Gr Cam Kavanoz,188.00,TRY
2026-04-20,temel-gida,Burcu Mayonez 550 Gr,73.00,TRY
2026-04-20,temel-gida,Burcu Meksika Fasülyesi 400 Gr,69.00,TRY
2026-04-20,temel-gida,Burcu Mısır Konservesi 3 X 200 Gr,107.00,TRY
2026-04-20,temel-gida,Burcu Paprika Sos 330 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Ranch Sos 290 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Sarımsaklı Mayonez 290 Gr,62.00,TRY
2026-04-20,temel-gida,Burcu Tane Süt Mısır 2600 Gr,441.50,TRY
2026-04-20,temel-gida,Burcu Tatlı Biber Salçası 1500 Gr,302.00,TRY
2026-04-20,temel-gida,Burcu Taze Fasülye Hazır Yemek 550 Gr Cam Kavanoz,91.50,TRY
2026-04-20,temel-gida,Burcu Zeytinyağlı Yaprak Sarma 200 gr,135.50,TRY
2026-04-20,temel-gida,Calve Acı Set Ketçap 600 Gr + Mayonez 540 Gr,197.50,TRY
2026-04-20,temel-gida,Calve Acı Sos 265 Gr,123.50,TRY
2026-04-20,temel-gida,Calve Ballı Hardal Sos 260 Gr,167.00,TRY
2026-04-20,temel-gida,Calve Barbekü Sos 290 Gr,121.50,TRY
2026-04-20,temel-gida,Calve Chedar Sos 240 Gr,123.00,TRY
2026-04-20,temel-gida,Calve Hardal Sos 250 Gr,152.50,TRY
2026-04-20,temel-gida,Calve Ketçap Acılı 400 Gr,114.50,TRY
2026-04-20,temel-gida,Calve Ketçap Acılı 600 Gr,133.50,TRY
2026-04-20,temel-gida,Calve Ketçap Tatlı 400 Gr,114.50,TRY
2026-04-20,temel-gida,Calve Ketçap Tatlı 600 Gr,133.50,TRY
2026-04-20,temel-gida,Calve Köri Sos 260 Gr,123.00,TRY
2026-04-20,temel-gida,Calve Mayonez 350 Gr,149.00,TRY
2026-04-20,temel-gida,Calve Mayonez 540 Gr,182.50,TRY
2026-04-20,temel-gida,Calve Ranch Sos 245 Gr,123.00,TRY
2026-04-20,temel-gida,Calve Tatlı Set Ketçap 600 Gr Mayonez 540 Gr,197.50,TRY
2026-04-20,temel-gida,Cemkar Esmer Küp Şeker 500 Gr,101.50,TRY
2026-04-20,temel-gida,Cemkar Stick Tuz 800 Gr,57.00,TRY
2026-04-20,temel-gida,Cin Mısır Açık 1 Kg,82.00,TRY
2026-04-20,temel-gida,Cin Mısır Popcorn 25 Kg (Çuval),1620.00,TRY
