Product Title,Category,Weekly Inflation(%)
%100 PAMUK STRAIGHT FIT YÜKSEK BEL PAÇA UCU KESİK JEAN PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE JEAN PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE YIRTIK DETAYLI YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL DÜZ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL GENİŞ PAÇA JEAN KAR YIKAMALI PANTOLON,Women,0.0
%100 PAMUK STRAIGHT WIDE YÜKSEK BEL JEAN PANTOLON,Women,-4.514935068989643
%100 PAMUK TAPERED FIT YÜKSEK BEL UZUN BOY MÜSLİN PANTOLON,Women,42.85782314004984
%100 PAMUK TİŞÖRT,Women,0.0
%100 PAMUK UZUN KOLLU GÖMLEK,Women,0.0
%100 PAMUK UZUN KOLLU TUNİK,Women,0.0
%100 PAMUK V YAKA BASIC PENYE TİŞÖRT,Women,0.0
%100 PAMUK VAN GOGH BOXY FIT SLOGAN DESENLİ TİŞÖRT,Women,0.0
%100 PAMUK VIKINGS BASKILI TİŞÖRT,Women,0.0
%100 PAMUK VIKINGS BOXY FIT SIRT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK VIKINGS VALHALLA BOXY FIT BASKILI TİŞÖRT,Women,0.0
%100 PAMUK VIKINGS VALHALLA BOXY FIT TİŞÖRT,Women,0.0
%100 PAMUK WIDE LEG BAĞCIKLI BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK WIDE LEG NORMAL BEL GABARDİN PANTOLON,Women,0.0
%100 PAMUK WIDE LEG NORMAL BEL JEAN PANTOLON,Women,0.0
%100 PAMUK WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK YÜKSEK BEL DÜZ PAÇA YUMUŞAK JEAN BERMUDA,Women,25.000347227044823
%100 PAMUK YÜKSEK BEL JEAN BERMUDA ŞORT,Women,25.000312503906297
%100 PAMUK YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK YÜKSEK BEL PAÇA UCU KESİK JEAN ŞORT,Women,25.000347227044823
%100 PAMUK YÜKSEK BEL UZUN YUMUŞAK JEAN PANTOLON,Women,0.0
%100 PAMUK YÜKSEK BEL YIKAMALI CEPLİ JEAN ŞORT ETEK,Women,25.000312503906297
%100 PAMUK YÜKSEK BEL YUMUŞAK JEAN BERMUDA ŞORT,Women,25.000347227044823
%100 PAMUK ÇİZGİLİ UZUN KOLLU GÖMLEK,Women,0.0
%100 PAMUK ÇİÇEKLİ BOXER,Women,0.0
%100 PAMUK ÖRGÜ GÖRÜNÜMLÜ GÖMLEK,Women,0.0
%100 PAMUKLU 2'Lİ ATLET ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU 2'Lİ ATLET KIZ ÇOCUK,Women,0.0
%100 PAMUKLU 2'Lİ PİJAMA TAKIMI ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU 2'Lİ PİJAMA TAKIMI KIZ ÇOCUK,Women,0.0
%100 PAMUKLU 5'Lİ ATLET KIZ ÇOCUK,Women,0.0
%100 PAMUKLU ARAÇ BASKILI 2'Lİ PİJAMA TAKIMI ERKEK BEBEK,Women,0.0
%100 PAMUKLU BASKILI 2'Lİ ATLET ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU BASKILI 5'Lİ ATLET ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU BLUZ KIZ ÇOCUK,Women,0.0
%100 PAMUKLU BİSİKLET YAKA TİŞÖRT ERKEK BEBEK,Women,0.0
%100 PAMUKLU DESENLİ 2'Lİ ATLET ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU DİNOZOR BASKILI 2'Lİ PİJAMA TAKIMI ERKEK BEBEK,Women,0.0
%100 PAMUKLU FİTİLLİ KAŞKORSE 2'Lİ PİJAMA TAKIMI KIZ ÇOCUK,Women,0.0
%100 PAMUKLU GÖMLEK ERKEK BEBEK,Women,0.0
%100 PAMUKLU GÖMLEK ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU HELLO KITTY 2'Lİ PİJAMA TAKIMI KIZ ÇOCUK,Women,0.0
%100 PAMUKLU KALP DESENLİ 3'LÜ SLİP KÜLOT KIZ ÇOCUK,Women,0.0
%100 PAMUKLU MIFFY 2'Lİ PİJAMA TAKIMI KIZ ÇOCUK,Women,0.0
%100 PAMUKLU MINECRAFT 2'Lİ PİJAMA TAKIMI ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU STUMBLE GUYS 2'Lİ PİJAMA TAKIMI ERKEK ÇOCUK,Women,0.0
%100 PAMUKLU TİŞÖRT ERKEK BEBEK,Women,0.0
%100 PAMUKLU UNICORN BASKILI 2'Lİ ATLET KIZ ÇOCUK,Women,0.0
%100 PAMUKLU UNICORN BASKILI PENYE 3'LÜ SLİP KÜLOT KIZ ÇOCUK,Women,0.0
%100 PAMUKLU YILDIZ DESENLİ 2'Lİ PİJAMA TAKIMI ERKEK BEBEK,Women,0.0
