District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Seyhan / Merkez,2+1,57837.83783783784,04,-0.023359028264423858,,,-9.74211059788709
Seyhan / Merkez,3+1,99183.33333333333,04,27.654945223320315,,,28.938333333333325
Seyhan / Merkez,4+1,96666.66666666667,04,0.0,,,75.75757575757576
Seyhan / Meydan,3+1,112500.0,04,0.0,,,55.172413793103445
Seyhan / Saydam,2+1,119250.0,04,0.0,,,11.27527216174183
Seyhan / Saydam,3+1,114000.0,04,0.0,,,
Seyhan / Saydam,4+1,260000.0,04,0.0,,,73.33333333333333
Seyhan / Yağcami,1+1,18500.0,04,0.0,,,19.35483870967742
Seyhan / Yağcami,2+1,62000.0,04,0.0,,,-58.666666666666664
Seyhan / Yağcami,3+1,16500.0,04,0.0,,,
Seyhan / Yağcami,Stüdyo (1+0),12000.0,04,0.0,,,11.627906976744185
Seyhan / Yenibaraj,1+1,20234.8125,04,0.16574226679730805,,,1.7335972850678734
Seyhan / Yenibaraj,1.5+1,17500.0,04,0.0,,,16.666666666666664
Seyhan / Yenibaraj,2+1,59613.13157894737,04,-0.5706011370763865,,,40.97349843047892
Seyhan / Yenibaraj,3+1,65372.307692307695,04,11.088834695653246,,,4.796954051818412
Seyhan / Yenibaraj,3.5+1,25000.0,04,0.0,,,
Seyhan / Yenibaraj,4+1,109035.71428571429,04,0.0,,,-21.19017249757046
Seyhan / Yenibaraj,Stüdyo (1+0),9923.076923076924,04,0.0,,,3.155149934810962
Seyhan / Yeşilevler,2+1,52220.0,04,-2.582199766809168,,,-51.120124804992194
Seyhan / Yeşilevler,3+1,49513.15789473684,04,0.0,,,-34.879669581670086
Seyhan / Yeşilevler,4+1,111000.0,04,0.0,,,484.2105263157895
Seyhan / Yeşilyurt,1+1,16166.666666666666,04,-0.07358351729213512,,,5.462344365044356
Seyhan / Yeşilyurt,1.5+1,14500.0,04,0.0,,,0.0
Seyhan / Yeşilyurt,2+1,20775.94230769231,04,-0.9347600575038266,,,-41.09178304885212
Seyhan / Yeşilyurt,3+1,43832.142857142855,04,-11.355792868699185,,,-9.65239027693939
Seyhan / Yeşilyurt,4+1,36812.5,04,0.0,,,-31.11111111111111
