Category,Product Name,Price,Product URL
Men,68 Simon Straight Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-13587
Women,Flare Slim Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/flare-slim-fit-kadin-pantolon-14138
Women,Crop Wide Leg Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/crop-wide-leg-regular-fit-kadin-pantolon-14543
Men,Relax Fit Erkek Pantolon 2,"799,90",https://www.loft.com.tr/p/relax-fit-erkek-pantolon-14324
Men,Ricardo Slim Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10245
Women,Mom Slim Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/mom-slim-fit-kadin-pantolon-10636
Women,Natalie Skinny Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10645
Women,Comfort Straight Comfort Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/comfort-straight-comfort-fit-kadin-pantolon-10634
Women,Natalie Skinny Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10635
Men,Mateo Baggy Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/mateo-baggy-fit-erkek-pantolon-14163
Men,Justin Skinny Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12877
Women,Natalie Skinny Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10639
Men,68 Simon Straight Fit Erkek Pantolon 2,"999,90",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-14682
Men,Ricardo Slim Fit Erkek Pantolon 2,"299,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13394
Men,Terrybrown Slim Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-10247
Women,Baggy Regular Fit Kadın Pantolon 2,"499,90",https://www.loft.com.tr/p/baggy-regular-fit-kadin-pantolon-14534
Men,Justin Skinny Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12740
Men,Justin Skinny Erkek Pantolon 1,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-12886
Women,Natalie Skinny Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/natalie-skinny-fit-kadin-pantolon-10631
Women,Flare Slim Fit Kadın Pantolon 1,"499,90",https://www.loft.com.tr/p/flare-slim-fit-kadin-pantolon-14010
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14330
Men,68 Simon Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10246
Men,Marco Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/marco-slim-fit-erkek-pantolon-14612
Women,Palazzo Palazzo Fıt Kadın Pantolon 2,"999,90",https://www.loft.com.tr/p/palazzo-palazzo-fit-kadin-pantolon-14793
Men,Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-14225
Men,68 Simon Straight Fit Erkek Pantolon 1,"599,90",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-14002
