id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
15319,15319,Bosch VDE Tornavida SL4.5x100,Bosch Aksesuar ve El Aletleri,Tornavidalar,462.0,415.8,10.0,PIECE,IN_SALE
15317,15317,Bosch Pense Seti 3 Parça Premium,Bosch Aksesuar ve El Aletleri,El Aletleri,2096.85,1887.17,10.0,PIECE,IN_SALE
14998,14998,Bosch Yassı El Keski 22-250 mm,Bosch Aksesuar ve El Aletleri,Keskiler,646.8,582.12,10.0,PIECE,IN_SALE
14728,14728,Bosch Boru Anahtarı 90° 420 mm,Bosch Aksesuar ve El Aletleri,Boru Anahtarları,2656.5,2390.85,10.0,PIECE,IN_SALE
14714,14714,Bosch Otomatik Maket Bıçağı 3 Yedek Uçlu,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,646.8,582.12,10.0,PIECE,IN_SALE
14648,14648,Bosch Kargaburun 200 mm,Bosch Aksesuar ve El Aletleri,Düz Uçlu Kargaburunlar,970.2,873.18,10.0,PIECE,IN_SALE
14615,14615,İzeltaş 3321 12 0225 İç Segman Pense Yaysız 225 mm,İzeltaş,Penseler,1004.85,669.55,33.37,PIECE,IN_SALE
14594,14594,Bosch Katlanabilir Maket Bıçağı,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,924.0,831.6,10.0,PIECE,IN_SALE
14590,14590,BOSCH Maket Bıçağı 18mm,Bosch Aksesuar ve El Aletleri,Maket Bıçakları,646.8,582.12,10.0,PIECE,IN_SALE
14585,14585,Fiskars 1071898 Norden Bileme Apatatı Ahşap,Fiskars,Bahçe,1559.25,1403.33,10.0,PIECE,IN_SALE
14582,14582,BOSCH Tornavida Seti 6 parça SL/PH,Bosch Aksesuar ve El Aletleri,Tornavidalar,1732.5,1559.25,10.0,PIECE,IN_SALE
14571,14571,BOSCH Tornavİda VDE Screwdriver PH1,Bosch Aksesuar ve El Aletleri,Tornavidalar,438.9,395.01,10.0,PIECE,IN_SALE
14565,14565,BOSCH Betoncu Kalıpçı Kerpeteni 225mm,Bosch Aksesuar ve El Aletleri,Kerpetenler,635.25,571.72,10.0,PIECE,IN_SALE
14563,14563,Bosch Ryoba Japon Testeresi 250mm,Bosch Aksesuar ve El Aletleri,Testereler,981.75,883.58,10.0,PIECE,IN_SALE
14560,14560,Bosch Tornavİda VDE SL 5.5,Bosch Aksesuar ve El Aletleri,Tornavidalar,375.9,338.31,10.0,PIECE,IN_SALE
14539,14539,Bosch Şerit Metre 5m,Bosch Aksesuar ve El Aletleri,Metreler,739.2,665.28,10.0,PIECE,IN_SALE
14524,14524,Bosch Çok Amaçlı Montaj Seti 132 Parça,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,7245.0,6520.5,10.0,PIECE,IN_SALE
14506,14506,Bosch VDE Tornavida Seti SL/PH 7 parça,Bosch Aksesuar ve El Aletleri,Tornavida Setleri,2598.75,2338.88,10.0,PIECE,IN_SALE
14500,14500,Bosch 1600A02NE7 VDE Universal Kablo Sıyırma Pensesi 160 mm,Bosch Aksesuar ve El Aletleri,Kablo Sıyırıcılar,993.3,893.97,10.0,PIECE,IN_SALE
13730,13730,Gison GW-24D Somun Sıkma 3/4,Gison,Somun Sıkma Makinaları,15564.15,10499.0,32.54,PIECE,IN_SALE
12621,12621,Bosch Gbh 180 LI + Gws 180 LI + Gdx 180 LI +2x5.0 ah,Bosch,Taşlamalar,28875.0,28875.0,0.0,PIECE,IN_SALE
12556,12556,Bosch GSA 12-30 Panter Testere,Bosch,Panter Testere ve Aksesuarları,6409.2,6409.2,0.0,PIECE,IN_SALE
06033a7001,06033a7001,Bosch PSA 700 E Panter Testere + Uç Hediyeli,Bosch,Panter Testere ve Aksesuarları,4608.45,4099.0,11.05,PIECE,IN_SALE
13253,13253,Dekor 1156 Sünger Kristalli Rulo 50 cm,Dekor,Boya Ekipmanları,1543.5,1260.0,18.37,PIECE,IN_SALE
1857,1857,Dekor 1017 Plasdek Rulo Sarı 25 cm,Dekor,Boya Ekipmanları,252.0,252.0,0.0,PIECE,IN_SALE
15590,15590,Bosch Gbh 185-LI Akülü Sds Plus Kırıcı-Delici 2x4 ah,Bosch,Şarjlı Kırıcı ve Deliciler,17587.5,14220.0,19.15,PIECE,IN_SALE
4398,4398,"Bosch GBH 2-28 Kırıcı-Delici 2,9 kg",Bosch,Kırıcı & Delici,9450.0,9450.0,0.0,PIECE,IN_SALE
4397,4397,"Bosch GSH 11 E Kırıcı 10,1 kg",Bosch,Kırıcı & Delici,33075.0,23999.0,27.44,PIECE,IN_SALE
12966,12966,Bosch GSR 120-LI Vidalama (2x2.0 Ah; Plastik),Bosch,Şarjlı Vidalama,5775.0,5775.0,0.0,PIECE,IN_SALE
06019h5000,06019h5000,Bosch GSR 18V-50 Vidalama (2x2.0Ah; L-Case),Bosch,Şarjlı Vidalama,9975.0,9975.0,0.0,PIECE,IN_SALE
