product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
"Makita D-29227 Geniş Keski 28,6x75x410 mm",1099.0,13282,13282,Makita,Keskiler,2163.7,49.21,PIECE,IN_SALE
Bosch ExtraHard Vidalama Ucu PH1x89 mm 3'lü,103.95,13158,13158,Bosch Aksesuarlar,Aksesuarlar,143.0,27.31,PIECE,IN_SALE
Bosch Expert Self Cut Speed Yaprak Delme Ucu HEX 17x152mm,147.42,13073,13073,Bosch Aksesuarlar,Aksesuarlar,171.6,14.09,PIECE,IN_SALE
Bosch Dekupaj Bıçağı CleanforPVC T302H,127.57,13072,13072,Bosch Aksesuarlar,Dekupaj Bıçakları,148.5,14.09,PIECE,IN_SALE
Bosch Taşlama Siperi Kapaksız Vidalı 180 mm,1039.5,12816,12816,Bosch Aksesuarlar,Kesme ve Taşlama Diskleri,1210.0,14.09,PIECE,IN_SALE
Bosch SDS-Plus 6x310mm,151.2,12808,12808,Bosch Aksesuarlar,Beton Delici Uçlar,209.0,27.66,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 12,5mm",280.66,12797,12797,Bosch Aksesuarlar,Aksesuarlar,326.7,14.09,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 10,5mm",189.0,12796,12796,Bosch Aksesuarlar,Aksesuarlar,220.0,14.09,PIECE,IN_SALE
Bosch Bimetal Hss Sheet Metal Panç 41 mm,644.49,12769,12769,Bosch Aksesuarlar,Aksesuarlar,750.2,14.09,PIECE,IN_SALE
Bosch Advanced El Aleti Seti (52 Parça),6325.0,12768,12768,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,6325.0,0.0,PIECE,IN_SALE
"Bosch Hss-Pointtec 11,0 mm",249.48,12749,12749,Bosch Aksesuarlar,Aksesuarlar,290.4,14.09,PIECE,IN_SALE
"Bosch Hss-Pointec 7,5mm",114.34,12747,12747,Bosch Aksesuarlar,Aksesuarlar,133.1,14.09,PIECE,IN_SALE
FACTOR KGL10000CE 9.4 KVA BENZ. JENERATÖR,41800.0,15920,15920,FACTOR,Jeneratörler,41800.0,0.0,PIECE,IN_SALE
FACTOR KDK10000CE DİZEL MONOFAZE JENERATÖR 9.4KVA,42199.0,15469,15469,FACTOR,Jeneratörler,52800.0,20.08,PIECE,IN_SALE
Kama 2000 is Jeneratör İnvertörlü Benzinli 2 Kw,16999.0,13266,13266,Kama,Jeneratörler,21296.0,20.18,PIECE,IN_SALE
"Biglift ACE-25 Kırmızı Teker Transpalet 2,5 ton",14499.0,11611,11611,Biglift,Kaldırma ve İstifleme Makinaları,15400.0,5.85,PIECE,IN_SALE
Bosch GBH 8-45 D Kırıcı Delici,37400.0,12142,12142,Bosch,Kırıcı & Delici,37400.0,0.0,PIECE,IN_SALE
"Bosch GBH 2-26 DRE Kırıcı-Delici 2,7 kg",7489.0,4408,4408,Bosch,Kırıcı & Delici,8250.0,9.22,PIECE,IN_SALE
"Bosch GBH 2-28 Kırıcı-Delici 2,9 kg",8899.0,4398,4398,Bosch,Kırıcı & Delici,9900.0,10.11,PIECE,IN_SALE
"Bosch GSH 11 E Kırıcı 10,1 kg",33000.0,4397,4397,Bosch,Kırıcı & Delici,33000.0,0.0,PIECE,IN_SALE
Bosch GAS 18V-1 Akülü Elektrik Süpürgesi (Solo),4400.0,14646,14646,Bosch,Akülü El Aletleri,4400.0,0.0,PIECE,IN_SALE
Bosch Eksantrik Zımpara GEX 125 290 w,3199.0,13360,13360,Bosch,Elektrikli El Aletleri,3630.0,11.87,PIECE,IN_SALE
Catpower 3008 - Boya ve Harç Mikseri 2050 w,9199.0,13179,13179,Catpower,Karıştırıcılar,9680.0,4.97,PIECE,IN_SALE
Catpower 9202 Beton Kanal Kazıma 2000 w,16450.0,10801,10801,Catpower,Kanal Kazıma Makineleri,20900.0,21.29,PIECE,IN_SALE
BOSCH GLI 18V-1900 Lümen  Şantiye Projektörü SOLO (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),5775.0,12957,12957,Bosch,Aydınlatma Ekipmanları,5775.0,0.0,PIECE,IN_SALE
Bosch Advanced Aquatak 160 bar Basınçlı Yıkama 2600 w,17250.0,11435,11435,Bosch Hafif Hizmet,Basınçlı Yıkama Makineleri,22000.0,21.59,PIECE,IN_SALE
Bosch GPO 14 CE Polisaj Makinası,8833.0,0601389000,0601389000,Bosch,Polisaj Makine ve Aksesuarları,8833.0,0.0,PIECE,IN_SALE
