Product Name,Product Cost,id,sku,brand,category,regular_price,discount_rate,unit,status
"Bosch HSSPointTeQ Metal Matkap Ucu 9,5mm",124.74,13588,13588,Bosch Aksesuarlar,Aksesuarlar,138.6,10.0,PIECE,IN_SALE
Bosch Ahşap Matkap Uç Expert SCS Yaprak HEX 18x152 mm,159.71,13587,13587,Bosch Aksesuarlar,Aksesuarlar,177.45,10.0,PIECE,IN_SALE
Bosch Polisaj Süngeri EasyCurvSander 40 mm,239.08,13586,13586,Bosch Aksesuarlar,Polisaj Makine ve Aksesuarları,265.65,10.0,PIECE,IN_SALE
"Bosch Metal Matkap Ucu HSS-Co DIN 338 7,5x109 mm",236.25,13575,13575,Bosch Aksesuarlar,Aksesuarlar,262.5,10.0,PIECE,IN_SALE
Bosch SDS Plus-1 22x460mm,699.3,13468,13468,Bosch Aksesuarlar,Beton Delici Uçlar,777.0,10.0,PIECE,IN_SALE
Bosch PC-Plus Delik Açma Testeresi 22mm,339.25,13466,13466,Bosch Aksesuarlar,Aksesuarlar,376.95,10.0,PIECE,IN_SALE
Bosch CYL-3 Beton Delme 16x160 mm,654.88,13440,13440,Bosch Aksesuarlar,Beton Delici Uçlar,727.65,10.0,PIECE,IN_SALE
Bosch X-line 7 Parça Mini Ahşap Matkap Ucu Set,239.08,13338,13338,Bosch Aksesuar ve El Aletleri,Aksesuarlar,265.65,10.0,PIECE,IN_SALE
"Bosch Titreşimli Zımpara Kağıdı 10'lu, 93 x 185 Mm 180 Kum 8 Delik",222.08,13322,13322,Bosch Aksesuarlar,Zımpara Uçları,246.75,10.0,PIECE,IN_SALE
"Makita D-29227 Geniş Keski 28,6x75x410 mm",1099.0,13282,13282,Makita,Keskiler,2065.35,46.79,PIECE,IN_SALE
Bosch Expert Self Cut Speed Yaprak Delme Ucu HEX 17x152mm,147.42,13073,13073,Bosch Aksesuarlar,Aksesuarlar,163.8,10.0,PIECE,IN_SALE
Bosch Dekupaj Bıçağı CleanforPVC T302H,127.57,13072,13072,Bosch Aksesuarlar,Dekupaj Bıçakları,141.75,10.0,PIECE,IN_SALE
Bosch Cyl-9 Seramik Matkap Ucu 16x90 mm,360.99,12945,12945,Bosch Aksesuarlar,Aksesuarlar,401.1,10.0,PIECE,IN_SALE
Bosch Taşlama Siperi Kapaksız Vidalı 180 mm,1039.5,12816,12816,Bosch Aksesuarlar,Kesme ve Taşlama Diskleri,1155.0,10.0,PIECE,IN_SALE
Bosch SDS-Plus 6x310mm,151.2,12808,12808,Bosch Aksesuarlar,Beton Delici Uçlar,168.0,10.0,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 12,5mm",280.66,12797,12797,Bosch Aksesuarlar,Aksesuarlar,311.85,10.0,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 10,5mm",189.0,12796,12796,Bosch Aksesuarlar,Aksesuarlar,210.0,10.0,PIECE,IN_SALE
İZELTAŞ 3700 16 2140 Yan Keski Opak Seri 140 MM,672.0,12769,12769,İzeltaş,Yan Keskiler,672.0,0.0,PIECE,IN_SALE
Bosch Advanced El Aleti Seti (52 Parça),6037.5,12768,12768,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,6037.5,0.0,PIECE,IN_SALE
"Bosch Hss-Pointtec 11,0 mm",249.48,12749,12749,Bosch Aksesuarlar,Aksesuarlar,277.2,10.0,PIECE,IN_SALE
Gison Gas-2a Havalı Fırça Seti,822.15,seti,seti,Gison,Hava Kompresörler ve Aksesuarları,822.15,0.0,PIECE,IN_SALE
Bosch Diyagonal Yan Keski 160mm,623.7,15540,15540,Bosch Aksesuar ve El Aletleri,Yan Keskiler,693.0,10.0,PIECE,IN_SALE
CETA B05R-09 Cırcır Kombine Anahtar Özel Ağız 9 mm,600.0,15409,15409,CETA,Kombine Anahtarlar,693.0,13.42,PIECE,IN_SALE
Bosch Düz Tornavida SL4.5x100mm,363.82,15322,15322,Bosch Aksesuar ve El Aletleri,Düz Uçlu Tornavidalar,404.25,10.0,PIECE,IN_SALE
Bosch VDE Tornavida SL4.5x100,415.8,15319,15319,Bosch Aksesuar ve El Aletleri,Tornavidalar,462.0,10.0,PIECE,IN_SALE
Bosch Pense Seti 3 Parça Premium,1887.17,15317,15317,Bosch Aksesuar ve El Aletleri,El Aletleri,2096.85,10.0,PIECE,IN_SALE
Bosch Boru Anahtarı 90° 420 mm,2390.85,14728,14728,Bosch Aksesuar ve El Aletleri,Boru Anahtarları,2656.5,10.0,PIECE,IN_SALE
