date,category,product,unit,monthly_qty,avg_unit_price_TRY,monthly_cost_TRY,n_matched,matched_products
Mar-30 2026,Vegetables,Onion,Kg,18.0,41.87,753.66,4,Soğan Kırmızı Kg; Soğan Kg; Soğan Çuval (9 Kg); Soğan Sıska Paket
Mar-30 2026,Vegetables,Eggplant / Zucchini,Kg,34.7,79.9,2772.53,2,Patlıcan Kg; Kabak Kg
Mar-30 2026,Vegetables,Other Vegetables,Kg,14.8,83.55,1236.54,8,Lahana Kırmızı Kg; Brokoli Kg; Lahana Sarmalık Bağ; Ispanak Kg; Lahana Top Kg; Pırasa Kg; Kereviz Kg; Mantar Kg
Mar-30 2026,Oils,Olive Oil,Liter,1.0,427.05,427.05,22,Komili Riviera Zeytinyağı Teneke 5 lt; Marmarabirlik Riviera Zeytinyağı Cam 1 lt; Tariş Sızma Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı 500 ml; Tariş Riviera Zeytinyağı 250 ml; Tariş Guney Ege Sızma Zeytinyağı 750 ml; Marmarabirlik Sızma Zeytinyağı Cam 500 ml; Marmarabirlik Riviera Zeytinyağı Cam 500 ml; Marmarabirlik Sızma Zeytinyağı 5 lt; Tariş Güney Ege Sızma Zeytinyağı Teneke 5 lt; Tariş Sızma Zeytinyağı Teneke 2 lt; Tariş Sızma Kuzey Ege Zeytinyağı 750 ml; Tariş Riviera Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı 750 ml; Tariş Riviera Zeytinyağı Teneke 5 lt; Tariş Riviera Zeytinyağı Teneke 2 lt; Komili Riviera Zeytinyağı 1 lt; Komili Riviera Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 1 lt; Komili Sızma Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 500 ml; Marmarabirlik Riviera Zeytinyağı 5 lt
Apr 2026,Dairy Products,Yogurt,Kg,59.7,143.22,8550.23,23,"Kebir Bidon Köy Tipi Yoğurt 1 kg; Kebir Köy Tipi Yoğurt 2 kg; Kebir Köy Tipi Yoğurt 2,5 kg; Yeşil Mavi Bidon Yoğurt 1 Kg; Sütaş Kaymaksız Yoğurt 1 kg; Eker Efsane Yoğurt 750 Gr; Sütaş Kaymaksız Yoğurt 500 gr; İçim Doğal Yoğurt 500 gr; Kebir Kova Yoğurt 1,750 Gr; YEŞİL MAVİ YOĞURT 1.000GR KOVA; Yeşil Mavi Kova Yoğurt 2 kg; Sütaş Kaymaksız Yoğurt 2 kg; Eker Yoğurt 2 Kg Kova; İçim Yoğurt 2 kg; Yeşil Mavi Yoğurt Bidon 2,5 kg; Sütaş Yoğurt Kaymaksız 3 Kg; İçim Yarım Yağlı Yoğurt 3 kg; SÜTAŞ SUZME YOĞURT 750GR; Sütaş Kaymaksız Yoğurt 1,5 kg; TORKU Y.YOĞURT 2.000 GR; Pınar Yarım Yağlı Yoğurt 2000 gr; Atmaca Bidon Yoğurt 2,5 kg; Bayram Yoğurt 2,5 kg; Kebir Yağlı Yoğurt 4 kg; Kebir Köy Tipi Yoğurt 5 kg; Mevlana Bey Çiftliği Yarım Yağlı Yoğurt 2,5 K…"
Apr 2026,Dairy Products,White Cheese,Kg,5.3,373.42,1979.13,36,Kebir Beyaz Peynir 800 gr; İçim Beyaz Peynir 900 gr; Beyaz Peynir Naturel Gündoğdu Ezine kg; Ekici Tam Yağlı Beyaz Peynir 500 gr; Muratbey Sürmeli Beyaz Peynir 700 gr; Ayca Az Yağlı Beyaz Peynir 800 gr; Kaanlar Beyaz Peynir Trakya 800 gr; Pınar Taze Beyaz Peynir 180 Gr; Cebeci Tam Yağlı Beyaz Peynir 900 gr; Beyaz Peynir Ekici Tam Yağlı Kg; Beyaz Peynir Ova Tam Yağlı Kg; Beyaz Peynir Ezine Habir Kg; Beyaz Peynir Naturel Ekici; Burgu/Topi/Halka Beyaz Peynir Kg; Sütaş Beyaz Peynir500 gr; Kebir Beyaz Peynir 500 gr; İçim Beyaz Peynir 500 gr; Torku Tam Yağlı Beyaz Peynir 500 gr; Eker Klasik Beyaz Peynir 500 Gr; Ekici Klasik Beyaz Peynir 450 Gr; OVA BEYAZ PEYNIR 700 GR PLS; Sütaş Beyaz Peynir 250 gr; TekSüt Yumuşak Tam Yağlı Beyaz Peynir 750 gr; Ekici Tam Yağlı Beyaz Peynir 800 gr; Kaanlar Çiftlik Beyaz Peynir 800 Gr; İçim Tam Yağlı Taze Peynir 180 gr; Pınar Tam Yağlı Beyaz Peynir 180 gr; Sütaş Beyaz Peynir 900 gr; Kaanlar Beyaz Peynir Kahvaltılık 1 Kg Pt; Ova Beyaz Peynir Teneke 1 kg; Beyaz Peynir Van Kg; Beyaz Peynir Naturel Edirne Yardımcı kg; Sütaş Light Beyaz Peynir 500 gr; Pınar Kahvaltı Keyfi Beyaz Peynir 800 gr; TekSüt Tam Yağlı Beyaz Peynir 900 Gr; Beyaz Peynir Gezici Mega Köy Peyniri Kg
Apr 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,3.3,943.33,3112.99,3,Dana Kuşbaşı Kg; Kuzu Kuşbaşı Kg; Dana Yağsız Kuşbaşı Kg
Apr 2026,Meat and Protein,Chicken,Kg,7.0,208.92,1462.44,12,Banvit Bonfile Göğüs Kg; Banvit Izgara Tava Kg; Banvit Tavuk Pirzola Kg; Gedik Tavuk Baget Kg; Gedik Bütün Poşet Tavuk Kg; Gedik Tavuk Fleto Kg; Gedik Tavuk Kanat Kg; Gedik Tavuk Izgara Tava Kg; Gedik Tavuk Ciğer-Yürek Kg; Gedik Tavuk Pirzola Kg; Deryapiliç Fleto Kg; Gedik Kalçalı But Kg
Apr 2026,Meat and Protein,Fish,Kg,5.1,,,0,N/A
Apr 2026,Meat and Protein,Eggs,Piece,60.0,7.07,424.2,11,YUMURTA Köy (Günlük) Adet; Yumurta Kopuz 30 lu Beyaz; YUMURTA Ümit 30 lu Sarı; YUMURTA Ümit 15 li Sarı L; Yumurta Ümit Gezen Tavuk 15 Adet; YUMURTA Yeşilküre Organik 10 lu; Yumurta Kopuz 15 Li Beyaz; YUMURTA Köy Kaçkar 15 li; YUMURTA Özkan 15 li; YUMURTA KÖY ÖZKAN (GUNLUK) 10LU KOLI; Yumurta Özkan Gezen Tavuk Yumurtası 20 li
Apr 2026,Legumes,Chickpeas,Kg,5.6,145.83,816.65,6,Duru Bakliyat Koçbaşı Nohut 1 kg; Kale Bakliyat Nohut Kg; Duru Bakliyat İri Nohut 1 kg; Sadıkoğlu Nohut (Kabak) 1 kg; Sadıkoğlu Nohut Koçbaşı (9 mm) 1kg; Yayla Koçbaşı Nohut 9 mm 1 Kg
Apr 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,695.0,1876.5,1,Ceviz İçi Kg
Apr 2026,Grains,Bread,Kg,18.0,150.65,2711.7,4,Kale Ekmek 240 gr; Kale Çavdar Ekmek; Kale Tam Buğday Ekmek 270 gr; Kale Kepek Ekmek; Kale Baget Ekmek; Uno Fırından Tam Buğdaylı Ekmek 450 gr; Uno Fırından Tam Çavdarlı Ekmek 450 gr
Apr 2026,Fruits,Banana,Kg,16.7,117.4,1960.58,2,Muz Yerli Kg; Muz İthal Kg
Apr 2026,Fruits,Seasonal Fruit,Kg,12.9,135.9,1753.11,5,Çilek Kg; Kavun Bal Kg; Karpuz Kg; Armut Deveci Kg; Armut Santa Kg
Apr 2026,Vegetables,Onion,Kg,18.0,17.83,320.94,2,Soğan Kg; Soğan Çuval (9 Kg)
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,34.7,49.9,1731.53,2,Patlıcan Kg; Kabak Kg
Apr 2026,Vegetables,Other Vegetables,Kg,14.8,91.6,1355.68,6,Lahana Kırmızı Kg; Lahana Sarmalık Bağ; Lahana Top Kg; Ispanak Kg; Kereviz Kg; Mantar Kg
Apr 2026,Oils,Olive Oil,Liter,1.0,429.26,429.26,23,Komili Riviera Zeytinyağı Teneke 5 lt; Marmarabirlik Riviera Zeytinyağı Cam 1 lt; Tariş Sızma Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı 500 ml; Tariş Guney Ege Sızma Zeytinyağı 750 ml; Marmarabirlik Sızma Zeytinyağı Cam 500 ml; Marmarabirlik Riviera Zeytinyağı Cam 500 ml; Marmarabirlik Sızma Zeytinyağı 5 lt; Tariş Güney Ege Sızma Zeytinyağı Teneke 5 lt; Tariş Sızma Kuzey Ege Zeytinyağı Teneke 5 lt; Tariş Sızma Zeytinyağı Teneke 2 lt; Tariş Riviera Zeytinyağı Teneke 1 lt; Tariş Riviera Zeytinyağı 750 ml; Tariş Riviera Zeytinyağı Teneke 5 lt; Tariş Riviera Zeytinyağı Teneke 2 lt; Komili Riviera Zeytinyağı 1 lt; Komili Riviera Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 1 lt; Komili Sızma Zeytinyağı 2 lt; Komili Sızma Zeytinyağı 500 ml; Marmarabirlik Riviera Zeytinyağı 5 lt; Tariş Riviera Zeytinyağı 250 ml; Tariş Sızma Kuzey Ege Zeytinyağı 750 ml
